source_row_id,question,gold_answer,KG answer,file_path,taxonomy_label,LLM explanation,difference_severity
33,who was the king of england in 1756,George II,George II of Great Britain|George II of Great Britain (lang:en),SimpleQA/NQ_table_test_simple/00832.json,Same,"Both answers refer to George II as the monarch in 1756. The KG answer adds 'of Great Britain' as a common descriptor, but this does not alter the core fact. The difference is purely in phrasing and formatting, not in meaning or accuracy.",minor
46,who has the most green jackets from the masters,Jack Nicklaus (6),Jack Nicklaus|Jack Nicklaus (lang:en)|6,SimpleQA/NQ_table_test_simple/00071.json,Same,"The answers are semantically equivalent. Both state Jack Nicklaus has 6 green jackets (Masters wins). The KG answer includes a non-factual language tag (lang:en) which is formatting metadata, not a substantive addition. Core facts (name and count) match exactly. Difference is purely in presentation, not content.",none
51,What was the Association of the soccer United States men's national soccer team,United States Soccer Federation (USSF),United States Soccer Federation|United States Soccer Federation (lang:en),ComplexQA/CompMix_infobox_complex/00156.json,Same,"Both answers correctly identify the governing body as 'United States Soccer Federation'. The Gold answer includes the common abbreviation (USSF), while the KG answer adds a language tag (lang:en) which is non-essential metadata. The core fact matches exactly, and differences are limited to formatting/normalization without affecting meaning or accuracy.",none
63,who was the 11th prime minister of canada,R. B. Bennett,Richard Bedford Bennett|Richard Bedford Bennett (lang:en),SimpleQA/NQ_table_test_simple/00328.json,Same,"Both answers refer to Richard Bedford Bennett, the 11th Prime Minister of Canada. The Gold answer uses the standard short form 'R. B. Bennett', while the KG answer provides the full name. This is a common naming variation with no factual difference; the short form is widely accepted for historical figures.",none
67,How many goals has Jan Oblak scored for Slovenia national football team,0,0.0,ComplexQA/CompMix_table_complex/00259.json,Same,"Both answers state zero goals. The KG answer uses a float representation (0.0) while Gold uses an integer (0), but this is purely a formatting difference with no semantic or factual distinction. The core fact (0 goals) is identical.",none
76,Which country did the US Women's National Team defeat to win the Women's World Cup in 2019,The Netherlands,Netherlands (lang:en),ComplexQA/CompMix_infobox_complex/00027.json,Same,"Both answers correctly identify the Netherlands as the country defeated by the USWNT in the 2019 Women's World Cup final. The Gold answer uses the full form 'The Netherlands', while the KG answer uses the standard short form 'Netherlands'—a common naming variation with no factual difference. The language tag in the KG answer is irrelevant to the country name.",none
79,Which football club was represented by the soccer player Raúl González in the year 2002,Real Madrid,Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en),ComplexQA/CompMix_table_complex/00065.json,Same,"Both answers identify the same football club. The Gold answer uses the standard English name 'Real Madrid', while the KG answer provides the full Spanish name 'Real Madrid Club de Fútbol' (a common variant). The difference is purely in naming convention and formatting, not in the core fact. Raúl González represented Real Madrid in 2002, confirming semantic equivalence.",none
83,who has the biggest airport in the us,Atlanta,City of Atlanta (lang:en),SimpleQA/NQ_table_test_simple/00266.json,Same,Both answers correctly identify Atlanta as the city with the biggest airport in the US. The KG answer uses 'City of Atlanta' (a formal phrasing) while the Gold answer uses the common shorthand 'Atlanta'. This is a minor normalization difference with no factual or semantic variation.,none
91,who is the longest serving member of the house in history,John Dingell,"John Dingell, Jr.|60|John Dingell, Jr. (lang:en)",SimpleQA/NQ_table_test_simple/00837.json,Same,"Both answers refer to the same person, John Dingell (commonly known as John Dingell, Jr.). The KG answer includes the full name 'John Dingell, Jr.' and an extra number '60' (years served), but the question only asks for the name. The core fact matches, and the difference is minor due to additional detail not required by the question.",minor
93,who did johnny manziel play college football for,Texas A&M,Texas A&M Aggies football|Texas A&M Aggies football (lang:en),SimpleQA/NQ_table_test_simple/00434.json,Same,"The Gold answer 'Texas A&M' is the standard shorthand for the college football team. The KG answer 'Texas A&M Aggies football' uses the full team name but refers to the same entity. The additional words and formatting (including the language tag) do not alter the core fact, so the answers are semantically equivalent.",none
96,Which Oscar did The Girl with the Dragon Tattoo win?,Best Film Editing,Academy Award for Best Film Editing (lang:en),SimpleQA/CompMix_table_simple_qa/00163.json,Same,"The answers are semantically equivalent. Gold uses the common short name 'Best Film Editing', KG uses the full official name 'Academy Award for Best Film Editing'. The '(lang:en)' tag is metadata and irrelevant to the award name. Both correctly identify the same Oscar category without factual conflict or precision difference.",none
97,who is the  shirt sponsors sponsor of RB Leipzig  team?,Red Bull,Red Bull GmbH|Red Bull GmbH (lang:en),SimpleQA/CompMix_table_simple_qa/00098.json,Same,"The Gold answer 'Red Bull' and KG answer 'Red Bull GmbH' refer to the same sponsor entity. The KG answer provides the legal entity name (GmbH), but this is a standard naming variation (analogous to 'Netherlands' vs 'Kingdom of the Netherlands') and does not change the core fact. The question asks for the sponsor, not the legal form, so the answers are semantically equivalent with no factual conflict.",none
102,who won the battle of britain in ww2,British,United Kingdom,SimpleQA/NQ_table_test_simple/00914.json,Same,"Both answers correctly identify the United Kingdom as the winner of the Battle of Britain. 'British' (Gold) is a standard adjective referring to the UK's forces, while 'United Kingdom' (KG) uses the country name. The difference is purely stylistic (adjective vs. country name) with no factual or semantic conflict. The answers are semantically equivalent.",none
104,Which tv network originally aired the science fiction tv series Space: Above and Beyond,Fox,Fox Broadcasting Company|Fox Broadcasting Company (lang:en),ComplexQA/CompMix_infobox_complex/00073.json,Same,"Both answers refer to the same TV network. 'Fox' is the standard shorthand for 'Fox Broadcasting Company', and the question asks for the network name without requiring the full legal title. The KG answer's redundancy ('Fox Broadcasting Company|Fox Broadcasting Company') does not alter the core fact, making the answers semantically equivalent.",none
106,who wrote old flames cant hold a candle to you,Patricia Rose Sebert | Hugh Moffatt,"Hugh Moffatt|Hugh Moffatt (lang:en)
Pebe Sebert|Pebe Sebert (lang:en)",SimpleQA/NQ_table_test_simple/00331.json,Same,"The Gold answer lists 'Patricia Rose Sebert' and 'Hugh Moffatt', while the KG answer lists 'Pebe Sebert' and 'Hugh Moffatt'. 'Pebe Sebert' is the stage name of Patricia Rose Sebert, so both answers refer to the same two writers. The difference is solely in name representation (full name vs. stage name), not factual content or completeness.",none
116,What is the number of episodes of the TV series Money Heist,41,41.0,ComplexQA/CompMix_table_complex/00215.json,Same,"The answers are semantically equivalent. Both '41' and '41.0' represent the exact same integer value of 41 episodes. The difference is solely in numerical formatting (integer vs. float representation), which is explicitly ignored per the guidelines as a non-substantive formatting variation.",none
124,Which football club Kaka was playing for when he won the Ballon d'Or,A.C. Milan,"AC Milan|AC Milan (lang:en)
Brazil men's national football team|Brazil men's national football team (lang:en)",ComplexQA/CompMix_infobox_complex/00115.json,Same,"The club name is semantically identical (AC Milan vs A.C. Milan, a minor formatting difference). The KG answer's extra fact (Brazil national team) is irrelevant to the question about a club and does not conflict with the core fact. The Gold answer's club reference is fully covered by the KG's first entry.",none
127,who sings the song let me love you,DJ Snake featuring Justin Bieber,"DJ Snake|DJ Snake (lang:en)
Justin Bieber|Justin Bieber (lang:en)",SimpleQA/NQ_table_test_simple/00474.json,Same,"Both answers correctly identify DJ Snake and Justin Bieber as the artists for the song. The Gold answer includes 'featuring' for context, but the KG answer lists the same two artists. The difference is purely in phrasing and formatting, not in core facts or completeness.",none
130,Which album by Britney Spears was released first Baby One More Time,Baby One More Time,...Baby One More Time|1998-10-23T00:00:00Z,ComplexQA/CompMix_table_complex/00197.json,Same,"Both answers correctly identify 'Baby One More Time' as the album title. The KG answer includes an extra release date (1998-10-23), but the question only asks for the album name, not the date. The core fact matches exactly, and the extra date is irrelevant to the query.",none
131,Which type of The Scarlet Letter genre?,"Romantic, Historical","historical fiction|historical fiction (lang:en)
romantic fiction|romantic fiction (lang:en)",SimpleQA/CompMix_table_simple_qa/00006.json,Same,"The Gold answer 'Romantic, Historical' uses common shorthand for the genres, while the KG answer provides precise terms 'historical fiction' and 'romantic fiction'. Both convey identical core genre information for The Scarlet Letter, with differences limited to wording and specificity. No factual conflict or completeness issue exists.",none
132,What is the name of the first book of the series The Dark Tower,The Gunslinger,The Dark Tower: The Gunslinger (lang:en),ComplexQA/CompMix_infobox_complex/00111.json,Same,"The answers are semantically equivalent. The KG answer includes the series name as a prefix and a language tag, but the core book name 'The Gunslinger' matches the Gold answer. The difference is minor formatting/contextual addition, not factual disagreement.",none
136,How many goals did Eden Hazard scored for Belgium national football team,33,33.0,ComplexQA/CompMix_table_complex/00219.json,Same,"Both answers represent the exact same numerical value (33 goals). The KG answer uses a decimal format (33.0) which is numerically identical to the integer 33. No factual, completeness, or precision differences exist; the formatting variation is ignored per guidelines.",none
138,The science fiction tv series Space: Above and Beyond originally aired on which tv network,Fox,Fox Broadcasting Company (lang:en),ComplexQA/CompMix_infobox_complex/00048.json,Same,"The answers are semantically equivalent. 'Fox' is the standard shorthand for Fox Broadcasting Company, the network that aired the series. The KG answer provides the full legal name but conveys the same factual network. The '(lang:en)' tag is irrelevant metadata, not a factual difference. No conflict or precision gap exists.",none
149,Who were the directors of the episode named MADMAX of the series Stranger Things,Duffer brothers,"Matt Duffer|Matt Duffer (lang:en)
Ross Duffer|Ross Duffer (lang:en)",ComplexQA/CompMix_table_complex/00115.json,Same,"Both answers correctly identify the Duffer brothers as the directors. The Gold answer uses the standard collective term, while the KG answer explicitly lists the two names. The meaning is identical—no factual conflict, completeness, or precision difference exists. The variation is purely in wording format.",minor
152,panda is a national animal of which country,China,People's Republic of China|People's Republic of China (lang:en),SimpleQA/NQ_table_test_simple/00738.json,Same,"Both answers refer to the same country. 'China' is the standard shorthand for the People's Republic of China in common usage, and the KG answer's full name (with language tag formatting) does not alter the core fact. The differences are purely in wording and formatting, not in meaning or factual content.",none
155,In which country was the novel The Stand by Stephen King published,United States of America,United States (lang:en),ComplexQA/CompMix_table_complex/00246.json,Same,The answers are semantically equivalent. 'United States' is a standard short form for 'United States of America' in country references. The language tag (lang:en) in the KG answer is metadata and does not alter the country fact. No meaningful difference exists in the core information.,none
157,how many episodes in my name is earl season 4,27,27.0,SimpleQA/NQ_table_test_simple/00631.json,Same,"Both answers represent the same numerical value (27 episodes). The KG answer uses a decimal format (27.0) while the Gold answer uses an integer, but this is purely a formatting difference with no semantic or factual distinction. The episode count is identical and unambiguous.",none
162,who has the most trophies in la liga,Real Madrid,Real Madrid Club de Fútbol|Real Madrid Club de Fútbol (lang:en)|36,SimpleQA/NQ_table_test_simple/00377.json,Same,"Both answers refer to the same club (Real Madrid). The KG answer uses the full name 'Real Madrid Club de Fútbol' (a standard variant) and includes an irrelevant number (36), but this does not conflict with the Gold answer. The core fact is identical, and the extra data is not part of the question's requirement.",none
165,What club did Andoni Goikoetxea play for in the year 1980,Athletic Bilbao,Athletic Club|Athletic Club (lang:en),ComplexQA/CompMix_table_complex/00271.json,Same,"Both answers refer to the same football club. 'Athletic Bilbao' is the common English name for the club officially called 'Athletic Club'. The KG answer uses the official name with language specification, while the Gold answer uses the widely recognized English variant. This is a standard naming convention difference with no factual conflict.",none
172,"What was the total number of games played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009",18,18.0,ComplexQA/Sportsreason_TANQ_complex/00125.json,Same,"Both answers represent the numerical value 18. The Gold answer uses an integer format, while the KG answer uses a float representation (18.0). This is a formatting difference only, with no semantic, factual, or precision change. The total game count is identical in both.",none
175,how many episodes in adventure time season 1,26,26.0,SimpleQA/NQ_table_test_simple/00293.json,Same,"The answers are semantically equivalent. Both '26' and '26.0' represent the exact same integer value for the episode count. The difference is purely in numerical formatting (integer vs. float representation), which does not alter the factual content, precision, or completeness of the answer. No meaningful discrepancy exists.",none
183,who is the owner of the crowne plaza,InterContinental Hotels Group,IHG Hotels & Resorts|IHG Hotels & Resorts (lang:en),SimpleQA/NQ_table_test_simple/00906.json,Same,Both answers refer to the same entity: InterContinental Hotels Group (full name) and IHG Hotels & Resorts (common brand name). The KG answer's language tag and formatting are irrelevant to semantic meaning.,none
184,the atomic number of indium which belongs to 5th period is,49,49.0,SimpleQA/NQ_table_test_simple/00754.json,Same,Both answers state the atomic number of indium as 49. The KG answer uses a float representation (49.0) which is numerically identical to the integer 49. No factual difference exists; the formatting variation is ignored per guidelines.,none
186,Who was the distributor of the picture 12 Years as a Slave?,"InterCom, ProVideo, Netflix","InterCom
ProVideo
Netflix",SimpleQA/CompMix_table_simple_qa/00023.json,Same,"The answers list identical distributors: InterCom, ProVideo, and Netflix. The difference is solely in formatting (commas vs. newlines), which is ignored per guidelines. No factual disagreement, completeness gap, or precision difference exists.",none
217,Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from highest to lowest. What is the third number of races in this sorted list,20,"21.0
21.0
20.0
19.0
19.0
18.0",ComplexQA/Sportsreason_TANQ_complex/00122.json,Same,"The Gold answer '20' and the KG answer's third element '20.0' represent the same integer value. Formatting differences (decimal vs integer) are ignored per guidelines. The core fact (third number in sorted list is 20) is identical, with no factual conflict or precision difference.",none
247,who wrote catch 22 (both names),Joseph Heller,Joseph (lang:en)|Heller (lang:en),SimpleQA/NQ_table_test_simple/00704.json,Same,"The answers are semantically equivalent. The Gold answer 'Joseph Heller' and KG answer 'Joseph (lang:en)|Heller (lang:en)' both correctly identify the author. The KG answer explicitly splits the first and last name (as requested by 'both names') with language tags, but this is a formatting difference (separator and metadata) that doesn't alter the core fact. No factual conflict or completeness difference exists.",none
248,What team won the gold medal for soccer in the men's division in the 2020 Summer Olympics,Brazil,Brazil national under-23 football team,ComplexQA/CompMix_infobox_complex/00018.json,Same,"Both answers refer to the same winning team. The Gold answer 'Brazil' is the standard shorthand for the Brazilian national under-23 team in Olympic soccer context, while the KG answer provides the full team name. The core fact (Brazil won the gold medal) is identical, with no factual conflict or meaningful precision difference.",none
252,how many seasons of the smurfs are there,9,9.0,SimpleQA/NQ_table_test_simple/00872.json,Same,"Both answers represent the numerical value 9 for the number of Smurfs seasons. The Gold answer uses an integer format, while the KG answer uses a float representation (9.0). This is a purely formatting difference with no semantic, factual, or precision change. The core fact (9 seasons) is identical.",none
255,where is kruger national park in south africa,"Limpopo and Mpumalanga provinces, South Africa","Mpumalanga (lang:en)
Limpopo (lang:en)",SimpleQA/NQ_table_test_simple/00263.json,Same,"Both answers correctly identify Kruger National Park's location as spanning Mpumalanga and Limpopo provinces in South Africa. Differences are limited to formatting (line breaks, language tags, and province order), which do not alter the semantic meaning or factual content.",none
259,how many episodes in series 7 of game of thrones are there,7,7.0,SimpleQA/NQ_table_test_simple/00310.json,Same,"The answers are semantically equivalent. Both '7' and '7.0' represent the exact same numerical value (7 episodes) for Game of Thrones Season 7. The difference is purely in formatting (integer vs. float representation), which is irrelevant to the factual count. No meaningful discrepancy exists in content, precision, or completeness.",none
260,how many episodes in game if thrones season 7,7,7.0,SimpleQA/NQ_table_test_simple/00070.json,Same,"Both answers state the episode count as 7. The KG answer uses a float representation (7.0) while the Gold uses an integer (7), but this is purely a formatting difference with no semantic or factual distinction. The core value (7 episodes) is identical and unambiguous.",none
261,how many seasons of rules of engagement is there,7,7.0,SimpleQA/NQ_table_test_simple/00183.json,Same,"The answers are semantically equivalent. '7' and '7.0' represent the same numerical value for the number of seasons. The difference is purely in formatting (integer vs. float representation), which is ignored per guidelines. No factual conflict or meaningful difference exists.",none
264,"The console video game localized by Aksys Games that was released on June 7 , 2016 by Arc System Works was of what genre",fighting,fighting game (lang:en),ComplexQA/OTT_QA_dev_complex/00352.json,Same,"The answers are semantically equivalent. 'fighting' (Gold) and 'fighting game' (KG) both correctly identify the genre, with the KG answer using a more descriptive phrasing. The difference is purely linguistic (adding 'game' for clarity in context), not factual. Core meaning and genre identification are identical.",none
265,how many gold medals did australia win in the 2000 olympics,16,16.0,SimpleQA/NQ_table_test_simple/00794.json,Same,"Both answers state 16 gold medals for Australia in the 2000 Olympics. The KG answer uses a float format (16.0) while the Gold answer uses an integer (16), but this is a purely formatting difference with no semantic or factual distinction. The medal count remains identical.",none
269,who won the battle of stirling bridge 1297,Scottish victory,Kingdom of Scotland|Kingdom of Scotland (lang:en),SimpleQA/NQ_table_test_simple/00124.json,Same,"Both answers indicate the Scottish side won the battle. The Gold answer uses 'Scottish victory' (describing the outcome), while the KG answer provides 'Kingdom of Scotland' (the entity representing the winning side). The difference is purely in phrasing and formatting, not factual content or meaning.",none
282,how many seasons of vampire diaries r there,8,8.0,SimpleQA/NQ_table_test_simple/00297.json,Same,"The answers are semantically equivalent. Both '8' and '8.0' represent the exact same numerical value (8 seasons) for the Vampire Diaries. The difference is purely in formatting (integer vs. float representation), which is ignored per guidelines. No factual conflict or meaningful difference exists.",none
287,What is the combined number of games played in the 2008 and 2009 National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies,10,10.0,ComplexQA/Sportsreason_TANQ_complex/00168.json,Same,"Both answers represent the numerical value 10 for the combined games count. The KG answer uses a float format (10.0) while the Gold uses an integer (10), but this is a purely formatting difference with no semantic or factual distinction. The core value (10 games) is identical and correct for the 2008-2009 NLCS series.",none
288,how many episodes in season 2 of fargo,10,10.0,SimpleQA/NQ_table_test_simple/00554.json,Same,Both answers state the episode count as 10. The KG answer uses a float representation (10.0) which is numerically identical to the integer 10. The difference is purely formatting (decimal vs. integer) with no semantic or factual distinction.,none
289,How many episodes in the season 1 of Emily in Paris series,10,10.0,ComplexQA/CompMix_table_complex/00193.json,Same,"Both answers represent the integer value 10 for the episode count. The KG answer uses a float format (10.0) while the Gold uses an integer (10), but this is a purely formatting difference with no semantic or factual distinction. The core fact (10 episodes) is identical.",none
290,what is the second largest country in asia,China,People's Republic of China|People's Republic of China (lang:en)|9596961.0,SimpleQA/NQ_table_test_simple/00117.json,Same,"The Gold answer 'China' and the KG answer's country name 'People's Republic of China' refer to the same country. The KG answer includes the full official name and area (9596961.0), but the question only asks for the country name. The difference is a standard name variation (common vs. official), not a factual conflict or missing information.",none
311,What is the number of seasons in the Two and a Half Men series,12,12.0,ComplexQA/CompMix_infobox_complex/00098.json,Same,"Both answers represent the same numerical value (12 seasons) for the series. The difference is solely in formatting (integer '12' vs. float '12.0'), which is a standard normalization difference with no semantic or factual impact. The series' season count is a fixed fact with no time sensitivity.",none
315,How many episodes are there in season 1 of the TV series Lucifer,13,13.0,ComplexQA/CompMix_table_complex/00165.json,Same,"Both answers represent the exact same numerical value (13 episodes). The Gold answer uses an integer format, while the KG answer uses a float representation (13.0). This is a formatting difference only, as 13.0 equals 13 numerically. No factual disagreement or meaningful difference exists.",none
318,What was the difference in the number of games played between the 2008 National League Championship Series and the 1977 National League Championship Series,1,1.0,ComplexQA/Sportsreason_TANQ_complex/00193.json,Same,"Both answers represent the numerical difference of 1 game. The Gold answer uses integer '1', while the KG answer uses float '1.0'. This is a formatting difference only (integer vs. float representation) with identical semantic meaning and factual content. No meaningful discrepancy exists.",none
319,How many more games were played in the 2006 National League Championship Series won by the St. Louis Cardinals compared to the 2013 National League Championship Series won by the St. Louis Cardinals,1,1.0,ComplexQA/Sportsreason_TANQ_complex/00063.json,Same,"The Gold answer '1' and KG answer '1.0' represent identical numerical values. The difference is solely in formatting (integer vs. float representation), which is explicitly ignored per the guidelines as a non-semantic variation. Both answers correctly state the 1-game difference between the 2006 and 2013 NLCS series.",none
320,How many goals did Paul Pogba scored for France national under-18 football team,1,1.0,ComplexQA/CompMix_table_complex/00156.json,Same,"Both answers state the goal count as 1, with the KG answer using a float representation (1.0) instead of an integer. The difference is purely formatting (no semantic, factual, or completeness variation), so they are equivalent. The question asks for a fixed historical fact, not a time-sensitive value.",none
321,who won last year's ncaa women's basketball,South Carolina,2021–22 South Carolina Gamecocks women's basketball team,SimpleQA/NQ_table_test_simple/00525.json,Same,"Both answers correctly identify South Carolina as the winner of the most recent NCAA women's basketball championship (2021-22 season). The Gold answer uses the standard team shorthand 'South Carolina', while the KG answer provides the full team name and season context. This is a formatting difference, not a factual discrepancy.",none
339,what was the lowest barometric pressure for hurricane irma,914 mbar (hPa),914.0,SimpleQA/NQ_table_test_simple/00540.json,Same,"Both answers convey the same numerical value (914) for the lowest barometric pressure. The Gold answer specifies the unit 'mbar (hPa)', while the KG answer uses '914.0' (a minor decimal formatting difference). The unit is standard for barometric pressure and implied by the question context, making the core fact identical.",none
353,Which are the teams participated in the inaugural UEFA Championship?,Soviet Union; Yugoslavia; Czechoslovakia; France,"Czechoslovakia men's national association football team|Czechoslovakia men's national association football team (lang:en)
Yugoslavia men's national football team|Yugoslavia men's national football team (lang:en)
Soviet Union national association football team|Soviet Union national association football team (lang:en)
France men's national association football team|France men's national association football team (lang:en)",SimpleQA/CompMix_table_simple_qa/00053.json,Same,"The Gold answer lists the country names (Soviet Union, Yugoslavia, Czechoslovakia, France) as team identifiers, which is standard for historical football tournaments. The KG answer provides verbose team descriptions (e.g., 'Czechoslovakia men's national association football team') but contains identical core team names. The difference is purely in formatting, not factual content or completeness.",none
361,ray charles hit the road jack album name,Ray Charles Greatest Hits,Greatest Hits (lang:en),SimpleQA/NQ_table_test_simple/00411.json,Same,"Both answers refer to the album 'Greatest Hits' by Ray Charles. The Gold answer includes the artist name in the phrase, but the album name is identical. The language tag in KG is a formatting detail and does not alter the core fact.",none
363,Sort Lewis Hamilton's Formula One championship seasons from 2015 onwards by the number of races from highest to lowest. What is the number of races in the second season in this sorted list,21,"2018 Formula One World Championship|21.0|2018
2019 Formula One World Championship|21.0|2019
2017 Formula One World Championship|20.0|2017
2015 Formula One World Championship|19.0|2015",ComplexQA/Sportsreason_TANQ_complex/00086.json,Same,"Both answers indicate 21 races for the second season in the sorted list. The KG answer provides the full list of seasons (2018 and 2019 both have 21 races), confirming the second season's race count matches the Gold answer. The difference is solely in formatting (number vs. list), not semantic meaning or factual content.",none
383,What is the budget of Boyhood movie?,4 million USD,4000000.0,SimpleQA/CompMix_table_simple_qa/00282.json,Same,"Both answers represent the same budget value of 4,000,000 USD. The Gold answer uses '4 million USD' while the KG answer uses the numerical form '4000000.0', which is a minor formatting difference (worded vs. numeric) without semantic or factual change.",none
389,show me fort pierce florida on a map,27°26′20″N 80°20′8″W﻿ / ﻿27.43889°N 80.33556°WCoordinates: 27°26′20″N 80°20′8″W﻿ / ﻿27.43889°N 80.33556°W,POINT(-80.335556 27.438889) (geo:wktLiteral),SimpleQA/NQ_table_test_simple/00255.json,Same,"Both answers provide identical geographic coordinates for Fort Pierce, Florida, with the Gold answer using DMS and decimal degrees (rounded to 5 decimals) and the KG answer using WKT (6 decimals). The minor decimal difference (e.g., 27.43889 vs. 27.438889) is negligible for map location and represents standard rounding variation, not a meaningful discrepancy.",none
408,philadelphia is known as the city of what,Brotherly Love,"City of Brotherly Love (lang:en)
Philly (lang:en)",SimpleQA/NQ_table_test_simple/00107.json,Same,"The Gold answer 'Brotherly Love' and the KG answer's 'City of Brotherly Love' both correctly identify the core nickname phrase. The KG answer's additional 'Philly' is irrelevant to the question and does not conflict with the core fact. The answers are semantically equivalent, with differences limited to formatting and extra information.",none
414,how many seasons of johnny bravo are there,4,4.0,SimpleQA/NQ_table_test_simple/00550.json,Same,"Both answers represent the same numerical value (4 seasons). The difference is solely in formatting (integer vs. float representation), which is insignificant for counting seasons. No factual, completeness, or precision differences exist.",none
462,"Which record label released Shakira's second English album, Oral Fixation, Vol. 2",Epic,Epic Records (lang:en),ComplexQA/CompMix_table_complex/00262.json,Same,"The Gold answer 'Epic' is the standard shorthand for the record label Epic Records. The KG answer 'Epic Records (lang:en)' provides the full name and a language tag, which is ignored per guidelines. Both refer to the same label, with the difference being only in formatting (full name vs. common abbreviation) and non-factual metadata. No factual conflict or precision difference exists.",none
464,how many episodes are there in ordeal by innocence,3,3.0,SimpleQA/NQ_table_test_simple/00742.json,Same,"The answers are semantically equivalent. Both '3' and '3.0' represent the same numerical value for the episode count. The difference is purely in formatting (integer vs. float representation), which does not affect factual accuracy, completeness, or precision. No meaningful discrepancy exists.",none
465,the secret of crickley hall how many episodes,3,3.0,SimpleQA/NQ_table_test_simple/00817.json,Same,"Both answers represent the same numerical value (3 episodes). The difference is solely in formatting (integer '3' vs. float '3.0'), which is a superficial normalization difference. No factual, semantic, or completeness discrepancy exists.",none
