source_row_id,question,gold_answer,KG answer,file_path,taxonomy_label,LLM explanation,difference_severity
41,What was the subtitle of the book Jane Eyre?,An Autobiography,An Autobiography (lang:en),SimpleQA/CompMix_table_simple_qa/00311.json,Same,"The subtitle 'An Autobiography' is identical in both answers. The KG answer includes a language tag (lang:en), which is irrelevant to the question and does not alter the core fact. The answers are semantically equivalent.",none
44,which is the lion's mane jellyfish's species within its genus,C. capillata,Cyanea capillata,SimpleQA/NQ_table_test_simple/00410.json,Same,"Both answers refer to the same species (Cyanea capillata). The Gold answer uses the standard abbreviation 'C. capillata' (where 'C.' stands for Cyanea), and the KG answer writes the full genus. The difference is purely in formatting, not in factual content.",none
50,when did world war 2 officially start and end,1 September 1939 – 2 September 1945,1939-09-01T00:00:00Z|1945-09-02T00:00:00Z,SimpleQA/NQ_table_test_simple/00189.json,Same,"The answers express the same dates: September 1, 1939, and September 2, 1945. The KG answer uses ISO 8601 format with a time component, but the date is identical to the Gold answer. No factual or semantic difference exists.",none
51,Which type of The Scarlet Letter genre?,"Romantic, Historical","historical fiction
romantic fiction",SimpleQA/CompMix_table_simple_qa/00006.json,Same,"The Gold answer uses common shorthand (Romantic, Historical) for the genres, while the KG answer uses the full terms (historical fiction, romantic fiction). Both correctly identify the same two genres, so the answers are semantically equivalent.",none
57,What year did the El Salvador national football team make their first FIFA World Cup appearance,1970,1970 FIFA World Cup|1970-01-01T00:00:00Z,ComplexQA/CompMix_table_complex/00345.json,Same,"Both answers indicate the year 1970. The KG answer includes additional event name and a timestamp for January 1, 1970, but the year is the same and the timestamp is within 1970. No factual conflict.",none
58,Which Ivy league universities have ever been headed by a woman president,"['Columbia University', 'Cornell University', 'Dartmouth College', 'Harvard University', 'Princeton University', 'Yale University', 'Brown University', 'University of Pennsylvania']","Harvard University
Princeton University
Columbia University
Yale University
Brown University
Cornell University
Dartmouth College
University of Pennsylvania",ComplexQA/Monaco_time_complex/00703.json,Same,"The answers list the same set of 8 Ivy League universities. Differences are only in formatting (order, brackets) and do not affect the semantic meaning. Both answers are factually identical and complete for the question.",none
61,panda is a national animal of which country,China,People's Republic of China,SimpleQA/NQ_table_test_simple/00738.json,Same,"The answers refer to the same country. 'China' is the common name, and 'People's Republic of China' is the official name. Both are correct and semantically equivalent for the question.",none
76,who sang oh annie i not your daddy,Kid Creole & The Coconuts,"Annie, I'm Not Your Daddy|Kid Creole and the Coconuts (lang:en)",SimpleQA/NQ_table_test_simple/00617.json,Same,"The answers are semantically equivalent. The band name differs only in the use of '&' vs 'and', which is a common normalization variation and does not change the factual identity of the artist. Both refer to the same musical act.",none
91,who is the owner of the crowne plaza,InterContinental Hotels Group,IHG Hotels & Resorts,SimpleQA/NQ_table_test_simple/00906.json,Same,"Both answers refer to the same company: InterContinental Hotels Group (commonly known as IHG). The KG answer uses the brand name 'IHG Hotels & Resorts', which is the standard industry reference for the same entity. No factual difference exists.",none
92,what is the pirates of the caribbean in order,The Curse of the Black Pearl | Dead Man's Chest | At World's End | On Stranger Tides | Dead Men Tell No Tales,"Pirates of the Caribbean: The Curse of the Black Pearl|2003-07-09T00:00:00Z|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en)
Pirates of the Caribbean: Dead Man's Chest|2006-07-07T00:00:00Z|Pirates of the Caribbean: Dead Man's Chest (lang:en)
Pirates of the Caribbean: At World's End|2007-05-23T00:00:00Z|Pirates of the Caribbean: At World's End (lang:en)
Pirates of the Caribbean: On Stranger Tides|2011-05-18T00:00:00Z|Pirates of the Caribbean: On Stranger Tides (lang:en)
Pirates of the Caribbean: Dead Men Tell no Tales|2017-05-24T00:00:00Z|Pirates of the Caribbean: Dead Men Tell No Tales (lang:en)",SimpleQA/NQ_table_test_simple/00217.json,Same,"The answers list the same five movies in chronological order. The KG answer uses a slightly longer title format and includes release dates, but these are non-essential for the question. The minor capitalization difference in 'no' vs 'No' is negligible and does not affect meaning.",none
100,Who was the distributor of the picture 12 Years as a Slave?,"InterCom, ProVideo, Netflix","InterCom
ProVideo
Netflix",SimpleQA/CompMix_table_simple_qa/00023.json,Same,"The answers list the same three distributors: InterCom, ProVideo, and Netflix. The difference is only in formatting (commas vs. newlines), which is ignored per guidelines. No factual disagreement or completeness issue.",none
134,how many seasons of the smurfs are there,9,9.0,SimpleQA/NQ_table_test_simple/00872.json,Same,"The answers both represent the number 9. The Gold answer uses an integer format, while the KG answer uses a float representation. This is a formatting difference only, with no change in the numerical value or meaning. The core fact (9 seasons) is identical.",none
138,how many episodes in series 7 of game of thrones are there,7,7.0,SimpleQA/NQ_table_test_simple/00310.json,Same,"The answers are semantically equivalent. Both '7' and '7.0' represent the same integer value of 7 episodes. The difference is only in numerical formatting (integer vs. float), which is irrelevant for counting episodes. No factual or meaningful difference exists.",none
139,how many episodes in game if thrones season 7,7,7.0,SimpleQA/NQ_table_test_simple/00070.json,Same,Both answers state the episode count as 7. The KG answer uses a float representation (7.0) which is semantically identical to the integer 7. No factual or meaningful difference exists.,none
141,"Which record label released Shakira's second English album, Oral Fixation, Vol. 2",Epic,Epic Records,ComplexQA/CompMix_table_complex/00562.json,Same,"The answers are semantically equivalent. 'Epic' is the standard shorthand for the record label 'Epic Records', and both refer to the same entity. The difference is only in the level of detail, which is acceptable as normalization.",none
157,The new Hawaii Five-0 wrapped up after how many season's on CBS,10,10.0,ComplexQA/CompMix_table_complex/00568.json,Same,"Both answers indicate 10 seasons. The difference is only in numerical formatting (integer vs. float), which does not alter the factual meaning. The core fact of 10 seasons is identical.",none
158,Stargate SG-1 the science fiction tv series ran for how many seasons,10,10.0,ComplexQA/CompMix_infobox_complex/00261.json,Same,"Both answers state the series ran for 10 seasons. The Gold answer uses an integer (10) while the KG answer uses a float (10.0), but the numerical value is identical. No semantic or factual difference exists.",none
162,What is the number of seasons in the Two and a Half Men series,12,12.0,ComplexQA/CompMix_infobox_complex/00098.json,Same,"Both answers represent the same number of seasons (12). The difference is only in formatting (integer vs. float), which is a minor normalization and does not affect the semantic meaning or factual content.",none
163,"In Bueno Aires, the Superclasico refers to the rivalry between which two clubs",Boca Juniors;River Plate,"Boca Juniors|rdfs:label
Club Atlético River Plate|rdfs:label",ComplexQA/CompMix_infobox_complex/00163.json,Same,"The answers refer to the same clubs. Gold uses common short names (Boca Juniors, River Plate), KG uses full official name (Club Atlético River Plate) but this is the standard short form for the club. Semantic meaning is identical.",none
165,What year was the book And to Think That I Saw It on Mulberry Street published,1937,And to Think That I Saw It on Mulberry Street|1937-01-01T00:00:00Z,ComplexQA/CompMix_table_complex/00356.json,Same,"Both answers indicate the publication year as 1937. The KG answer includes the book title and a specific date (January 1, 1937), but the year is the same. The question only asks for the year, so the extra detail does not change the core fact. The difference is purely in formatting and not in the factual content.",none
167,how many seasons of the bastard executioner are there,1,|1.0,SimpleQA/NQ_table_test_simple/00413.json,Same,"Both answers state 1 season. The KG answer uses '1.0' (a float) and a pipe, but the core fact is identical. Formatting differences do not change the meaning.",none
171,when did the battle of bull run start,"July 21, 1861",First Battle of Bull Run|1861-07-21T00:00:00Z,SimpleQA/NQ_table_test_simple/00538.json,Same,"The Gold answer (July 21, 1861) and KG answer (1861-07-21) represent the same date. The KG answer includes the battle name and a timestamp, but the date part is identical. The time component (00:00:00Z) is a standard representation for the start of the day and does not conflict with the Gold answer.",none
172,where is wake forest located in north carolina,35°58′24″N | 35.97333°N | 78°31′8″W | 78.51889°W,POINT(-78.518889 35.973333) (geo:wktLiteral),SimpleQA/NQ_table_test_simple/00224.json,Same,"Both answers provide identical geographic coordinates for Wake Forest, NC. The Gold answer uses degrees-minutes-seconds and rounded decimal degrees (35.97333°N, 78.51889°W), while the KG answer uses a more precise decimal representation in WKT format (35.973333, -78.518889). The minor decimal difference is due to rounding and does not alter the location.",none
173,what was the lowest barometric pressure for hurricane irma,914 mbar (hPa),914.0,SimpleQA/NQ_table_test_simple/00540.json,Same,"The answers both convey the same numerical value (914) for the lowest barometric pressure. The Gold answer includes the standard unit 'mbar (hPa)', while the KG answer uses '914.0' (a minor decimal formatting difference). The unit is implied by the context of the question, so the meaning is identical.",none
186,the resting stage of the cell cycle is,A phase where the cell has left the cycle and has stopped dividing,resting phase,SimpleQA/NQ_table_test_simple/00539.json,Same,"The Gold answer describes the resting phase (a phase where the cell has left the cycle and stopped dividing), and the KG answer provides the standard name 'resting phase'. Both refer to the same biological concept, so they are semantically equivalent.",none
193,What is the budget of Boyhood movie?,4 million USD,4000000.0,SimpleQA/CompMix_table_simple_qa/00282.json,Same,"Both answers represent 4,000,000 USD. The Gold answer uses '4 million USD' and the KG answer uses the numerical form '4000000.0', which is a minor formatting difference without semantic change.",none
198,What is the date of birth of lead singer of the Band Bon Jovi,2 March 1962,Jon Bon Jovi|1962-03-02T00:00:00Z,ComplexQA/CompMix_infobox_complex/00109.json,Same,"Both answers represent the same date: March 2, 1962. The Gold answer uses a standard written format, while the KG answer uses an ISO 8601 timestamp with irrelevant time and timezone details. The core fact is identical.",none
199,who won last year's ncaa women's basketball,South Carolina,2023–24 South Carolina Gamecocks women's basketball team,SimpleQA/NQ_table_test_simple/00524.json,Same,"Both answers correctly identify South Carolina as the winner of the most recent NCAA women's basketball championship. The KG answer includes the season and full team name, but the core fact is identical. This is a minor normalization difference, not a factual conflict.",minor
203,"Among the 2008, 2015, 2017, 2018, and 2019 Formula One seasons, sort the number of races in the seasons Lewis Hamilton won from highest to lowest. What is the third number",20,"2015 Formula One World Championship|19.0
2017 Formula One World Championship|20.0
2018 Formula One World Championship|21.0
2019 Formula One World Championship|21.0
2008 Formula One World Championship|18.0",ComplexQA/Sportsreason_TANQ_complex/01436.json,Same,"The Gold answer (20) matches the third number in the descending sort of race counts (21, 21, 20, 19, 18) derived from the KG data. Both answers convey the same core fact without conflict or precision difference.",none
207,Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from highest to lowest. What is the third number of races in this sorted list,20,"2021 Formula One World Championship|22.0
2019 Formula One World Championship|21.0
2017 Formula One World Championship|20.0
2015 Formula One World Championship|19.0
2014 Formula One World Championship|19.0
2008 Formula One World Championship|18.0
2020 Formula One World Championship|17.0",ComplexQA/Sportsreason_TANQ_complex/01422.json,Same,"The Gold answer (20) and the KG answer's third element (20.0) are numerically equivalent. The difference is only in formatting (integer vs. float), which is ignored per judging rules. The core fact (third number of races) is identical.",none
213,What are the Ivy League colleges in the order in which they were founded from oldest to newest,"['Harvard University', 'Yale University.', 'University of Pennsylvania', 'Princeton University', 'Columbia University', 'Brown University', 'Dartmouth College', 'Cornell University']","Harvard University|1636-09-08T00:00:00Z
Yale University|1701-01-01T00:00:00Z
University of Pennsylvania|1740-11-14T00:00:00Z
Princeton University|1746-01-01T00:00:00Z
Columbia University|1754-05-25T00:00:00Z
Brown University|1765-01-01T00:00:00Z
Dartmouth College|1769-12-13T00:00:00Z
Cornell University|1865-01-01T00:00:00Z",ComplexQA/Monaco_non_time_complex/00892.json,Same,"The Gold and KG answers list the same Ivy League colleges in the same order (oldest to newest). The KG answer includes founding dates, but the question does not require them. The minor punctuation difference (period after 'Yale University.') does not affect the meaning.",none
244,Sort the Formula One seasons when Michael Schumacher was Drivers' Champion by the number of races from lowest to highest. What is the number of races in the third season in the sorted list,17,2000 Formula One World Championship|17.0,ComplexQA/Sportsreason_TANQ_complex/01389.json,Same,"The Gold answer '17' and the KG answer '2000 Formula One World Championship|17.0' both indicate the number 17 for the third season. The KG answer includes the season name and uses a float representation (17.0), but the core value is identical. The difference is minor formatting and extra context, not factual conflict.",none
247,the secret of crickley hall how many episodes,3,|3.0,SimpleQA/NQ_table_test_simple/00816.json,Same,"Both answers state 3 episodes. The KG answer's '3.0' and pipe symbol are formatting differences only, not factual changes. The core fact is identical.",none
248,how many episodes are there in ordeal by innocence,3,3.0,SimpleQA/NQ_table_test_simple/00742.json,Same,"The answers are semantically equivalent. The Gold answer '3' and KG answer '3.0' both represent the same count of episodes (3). The difference is solely in numerical formatting (integer vs. float), which does not affect the factual content.",none
249,What is the number of seasons of the TV series Money Heist,3,3.0,ComplexQA/CompMix_infobox_complex/00222.json,Same,"Both answers represent the same numerical value (3 seasons). The difference is only in formatting (integer vs. float), which is insignificant for the count of seasons. The core fact is identical.",none
250,the secret of crickley hall how many episodes,3,|3.0,SimpleQA/NQ_table_test_simple/00817.json,Same,"Both answers state the number of episodes as 3. The KG answer uses a float representation (3.0) and a pipe symbol, but the core value is identical. No factual difference exists.",none
278,What is the nationality of the artist whose song was played during the lowest rated dance in week 7 of Strictly Come Dancing series 17,American,"Bucky Pizzarelli|United States
Bucky Pizzarelli|United States
Bucky Pizzarelli|United States
Bucky Pizzarelli|United States
Bucky Pizzarelli|United States
...|...
Miklós Fenyő|Hungary
Miklós Fenyő|Hungary
Miklós Fenyő|Hungary
Miklós Fenyő|Hungary
Buckwheat Zydeco|United States",ComplexQA/OTT_QA_dev_complex/01174.json,Same,The Gold answer 'American' and the KG answer's nationality 'United States' for the relevant artist (Bucky Pizzarelli) are semantically equivalent. The repetition and extra entries in KG are irrelevant to the question's core fact.,none
281,What is the budget of Titanic?,$200 million,200000000.0,SimpleQA/CompMix_table_simple_qa/00063.json,Same,"Both answers represent $200 million. The Gold answer uses standard monetary formatting, while the KG answer provides the numeric equivalent (200,000,000.0). The difference is solely in formatting, not in the factual value.",none
295,What is the run time of the movie The King of Pigs,97 minutes,97.0,ComplexQA/CompMix_infobox_complex/00234.json,Same,The answers both represent 97 minutes. The KG answer uses a float representation (97.0) which is numerically equivalent to 97. The unit 'minutes' is standard for run time and not required in the KG answer. Differences are due to formatting only.,none
310,where is the tennessee titans football stadium located,36°9′59″N 86°46′17″W﻿ / ﻿36.16639°N 86.77139°W,Nissan Stadium|POINT(-86.771389 36.166389) (geo:wktLiteral),SimpleQA/NQ_table_test_simple/00855.json,Same,"Both answers provide the same location coordinates (36.16639°N, 86.77139°W). The KG answer includes the stadium name 'Nissan Stadium' which is not required by the question, but the location is identical. Minor rounding differences in coordinate representation are negligible and do not change the location.",none
314,what is the Nick name of Man united?,Red Devils,"Setan Merah (lang:id)
The Red Devils (lang:en)
红魔 (lang:zh-hans)",SimpleQA/CompMix_table_simple_qa/00049.json,Same,The Gold answer 'Red Devils' and the KG's English entry 'The Red Devils' are semantically equivalent. The KG includes additional translations (Indonesian and Chinese) which are not required but do not conflict. The core fact is identical.,none
318,What is the Publication date of the first book of the novel series The Chronicles of Narnia,16 October 1950,"The Lion, the Witch, and the Wardrobe|1950-10-16T00:00:00Z",ComplexQA/CompMix_infobox_complex/00023.json,Same,"Both answers refer to the same publication date (October 16, 1950). The KG answer includes the book title and uses ISO date format, but the core date is identical. No factual conflict or meaningful difference exists.",none
340,how much for a passport in the philippines,₱950,|950.0,SimpleQA/NQ_table_test_simple/00640.json,Same,"Both answers state the passport fee as 950 Philippine pesos. The Gold answer uses ₱950 and the KG answer has |950.0, but the numerical value is identical. Formatting differences (currency symbol, decimal, pipe) do not affect the core fact.",none
369,What is the date of publication of the first book of the Outland series,1 June 1991,"Go Tell the Bees That I Am Gone|2021-11-23T00:00:00Z
Written in My Own Heart's Blood|2014-06-10T00:00:00Z
Dragonfly in Amber|1992-07-01T00:00:00Z
A Breath of Snow and Ashes|2005-09-27T00:00:00Z
An Echo in the Bone|2009-09-22T00:00:00Z
Drums of Autumn|1996-12-01T00:00:00Z
The Fiery Cross|2001-11-06T00:00:00Z
Voyager|1993-12-01T00:00:00Z
Outlander|1991-06-01T00:00:00Z",ComplexQA/CompMix_infobox_complex/00105.json,Same,"Both answers provide the same date (June 1, 1991) for the first book of the Outlander series. The KG answer lists additional books but correctly identifies 'Outlander' as the first book with the matching date. The question's 'Outland' is a common typo for 'Outlander', so the series is unambiguously the same.",none
410,How much is the budget of 2001: A Space Odyssey movie,$10.5 million,10500000.0,ComplexQA/CompMix_table_complex/00589.json,Same,"The Gold answer ($10.5 million) and KG answer (10500000.0) both represent the same budget value of 10.5 million dollars. The difference is solely in formatting (currency symbol and word vs. numeric representation), not in the factual content. The value is identical, so the difference is none.",none
452,what is the current population of bora bora,"10,605",10605.0,SimpleQA/NQ_table_test_simple/00615.json,Same,"Both answers represent the same population value of 10,605. The Gold uses a comma as a thousand separator, while the KG uses a float representation (10605.0). The numerical value is identical, and the difference is purely formatting, not meaning or fact.",none
578,what is the rank of pakistan in population,5,"India|1477519529.0
People's Republic of China|1442965000.0
United States|340110988.0
Indonesia|275439000.0
Pakistan|223773700.0
...|...
San Marino|33600.0
Palau|21729.0
Nauru|13650.0
Tuvalu|10643.0
Vatican City|882.0",SimpleQA/NQ_table_test_simple/00389.json,Same,"Both answers indicate Pakistan's population rank is 5. The Gold answer is a direct number, while the KG answer shows Pakistan as the 5th country in a population list. The difference is solely in format, not in the factual rank.",none
610,where was the u.s.s maine when it exploded in 1898,"Havana Harbor, Havana, Cuba",POINT(-82.355000 23.202500) (geo:wktLiteral),SimpleQA/NQ_table_test_simple/00574.json,Same,"The answers refer to the same location. Gold uses 'Havana Harbor, Havana, Cuba'; KG provides coordinates for the same harbor. The coordinate is a standard representation of the location, so the meaning is equivalent.",none
751,Who is the creator of the book series Diary of a Wimpy Kid?,Jeff Kinney,wd:Q311704,SimpleQA/CompMix_table_simple_qa/00225.json,Same,"The answers are semantically equivalent: 'Jeff Kinney' (Gold) and 'wd:Q311704' (KG) both refer to the same person, the creator of Diary of a Wimpy Kid. The KG answer uses a Wikidata identifier, which is a standard representation of the entity, but the meaning is identical. No factual conflict or difference in precision.",none
4,what is the genus of a bald eagle,Haliaeetus,Haliaeetus leucocephalus,SimpleQA/NQ_table_test_simple/00302.json,Higher accuracy in KG than in Table,"The KG answer provides the full scientific name (Haliaeetus leucocephalus), which includes the genus (Haliaeetus) as in the Gold answer. The additional species name is correct and standard, making the KG answer more complete. The core genus fact is identical, so the difference is minor.",minor
16,where can the mona lisa be found today,"Musée du Louvre, Paris","Salle des États, Louvre",SimpleQA/NQ_table_test_simple/00190.json,Higher accuracy in KG than in Table,"The Gold answer (Musée du Louvre, Paris) is correct but less precise. The KG answer (Salle des États, Louvre) specifies the exact room within the museum, which is the actual location of the Mona Lisa. The city is implied by 'Louvre' and not required for the room detail. The KG answer is more precise and accurate.",minor
17,who won the ncaa women's championship last year 2017,South Carolina Gamecocks,2016–17 South Carolina Gamecocks women's basketball team,SimpleQA/NQ_table_test_simple/00488.json,Higher accuracy in KG than in Table,"KG answer includes the correct season (2016–17) relevant to the 2017 championship, making it more complete. Core fact (South Carolina Gamecocks) is identical. Difference is minor.",minor
60,What is Billie Eilish's medical condition?,"Tourette syndrome, synesthesia","synesthesia
Tourette syndrome
depression",SimpleQA/CompMix_table_simple_qa/00288.json,Higher accuracy in KG than in Table,"The KG answer includes both conditions from the Gold answer (Tourette syndrome, synesthesia) and adds depression, a true medical condition Billie Eilish has. The Gold answer is incomplete, making the KG answer more accurate. The difference is minor as it's an addition of a valid fact without altering core conditions.",minor
67,Who is a part of Sergio Busquets sports team?,"Spain national association football team, Catalonia national football team",Futbol Club Barcelona,SimpleQA/CompMix_table_simple_qa/00224.json,Higher accuracy in KG than in Table,"The Gold answer incorrectly includes 'Catalonia national football team' (Busquets has never played for it), while the KG answer correctly identifies 'Futbol Club Barcelona' as his club. The Gold answer's error makes it inaccurate, whereas the KG answer is factually correct.",major
68,What is the name of the director of movie The Matrix Revolutions,The Wachowskis,"Lilly Wachowski
Lana Wachowski",ComplexQA/CompMix_infobox_complex/00286.json,Higher accuracy in KG than in Table,"The Gold answer uses the standard collective name 'The Wachowskis', while the KG answer lists the two individual names. The KG answer is more complete and correct, providing the full names of the directors. The core fact is the same, so the difference is minor.",minor
70,What is the genre of the book series The Folk of the Air,Fantasy,romantic fantasy,ComplexQA/CompMix_infobox_complex/00120.json,Higher accuracy in KG than in Table,"The Gold answer 'Fantasy' is a broad genre, but the series is specifically romantic fantasy. The KG answer provides the more precise and accurate subgenre, making it a higher-accuracy response. The Gold answer is incomplete without the romantic aspect.",minor
71,what is genre of the series the Sopranos?,crime serial,"drama television series
crime television series",SimpleQA/CompMix_table_simple_qa/00286.json,Higher accuracy in KG than in Table,"Gold answer 'crime serial' is inaccurate (genre is 'crime drama', not 'crime serial'). KG answer correctly identifies two genres: 'drama television series' and 'crime television series', which together form the standard description. The KG answer is more precise and complete.",major
72,what was the genre of the series The Sopranos?,crime serial,"drama television series
crime television series",SimpleQA/CompMix_table_simple_qa/00309.json,Higher accuracy in KG than in Table,"Gold answer provides only 'crime' (with typo 'serial'), while KG answer includes both 'drama' and 'crime' genres. KG is more complete and accurate.",major
84,Which is the first book of the novel series Little House on the Prairie,Little House in the Big Woods,Little House in the Big Woods (lang:en)|1932-01-01T00:00:00Z,ComplexQA/CompMix_table_complex/00395.json,Higher accuracy in KG than in Table,"Both answers correctly state the book title. The KG answer adds the publication year (1932) as a correct additional detail, making it more complete. The core fact matches, and the extra information is not conflicting.",minor
126,"When was the final James Bond Movie, No Time to Die released in theaters",2021,"2021-09-28T00:00:00Z
2021-09-30T00:00:00Z
2021-10-08T00:00:00Z
2021-11-11T00:00:00Z",ComplexQA/CompMix_infobox_complex/00078.json,Higher accuracy in KG than in Table,"The Gold answer (2021) and KG answer (multiple 2021 dates) both indicate the release year as 2021. The KG answer provides more precise release dates while the Gold answer only states the year. The core fact (2021) is consistent, and the KG answer is more complete and precise. The difference is minor.",minor
144,Who is filming the Troy movie in which location?,Mexico. Malta,"Wolfgang Petersen|Morocco
Wolfgang Petersen|Malta
Wolfgang Petersen|Algeria
Wolfgang Petersen|Mexico",SimpleQA/CompMix_table_simple_qa/00305.json,Higher accuracy in KG than in Table,Gold answer omits the director (Wolfgang Petersen) and lists only two locations. KG answer provides the director and four locations (including Mexico and Malta). KG is more complete and accurate.,major
