question,gold_answer,KG answer,taxonomy_label,confidence,source
What are the different extinct dog breeds ?,Alaunt | Alpine Mastiff | Belgian Mastiff | Blue Paul Terrier | Braque Dupuy | Bull and terrier | Bullenbeisser | Chien-gris | Chiribaya Dog | Cordoba Fighting Dog | Cumberland Sheepdog | Cur | Dalbo dog | Dogo cubano | English Water Spaniel | English White Terrier | Fila da Terceira | Hare Indian Dog | Hawaiian Poi Dog | Kurī | Lapponian Shepherd | Limer | Marquesan Dog | Moscow Water Dog | Norfolk Spaniel | North Country Beagle | Old Croatian Sighthound | Old English Bulldog | Old Spanish Pointer | Paisley Terrier | Polynesian Dog | Rache | Rastreador Brasileiro | Russian Tracker | [[St. Johns water dog|St Johns water dog]] | Sakhalin Husky (Karafuto Ken in Japan) | Salish Wool Dog | Southern Hound | Staghound | Tahitian Dog | Talbot Hound | Toy Bulldog | Toy Trawler Spaniel | Turnspit dog | Tweed Water Spaniel | Welsh Hillman,wd:Q136823142|,Different answer,major,SimpleQA/Qampari_wikitables_simple/00061.json
In which year did the player Luís Figo transfer from Barcelona to Real Madrid,2000,2000,Same,1.0,ComplexQA/CompMix_table_complex/00124.json
Robert Lewandowski is the captain of which national team?,Poland,Poland,Same,1.0,SimpleQA/CompMix_table_simple_qa/00176.json
"How many Olympic teams did the Men 's 1997 European Judo Championships athlete compete in , whose country is located mostly on the Anatolian peninsula",three,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00241.json
What are the different women wrestling promotions ?,[[Actwres girlZ]] | Ice Ribbon | Ladies Legend Pro-Wrestling | Oz Academy | Pro Wrestling Wave | [[Sendai Girls Pro Wrestling]] | Tokyo Joshi Pro Wrestling | World Wonder Ring Stardom | [[All Japan Womens Pro-Wrestling]] | Arsion | Gaea Japan | [[JDStar|Jd]] | JWP Joshi Puroresu,"Sendai Girls' Pro Wrestling|Sendai Girls' Pro Wrestling (lang:en)
Dream Star Fighting Marigold|Dream Star Fighting Marigold (lang:en)
Shine Wrestling|Shine Wrestling (lang:en)
Marvelous That's Women Pro Wrestling|Marvelous That's Women Pro Wrestling (lang:en)
Tokyo Joshi Pro Wrestling|Tokyo Joshi Pro Wrestling (lang:en)
Pro Wrestling Wave|Pro Wrestling Wave (lang:en)
World Wonder Ring Stardom|World Wonder Ring Stardom (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00043.json
In which year was the author of the Book The Power of Habit Charles Duhigg was born,1974,1974,Same,1.0,ComplexQA/CompMix_infobox_complex/00029.json
The film Everything Sucks belongs to which country?,United States,United States,Same,1.0,SimpleQA/CompMix_table_simple_qa/00097.json
How many World Cup titles the Italy national football team has before winning it again in 2006,3,0,Different answer,major,ComplexQA/CompMix_table_complex/00043.json
What are the discovered ring galaxies ?,Cartwheel Galaxy | NGC 6028 | [[Hoags Object]] | NGC 1512 | NGC 1433 | NGC 1533 | NGC 1350 | NGC 1386 | NGC 1387 | NGC 4622 | NGC 7217 | II Zw 28 | [[Mayalls Object]] | Arp 147 | NGC 4650A | NGC 660 | NGC 922 | LEDA 1000714 | NGC 1142 | NGC 3081 | NGC 7020 | NGC 7552 | NGC 7742,"NGC 985|NGC 985 (lang:en)
NGC 1015|NGC 1015 (lang:en)
PGC 16572|PGC 16572 (lang:en)
Cartwheel galaxy|Cartwheel galaxy (lang:en)
NGC 6028|NGC 6028 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
PGC 1000714|PGC 1000714 (lang:en)
AM 0644-741|AM 0644-741 (lang:en)
Hoag's Object|Hoag's Object (lang:en)
Hoag's Object|Hoag's Object (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00004.json
In which year was the film A Night at the Opera released,1935,1935,Same,1.0,ComplexQA/CompMix_infobox_complex/00296.json
What actor played Michael Corleone in The Godfather series?,Al Pacino,Al Pacino,Same,1.0,SimpleQA/CompMix_table_simple_qa/00307.json
How many appearance did the American goalkeeper Sean Johnson make with the US men's national soccer team in 2011,1,0,Different answer,major,ComplexQA/CompMix_table_complex/00009.json
What are the existing recoilless rifles ?,M18 Recoilless Rifle | SPG-9 | M20 | Breda Folgore | B-10 | 55 S 55 | RCL 3.45 inch Gun | M67 | 95 S 58-61 | LG 40 | LG 42 | M40 | Model 1968 recoilless gun | B-11 | Jagdfaust | M28/M29 Nuclear Recoilless Rifle,"105 mm recoilless rifle|105 mm recoilless rifle (lang:en)
120 mm recoilless rifle|120 mm recoilless rifle (lang:en)
75 mm recoilless rifle|75 mm recoilless rifle (lang:en)
82 mm recoilless rifle|82 mm recoilless rifle (lang:en)
90 mm recoilless rifle|90 mm recoilless rifle (lang:en)
Model 1968 recoilless gun|Model 1968 recoilless gun (lang:en)
Ordnance, RCL, 3.45 in|Ordnance, RCL, 3.45 in (lang:en)
RCL 3.7-inch|RCL 3.7-inch (lang:en)
recoilless personal anti-tank weapon|recoilless personal anti-tank weapon (lang:en)
self-propelled recoilless rifle|self-propelled recoilless rifle (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00060.json
In which year was the first novel Palace Walk in the series Cairo Trilogy published,1956,1956,Same,1.0,ComplexQA/CompMix_infobox_complex/00063.json
What album followed Red Medicine?,End Hits,End Hits,Same,1.0,SimpleQA/CompMix_table_simple_qa/00069.json
"How many baseball games involving the Boston Red Sox were played at Fenway Park across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",7,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00054.json
What are the hotels with at least 2000 rooms ?,"The Venetian Resort Las Vegas (The Venetian Las Vegas and The Palazzo) | MGM Grand Las Vegas and The Signature | CityCenter | The Londoner Macao | Abraj Al Bait | Izmailovo Hotel | Wynn Las Vegas and Encore Las Vegas | Mandalay Bay, Delano and Four Seasons | Luxor Las Vegas | Ambassador City Jomtien | Excalibur Hotel and Casino | Caesars Palace | Bellagio | Hilton Hawaiian Village | Circus Circus Las Vegas | Resorts World Las Vegas | The Mirage | Westgate Las Vegas | Paris Las Vegas | The Venetian Macao | [[Ballys Las Vegas]] | Borgata | [[Harrahs Atlantic City]] | [[Harrahs Las Vegas]] | Planet Hollywood Las Vegas | The Strat Las Vegas | Golden Nugget Las Vegas | Foxwoods Resort Casino | The Linq | Galaxy Macau | City of Dreams | Orlando World Center Marriott","Hotel Lisboa Macau|Hotel Lisboa Macau (lang:en)|2362.0
Ezdan Hotel, West Bay|Ezdan Hotel, West Bay (lang:en)|3000.0
Planet Hollywood Resort & Casino|Planet Hollywood Resort & Casino (lang:en)|2500.0
Treasure Island Hotel and Casino|Treasure Island Hotel and Casino (lang:en)|2885.0
Mandalay Bay|Mandalay Bay (lang:en)|3309.0
Bellagio Hotel & Casino|Bellagio Hotel & Casino (lang:en)|3933.0
Marina Bay Sands|Marina Bay Sands (lang:en)|2561.0
MGM Grand Las Vegas|MGM Grand Las Vegas (lang:en)|6852.0
The Mirage|The Mirage (lang:en)|3044.0",Higher accuracy in Table than in KG,major,SimpleQA/Qampari_wikitables_simple/00068.json
Name of the director who directed the first episode of the show Vikings,Johan Renck,Johan Renck,Same,1.0,ComplexQA/CompMix_table_complex/00141.json
What album was the Blue Oyster Cult song Godzilla on?,Spectres,Spectres,Same,1.0,SimpleQA/CompMix_table_simple_qa/00300.json
"How many championships were won by the Chinese football club whose home stadium is the Workers ' Stadium with a seating capacity of 66,161",7,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00373.json
What are the named spirals ?,Archimedean spiral | Euler spiral | [[Fermats spiral]] (also parabolic spiral) | [[Cotess spiral]] | [[Poinsots spirals]],"Tadpole Galaxy|Tadpole Galaxy (lang:en)
Triangulum Galaxy|Triangulum Galaxy (lang:en)
Whirlpool Galaxy|Whirlpool Galaxy (lang:en)
Sunflower Galaxy|Sunflower Galaxy (lang:en)
Black Eye Galaxy|Black Eye Galaxy (lang:en)
Comet Galaxy|Comet Galaxy (lang:en)
Andromeda Galaxy|Andromeda Galaxy (lang:en)
Sculptor Galaxy|Sculptor Galaxy (lang:en)
Sombrero Galaxy|Sombrero Galaxy (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00057.json
Name of the winner of the thirteenth season of Master Chef Australia,Justin Narayan,Justin Narayan,Same,1.0,ComplexQA/CompMix_table_complex/00267.json
"What book is the basis for the series, Game of Thrones?",A Song of Ice and Fire,A Song of Ice and Fire,Same,1.0,SimpleQA/CompMix_table_simple_qa/00299.json
How many children did the director of Willy Wonka and the Chocolate Factory have,3,0,Different answer,major,ComplexQA/CompMix_infobox_complex/00101.json
What are the professional wrestling memorial shows since 1980?,"Mike Marino Memorial Shield | Von Erich Memorial Parade of Champions | Eddie Graham Memorial Show | Bruiser Brody Memorial Show | [[Starrcade (1990)|Pat OConnor Memorial International Cup Tag Team Tournament]] | Ilio DiPaolo Memorial Show | Eddie Gilbert Memorial Brawl | Eddie Gilbert Memorial Show | Plum Mariko Memorial Show | Brian Pillman Memorial Show | Curtis Comes Home | Gary Albright Memorial Show | Mark Curtis Memorial Weekend of Champions | Giant Baba Memorial Spectacular | Terry Gordy Memorial Show | Yokozuna Memorial Show | Giant Baba Memorial Six Man Tag Team Tournament | Big Dick Dudley Memorial Show | Jeff Peterson Memorial Cup | Mike Lockwood Memorial Show | Fred Ward Memorial Show | Mike Lockwood Memorial Tournament | Mark Curtis Memorial Reunion | Chris Candido Memorial Show | Bruiser Brody Memorial Cup | Shinya Hashimoto Memorial Six-Man Tag Team Tournament | Pitbull/Public Enemy Tag Team Memorial Cup | Eddie Graham Memorial Battle of the Belts | Sensational Sherri Memorial Cup Tournament | Shinya Hashimoto Memorial Legacy Cup Tournament | Walter ""Killer"" Kowalski Memorial Show | Dennis Coralluzzo Invitational | A Nightmare To Remember","Gary Albright Memorial Show|Gary Albright Memorial Show (lang:en)|2000-04-19T00:00:00Z
Terry Gordy Memorial Show|Terry Gordy Memorial Show (lang:en)|2001-08-11T00:00:00Z
Yokozuna Memorial Show|Yokozuna Memorial Show (lang:en)|2001-11-29T00:00:00Z
Big Dick Dudley Memorial Show|Big Dick Dudley Memorial Show (lang:en)|2002-01-01T00:00:00Z
Mike Lockwood Memorial Show|Mike Lockwood Memorial Show (lang:en)|2003-11-15T00:00:00Z
Fred Ward Memorial Show|Fred Ward Memorial Show (lang:en)|2004-01-01T00:00:00Z
Eddie Graham Memorial Battle of the Belts|Eddie Graham Memorial Battle of the Belts (lang:en)|2007-01-01T00:00:00Z
Killer Kowalski Memorial Show|Killer Kowalski Memorial Show (lang:en)|2008-10-26T00:00:00Z",Higher accuracy in Table than in KG,major,SimpleQA/Qampari_wikitables_simple/00035.json
On what date did the first episode of Saturday Night Live air,"October 11, 1975",1975-10-11T00:00:00Z,Same,1.0,ComplexQA/CompMix_table_complex/00213.json
What book was the final one in the Little Women series?,Jo's Boys,Jo's Boys,Same,1.0,SimpleQA/CompMix_table_simple_qa/00317.json
How many events for men at the 1956 Summer Olympics were held for this competition that took place at the venue damaged during the 1991 fire,six for men,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00217.json
What are the promotion names of women wrestling promotions ?,Shimmer Women Athletes | Shine Wrestling | Women of Wrestling | Women Superstars United | ChickFight | Gorgeous Ladies of Wrestling | Ladies Major League Wrestling | Ladies Professional Wrestling Association | [[Naked Womens Wrestling League]] | Powerful Women of Wrestling | Rise Wrestling | [[World Womens Wrestling]] | Wrestlicious,"Sendai Girls' Pro Wrestling|Sendai Girls' Pro Wrestling (lang:en)
Dream Star Fighting Marigold|Dream Star Fighting Marigold (lang:en)
Shine Wrestling|Shine Wrestling (lang:en)
Marvelous That's Women Pro Wrestling|Marvelous That's Women Pro Wrestling (lang:en)
Tokyo Joshi Pro Wrestling|Tokyo Joshi Pro Wrestling (lang:en)
Pro Wrestling Wave|Pro Wrestling Wave (lang:en)
World Wonder Ring Stardom|World Wonder Ring Stardom (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00021.json
On what date was the first episode of I Love Lucy shown,15 October 1951,1951-10-15T00:00:00Z,Same,1.0,ComplexQA/CompMix_infobox_complex/00256.json
What country did Raúl González represent in football?,Spain,Spain,Same,1.0,SimpleQA/CompMix_table_simple_qa/00012.json
How many games Kevin De Bruyne played for Belgium national football team,88,115.0,Temporal changes,major,ComplexQA/CompMix_table_complex/00196.json
What award did Ellen DeGeneres receive for playing Dory with the category Favorite Animated Movie Voice?,People's Choice Award,Annie Award for Voice Acting in a Feature Production (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00084.json
Stargate SG-1 the science fiction tv series ran for how many seasons,10,10,Same,1.0,ComplexQA/CompMix_infobox_complex/00261.json
What country does the soccer player Johan Cruyff represent?,Netherlands,Netherlands,Same,1.0,SimpleQA/CompMix_table_simple_qa/00229.json
How many games did the 2013 New York Yankees American League Wild Card team who lost more than 100 games win against their rivals,2,0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00334.json
What awards are national quality award ?,Canada Awards for Excellence | Deming Prize | EFQM Excellence Award | Malcolm Baldrige National Quality Award | Philippine Quality Award | Rajiv Gandhi National Quality Award | Singapore Business Excellence Awards | Thailand Quality Award,"Rajiv Gandhi National Quality Award|Rajiv Gandhi National Quality Award (lang:en)
Malcolm Baldrige National Quality Award|Malcolm Baldrige National Quality Award (lang:en)
Viet Nam National Quality Award|Viet Nam National Quality Award (lang:en)",Different answer,major,SimpleQA/Qampari_wikitables_simple/00010.json
The Meeting de Marcha Atlética da Cidade de Olhao in the 2010 IAAF Race Walking Challenge was held in what region of southern Portugal,Algarve,Algarve,Same,1.0,ComplexQA/OTT_QA_dev_complex/00379.json
What country's national team does Alessandro Del Piero play for?,Italy,Italy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00086.json
"How many games did the Boston Red Sox play across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series",14,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00147.json
What awards did A Wrinkle in Time win?,St. Louis Film Critics Awards,Newbery Medal|Newbery Medal (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00057.json
"The event , a part of ITTF World Tour in 2018 , with the largest prize took place in a city that became an international port in which year",1883,1883,Same,1.0,ComplexQA/OTT_QA_dev_complex/00013.json
What is Game of Thrones based on?,A Song of Ice and Fire,A Song of Ice and Fire,Same,1.0,SimpleQA/CompMix_table_simple_qa/00262.json
"How many games did the Los Angeles Dodgers win when playing against the Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series",8,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00165.json
What costume designer received an Oscar nomination for working on the film Airport?,Edith Head,E. Preston Ames|E. Preston Ames (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00104.json
