question,gold_answer,KG answer,taxonomy_label,sparql,confidence,source
From which prison did multi-recidivist escaper escaped ?,"La Santé | Toodyay lockup | Fremantle Prison | Abashiri Prison | [[St Giless Roundhouse]] | Newgate Prison | United States Penitentiary, Pollock | Sing Sing | Eastern State Penitentiary | Clinton Correctional Facility | ""Altiplano"" Federal Social Readaptation Center No. 1",Cabildo jail (lang:en),Different answer,"SELECT ?prisonLabel WHERE {
  {
    SELECT ?prisoner WHERE {
      ?event wdt:P31 wd:Q598041 ; wdt:P710 ?prisoner .
    }
    GROUP BY ?prisoner
    HAVING(COUNT(?event) >= 2)
  }
  ?escapeEvent wdt:P31 wd:Q598041 ; wdt:P710 ?prisoner ; wdt:P276 ?prison .
  OPTIONAL {
    ?prison rdfs:label ?prisonLabel
    FILTER(LANG(?prisonLabel) = 'en')
    .
  }
}
LIMIT 1",major,SimpleQA/Qampari_wikitables_simple/00056.json
what is the country of orgin of the book Pride and Prejudice,United Kingdom,United Kingdom|Kingdom of Great Britain|United Kingdom of Great Britain and Ireland,Higher accuracy in KG than in Table,"SELECT ?country WHERE {
  wd:Q170583 wdt:P495 ?country
}",0.8937991759590189,ComplexQA/CompMix_infobox_complex/00280.json
where did the first persian gulf war take place,Iraq | Kuwait | Saudi Arabia | Israel | Persian Gulf,Iraq|Israel|Kuwait|Saudi Arabia,Higher accuracy in Table than in KG,"SELECT ?location ?locationLabel WHERE {
  wd:Q37643 wdt:P276 ?location .
  ?location rdfs:label ?locationLabel .
  FILTER(LANG(?locationLabel) = ""en"")
}",0.9573067709290951,SimpleQA/NQ_table_test_simple/00353.json
As of 2020 how many FIFA Women's World Cup wins does the United States women's national soccer team have,4,0,Different answer,"SELECT(COUNT(?edition) AS ?winCount) WHERE {
  ?edition wdt:P361 wd:Q19323 ; wdt:P1346 wd:Q334526 .
}",major,ComplexQA/CompMix_infobox_complex/00008.json
Neymar is from?,Portuguese,Brazil,Different answer,"SELECT ?country WHERE {
  wd:Q142794 wdt:P27 ?country .
}",major,SimpleQA/CompMix_table_simple_qa/00156.json
What is the name of the football club that Oliver Kahn played for in the year 2001,FC Bayern Munich,FC Bayern Munich|Germany men's national association football team,Higher accuracy in KG than in Table,"SELECT ?club ?clubLabel WHERE {
  wd:Q131261 p:P54 ?membership .
  ?membership ps:P54 ?club .
  ?membership pq:P580 ?start .
  ?membership pq:P582 ?end .
  FILTER(?start <= ""2001-12-31T23:59:59Z"" ^^ xsd:dateTime && ?end >= ""2001-01-01T00:00:00Z"" ^^ xsd:dateTime)
  .
  ?club rdfs:label ?clubLabel .
  FILTER(LANG(?clubLabel) = ""en"")
}",0.8843718919065571,ComplexQA/CompMix_table_complex/00033.json
What award did The Turning Point get?,National Board of Review: Top Ten Films,National Board of Review Award for Best Film|National Board of Review: Top Ten Films,Higher accuracy in KG than in Table,"SELECT ?award ?awardLabel WHERE {
  wd:Q451558 wdt:P166 ?award .
  ?award rdfs:label ?awardLabel .
  FILTER(LANG(?awardLabel) = ""en"")
}",0.9539999059815323,SimpleQA/CompMix_table_simple_qa/00143.json
As of 2020 how many gold medals has the United States women's national soccer team won,4,0,Different answer,"SELECT(COUNT(DISTINCT ?olympics) AS ?count) WHERE {
  ?competition wdt:P1346 wd:Q334526 .
  ?competition wdt:P641 wd:Q37019 .
  ?competition wdt:P361 ?olympics .
  ?olympics wdt:P31 wd:Q20200 .
  ?olympics wdt:P585 ?date .
  FILTER(xsd:dateTime(?date) <= ""2020-12-31T23:59:59Z"" ^^ xsd:dateTime)
}",major,ComplexQA/CompMix_infobox_complex/00039.json
No. of goals did Kevin De Bruyne scored for Belgium national football team?,23,36.0,Different answer,"SELECT ?goals WHERE {
  wd:Q357984 p:P54 ?statement .
  ?statement ps:P54 wd:Q166776 ; pq:P1351 ?goals .
}",major,SimpleQA/CompMix_table_simple_qa/00124.json
What is the Genre  of the tv series wizards of waverly place,teen sitcom,teen sitcom|fantasy television series,Higher accuracy in KG than in Table,"SELECT ?genre WHERE {
  wd:Q184342 wdt:P136 ?genre
}",0.8827298679447925,ComplexQA/CompMix_infobox_complex/00255.json
who starred in the movie on golden pond,Katharine Hepburn | Henry Fonda | Jane Fonda | Doug McKeon | Dabney Coleman | William Lanteau,William Lanteau|Henry Fonda|Doug McKeon|Jane Fonda|Dabney Coleman|Katharine Hepburn|Troy Garity,Higher accuracy in KG than in Table,"SELECT ?actor ?actorLabel WHERE {
  wd:Q451603 wdt:P161 ?actor .
  OPTIONAL {
    ?actor rdfs:label ?actorLabel
    FILTER(LANG(?actorLabel) = ""en"")
  }
}",0.9506604274480052,SimpleQA/NQ_table_test_simple/00609.json
"At the Sanremo Music Festival Big Artists section , how many MTV Italian Music Award nominations were received by the person who sang the song produced by Palmasi",three,0,Different answer,"SELECT(COUNT(DISTINCT ?artist) AS ?count) WHERE {
  ?song wdt:P31 / wdt:P279 * wd:Q7366 ; wdt:P1344 / wdt:P361 wd:Q123894 ; wdt:P1344 / wdt:P2414 wd:Q5959621 ; wdt:P162 ?producer ; wdt:P175 ?artist .
  ?producer rdfs:label ?producerLabel .
  ?artist wdt:P1411 wd:Q1106130 .
  FILTER REGEX(?producerLabel , ""palmisano|palmasi"" , ""i"")
  .
  FILTER(LANG(?producerLabel) = ""it"")
  .
}",major,ComplexQA/OTT_QA_dev_complex/00061.json
Selena Gomez held which position?,UNICEF Goodwill Ambassador,"filmmaker|filmmaker (lang:en)
singer|singer (lang:en)
record producer|record producer (lang:en)
voice actor|voice actor (lang:en)
actor|actor (lang:en)
fashion designer|fashion designer (lang:en)
businessperson|businessperson (lang:en)
model|model (lang:en)
singer-songwriter|singer-songwriter (lang:en)
child actor|child actor (lang:en)",Different answer,"SELECT ?occupation ?occupationLabel WHERE {
  wd:Q83287 wdt:P106 ?occupation .
  OPTIONAL {
    ?occupation rdfs:label ?occupationLabel
    FILTER(lang(?occupationLabel) = ""en"")
  }
}",major,SimpleQA/CompMix_table_simple_qa/00166.json
What award did the book The Old Man and the Sea win in the year 1953,Pulitzer Prize for Fiction,Bancarella Literary Prize|Pulitzer Prize for Fiction,Higher accuracy in KG than in Table,"SELECT ?award ?awardLabel WHERE {
  wd:Q26505 p:P166 ?statement .
  ?statement ps:P166 ?award .
  ?statement pq:P585 ?time .
  FILTER(YEAR(?time) = 1953)
  OPTIONAL {
    ?award rdfs:label ?awardLabel
    FILTER(LANG(?awardLabel) = ""en"")
  }
}",0.8684311323724283,ComplexQA/CompMix_infobox_complex/00035.json
kings and queens of england in the 1900s,Edward VII | George V | Edward VIII | George VI | Elizabeth II,Edward VII|George V|George VI|Edward VIII|Victoria|Elizabeth II,Higher accuracy in KG than in Table,"SELECT DISTINCT ?monarch ?monarchLabel WHERE {
  ?monarch p:P39 ?statement .
  ?statement ps:P39 ?position .
  VALUES ?position {
    wd:Q9134365 wd:Q111722535
  }
  .
  ?statement pq:P580 ?start ; pq:P582 ?end .
  FILTER(xsd:dateTime(?start) <= ""2000-12-31T23:59:59Z"" ^^ xsd:dateTime && xsd:dateTime(?end) >= ""1901-01-01T00:00:00Z"" ^^ xsd:dateTime)
  OPTIONAL {
    ?monarch rdfs:label ?monarchLabel .
    FILTER(lang(?monarchLabel) = ""en"")
  }
}",0.9394755655561676,SimpleQA/NQ_table_test_simple/00145.json
At what age did the singer die for the Hong Kong TVB Jade Channel 1999 series that had an actor that appeared in the movie Trivisa,64,,Higher accuracy in Table than in KG,"SELECT(MAX(?age) AS ?maxAge) WHERE {
  wd:Q340209 wdt:P569 ?birth ; wdt:P570 ?death .
  BIND(YEAR(?death) - YEAR(?birth) AS ?age)
  .
}",major,ComplexQA/OTT_QA_dev_complex/00200.json
Selena Gomez's music genre?,"pop rock, electropop, dance-pop","electropop|electropop (lang:en)
dance-pop|dance-pop (lang:en)
pop music|pop music (lang:en)
pop rock|pop rock (lang:en)
alternative R&B|alternative R&B (lang:en)
contemporary R&B|contemporary R&B (lang:en)",Different answer,"SELECT ?genre ?genreLabel WHERE {
  wd:Q83287 wdt:P136 ?genre .
  ?genre rdfs:label ?genreLabel .
  FILTER(LANG(?genreLabel) = ""en"")
}",major,SimpleQA/CompMix_table_simple_qa/00015.json
Who directs the first season “somebody’s dead” in the tv series Big Little Lies,Jean-Marc Vallée,Andrea Arnold|Jean-Marc Vallée,Higher accuracy in KG than in Table,"SELECT ?director ?directorLabel WHERE {
  wd:Q110779028 wdt:P179 / wdt:P57 ?director .
  OPTIONAL {
    ?director rdfs:label ?directorLabel .
    FILTER(lang(?directorLabel) = ""en"")
  }
}",0.8508776431438828,ComplexQA/CompMix_table_complex/00136.json
"Which country awarded the author Najib Mahfouz by ""Grand Cordon of the Order of the Nile""?",Egypt,Kingdom of Egypt|Egypt,Higher accuracy in KG than in Table,"SELECT ?country ?countryLabel WHERE {
  wd:Q7176 wdt:P166 wd:Q95919064 .
  wd:Q95919064 wdt:P361 ?order .
  ?order wdt:P17 ?country .
  ?country rdfs:label ?countryLabel
  FILTER(lang(?countryLabel) = ""en"")
}",0.9340181486522003,SimpleQA/CompMix_table_simple_qa/00280.json
Bethlehem Steel's won how many titles in the Lamar Hunt U.S. Open Cup,5,4,Different answer,"SELECT(COUNT(?season) AS ?count) WHERE {
  ?season wdt:P3450 wd:Q27192 .
  ?season wdt:P1346 wd:Q620722 .
}",major,ComplexQA/CompMix_table_complex/00175.json
"What actress played Fiona ""Fi"" Phillips in So Weird?",Cara DeLizia,Alexz Johnson,Different answer,"SELECT ?actor WHERE {
  wd:Q1418559 wdt:P161 ?actor .
  FILTER(?actor = wd:Q239786)
}",major,SimpleQA/CompMix_table_simple_qa/00279.json
What is the name of the company that distributes The Old Man and the Sea,Netflix,Warner Bros.|Netflix,Higher accuracy in KG than in Table,"SELECT ?distributor WHERE {
  wd:Q1198269 wdt:P750 ?distributor
}",0.8468258227476848,ComplexQA/CompMix_infobox_complex/00071.json
what is the name of the shape with 100 sides,hectogon | hecatontagon | hecatogon,hectogon,Higher accuracy in Table than in KG,"SELECT ?label WHERE {
  wd:Q3129199 rdfs:label ?label .
  FILTER(LANG(?label) = ""en"")
}",0.9147711998935377,SimpleQA/NQ_table_test_simple/00482.json
"For each country in East Asia, return its name and its national dish.","[['China', 'Peking duck'], ['Hong Kong', 'Pineapple bun'], ['Hong Kong', 'Dim sum'], ['Macau', 'Minchee'], ['Japan', 'Sushi'], ['Japan', 'Japanese curry'], ['Japan', 'Ramen'], ['Japan', 'Tempura'], ['Japan', 'Wagashi'], ['Japan', 'Sashimi'], ['Japan', 'Miso soup'], ['Mongolia', 'Buuz'], ['North Korea', 'kimchi'], ['South Korea', 'Kimchi'], ['Taiwan', 'Beef noodle soup']]","People's Republic of China|People's Republic of China (lang:en)||
Japan|Japan (lang:en)||
North Korea|North Korea (lang:en)||
Mongolia|Mongolia (lang:en)||
Taiwan|Taiwan (lang:en)||
South Korea|South Korea (lang:en)||",Higher accuracy in Table than in KG,"SELECT ?country ?countryLabel ?dish ?dishLabel WHERE {
  wd:Q27231 wdt:P17 ?country .
  ?country rdfs:label ?countryLabel .
  FILTER(LANG(?countryLabel) = ""en"")
  .
  OPTIONAL {
    ?country wdt:P8326 ?dish .
    ?dish rdfs:label ?dishLabel .
    FILTER(LANG(?dishLabel) = ""en"")
  }
}",major,ComplexQA/Monaco_non_time_complex/00079.json
What are some existing calendars ?,Vikram samwat | Roman calendar | Attic calendar | Seleucid calendar | Julian calendar | Coptic calendar | Berber calendar | Gaulish calendar | Zoroastrian calendar | Japanese calendar | Islamic calendar | Pyu calendar | Byzantine calendar | Armenian calendar | Florentine calendar | Pisan calendar | Tamil calendar | Nepali calendar | Thai lunar calendar | Jalali calendar | Hebrew calendar | Tibetan calendar | Runic calendar | Gregorian calendar | Javanese calendar | Swedish calendar | Rumi calendar | Thai solar calendar | Revised Julian calendar | Solar Hijri calendar | Soviet calendar | World Calendar | Indian national calendar | Holocene calendar | Juche era calendar | Nanakshahi calendar | Symmetry454 | Igbo calendar,"Pengalantaka|Pengalantaka (lang:en)
Calendário de Mesa|Calendário de Mesa (lang:en)
Tenpō calendar|Tenpō calendar (lang:en)
Egyptian civil calendar|Egyptian civil calendar (lang:en)
Chula Sakarat|Chula Sakarat (lang:en)
English legal calendar|English legal calendar (lang:en)
Sifen calendar|Sifen calendar (lang:en)
Mandaean calendar|Mandaean calendar (lang:en)
Shòushí calendar|Shòushí calendar (lang:en)
Trierer Aderlasskalender|Trierer Aderlasskalender (lang:en)",Different answer,"SELECT ?calendar ?label WHERE {
  ?calendar wdt:P31 wd:Q12132 .
  ?calendar rdfs:label ?label .
  FILTER(LANG(?label) = 'en')
}
LIMIT 10",major,SimpleQA/Qampari_wikitables_simple/00073.json
Who is the production company behind the TV series Under the Dome,Amblin Entertainment,CBS Studios|Amblin Entertainment,Higher accuracy in KG than in Table,"SELECT ?company WHERE {
  wd:Q2947967 wdt:P272 ?company
}",0.8163132608460065,ComplexQA/CompMix_infobox_complex/00289.json
what type of novel is goodbye mr chips,Psychological fiction,psychological fiction|children's fiction,Higher accuracy in KG than in Table,"SELECT ?genreLabel WHERE {
  wd:Q3268056 wdt:P136 ?genre .
  ?genre rdfs:label ?genreLabel .
  FILTER(LANG(?genreLabel) = ""en"")
}",0.9099442623024846,SimpleQA/NQ_table_test_simple/00522.json
"For the absolute best scoring Ice dance female skater with a score of 215.20 , what champion is she with her former partner Ruslan Zhiganshin",2012 World Junior champion,"Elena Ilinykh
Victoria Sinitsina",Different answer,"SELECT ?partner WHERE {
  wd:Q7381061 wdt:P1327 ?partner .
  ?partner wdt:P21 wd:Q6581072
}",major,ComplexQA/OTT_QA_dev_complex/00320.json
What are the bridges with a deck height of at least 200 meters ?,Chenab Bridge | Mtentu Bridge | Duge Bridge | Sidu River Bridge | Hegigio Gorge Pipeline Bridge | Beipan River Guanxing Highway Bridge | Liuguanghe Bridge | Royal Gorge Bridge | [[Sidi MCid Bridge]],"Vallée-Jonction Railway Bridge|Vallée-Jonction Railway Bridge (lang:en)|3000.0
Huajiang Canyon Bridge|Huajiang Canyon Bridge (lang:en)|625.0
Thune canal bridge|Thune canal bridge (lang:en)|575.0
Duge Bridge|Duge Bridge (lang:en)|565.0
Sidu River Bridge|Sidu River Bridge (lang:en)|496.0
Puli Bridge|Puli Bridge (lang:en)|485.0
wd:Q119812519||475.0
Navajo Bridge|Navajo Bridge (lang:en)|470.0
Navajo Bridge|Navajo Bridge (lang:en)|467.0
Jin'an Bridge|Jin'an Bridge (lang:en)|461.0",Different answer,"SELECT DISTINCT ?bridge ?bridgeLabel ?height WHERE {
  ?bridge wdt:P31 / wdt:P279 * wd:Q12280 .
  ?bridge wdt:P2793 ?height .
  FILTER(?height >= 200)
  OPTIONAL {
    ?bridge rdfs:label ?bridgeLabel
    FILTER(LANG(?bridgeLabel) = 'en')
  }
}
ORDER BY DESC(?height)
LIMIT 10",major,SimpleQA/Qampari_wikitables_simple/00002.json
Who is the screen writer of the movie Dora and the Lost City of Gold,Nicholas Stoller,Matthew Robinson|Nicholas Stoller,Higher accuracy in KG than in Table,"SELECT ?screenwriter WHERE {
  wd:Q56064745 wdt:P58 ?screenwriter
}",0.813160981795463,ComplexQA/CompMix_infobox_complex/00060.json
who is the owner of reading football club,Dai Yongge | Dai Xiuli,Dai Yongge,Higher accuracy in Table than in KG,"SELECT ?owner ?ownerLabel WHERE {
  wd:Q18729 wdt:P127 ?owner .
  ?owner rdfs:label ?ownerLabel .
  FILTER(LANG(?ownerLabel) = 'en')
}",0.9083322935934727,SimpleQA/NQ_table_test_simple/00067.json
"For the absolute best scoring Ice dance male skater with a score of 220.42 , what champion is he with former partner Elena Ilinykh for the year 2010",2010 World Junior champion,Nikita Katsalapov|Nikita Katsalapov (lang:en),Different answer,"SELECT ?partner ?partnerLabel WHERE {
  wd:Q457761 p:P1327 ?statement .
  ?statement ps:P1327 ?partner .
  ?partner wdt:P31 wd:Q5 .
  ?partner wdt:P21 wd:Q6581097 .
  ?statement pq:P580 ?start .
  ?statement pq:P582 ?end .
  FILTER(xsd:date(?start) <= ""2010-12-31"" ^^ xsd:date)
  FILTER(xsd:date(?end) >= ""2010-01-01"" ^^ xsd:date)
  OPTIONAL {
    ?partner rdfs:label ?partnerLabel .
    FILTER(LANG(?partnerLabel) = ""en"")
  }
}",major,ComplexQA/OTT_QA_dev_complex/00077.json
What are the buildings (built or in construction) with a height larger than 350 meters ?,Burj Khalifa | Shanghai Tower | Abraj Al-Bait Clock Tower | Ping An Finance Center | Lotte World Tower | One World Trade Center | Guangzhou CTF Finance Centre | China Zun | Taipei 101 | Shanghai World Financial Center | International Commerce Centre | Wuhan Greenland Center | Central Park Tower | Lakhta Center | Landmark 81 | Changsha IFS Tower T1 | [[Petronas Towers|Petronas Tower 2]] | Zifeng Tower | Willis Tower | KK100 | Guangzhou International Finance Center | Wuhan Center | 111 West 57th Street | One Vanderbilt | Dongguan International Trade Center 1 | 432 Park Avenue | Marina 101 | Trump International Hotel and Tower | Jin Mao Tower | Princess Tower | Al Hamra Tower | Two International Finance Centre | Guiyang International Financial Center T1 | China Resources Headquarters | CITIC Plaza | 30 Hudson Yards | Empire State Building | Elite Residence | Central Plaza | Federation Tower (East Tower) | Address Boulevard | Haitian Center Tower 2 | Bank of China Tower | Bank of America Tower | St. Regis Chicago | Almas Tower | Gevora Hotel | JW Marriott Marquis Dubai Tower 1 | JW Marriott Marquis Dubai Tower 2 | Emirates Office Tower | OKO Tower – South Tower | The Marina Torch,"Taichung Green Museumbrary|36470.0|Taichung Green Museumbrary (lang:en)
Kami-kawabata Building|24990.0|Kami-kawabata Building (lang:en)
Kami-kawabata Building|24820.0|Kami-kawabata Building (lang:en)
Ribbon Chapel|15260.0|Ribbon Chapel (lang:en)
HOUSE EPUTA|15100.0|HOUSE EPUTA (lang:en)",Different answer,"SELECT DISTINCT ?building ?height ?buildingLabel WHERE {
  ?building wdt:P31 / wdt:P279 * wd:Q41176 .
  ?building wdt:P2048 ?height .
  FILTER(xsd:double(?height) > 350)
  OPTIONAL {
    ?building rdfs:label ?buildingLabel .
    FILTER(LANG(?buildingLabel) = ""en"")
  }
}
ORDER BY DESC(xsd:double(?height))
LIMIT 5",major,SimpleQA/Qampari_wikitables_simple/00042.json
What is the sports team played in 2012 to 2014 by Alessandro Del Piero,Sydney FC,Juventus FC|Odisha FC|Sydney FC,Higher accuracy in KG than in Table,"SELECT ?team ?teamLabel WHERE {
  wd:Q624 p:P54 ?membership .
  ?membership ps:P54 ?team .
  ?membership pq:P580 ?start .
  ?membership pq:P582 ?end .
  ?team rdfs:label ?teamLabel .
  FILTER(LANG(?teamLabel) = ""en"")
  FILTER(YEAR(?start) <= 2014)
  FILTER(YEAR(?end) >= 2012)
}",0.800619349134376,ComplexQA/CompMix_table_complex/00114.json
what network is showing the monday night football game,ESPN,American Broadcasting Company|ESPN|ESPN2|ESPN+,Higher accuracy in KG than in Table,"SELECT ?network ?networkLabel WHERE {
  wd:Q1088765 wdt:P449 ?network .
  OPTIONAL {
    ?network rdfs:label ?networkLabel
    FILTER(lang(?networkLabel) = ""en"")
  }
}",0.9000344517467301,SimpleQA/NQ_table_test_simple/00278.json
How many Golden Globe Awards did One Flew Over the Cuckoo's Nest get,6,0,Different answer,"SELECT(COUNT(?award) AS ?count) WHERE {
  wd:Q171669 wdt:P166 ?award .
  ?award rdfs:label ?label .
  FILTER(CONTAINS(LCASE(?label) , ""golden globe""))
  .
  FILTER(LANG(?label) = 'en')
}",major,ComplexQA/CompMix_table_complex/00139.json
What are the different exoplanet search projects ?,ESPRESSO | FINDS Exo-Earths | Geneva Extrasolar Planet Search | HARPS-N | Next-Generation Transit Survey (NGTS) | Optical Gravitational Lensing Experiment (OGLE) | Search for extraterrestrial intelligence (SETI) | Spectro-Polarimetric High-Contrast Exoplanet Research (SPHERE) | SPECULOOS | The Habitable Exoplanet Hunting Project | Trans-Atlantic Exoplanet Survey (TrES),"Anglo-Australian Planet Search|Anglo-Australian Planet Search (lang:en)
HATNet Project|HATNet Project (lang:en)
High Accuracy Radial Velocity Planet Searcher|High Accuracy Radial Velocity Planet Searcher (lang:en)
Next-Generation Transit Survey|Next-Generation Transit Survey (lang:en)
Sagittarius Window Eclipsing Extrasolar Planet Search|Sagittarius Window Eclipsing Extrasolar Planet Search (lang:en)
Transiting Exoplanet Survey Satellite|Transiting Exoplanet Survey Satellite (lang:en)",Different answer,"SELECT DISTINCT ?project ?projectLabel WHERE {
  ?exoplanet wdt:P31 wd:Q44559 .
  ?exoplanet wdt:P65 ?project .
  ?project rdfs:label ?projectLabel .
  FILTER(LANG(?projectLabel) = ""en"")
  FILTER(REGEX(?projectLabel , ""(?i)project|search|survey""))
}
ORDER BY ?projectLabel",major,SimpleQA/Qampari_wikitables_simple/00051.json
Who is the composer of the movie Dora and the Lost City of Gold,John Debney,John Debney|Germaine Franco,Higher accuracy in KG than in Table,"SELECT ?composer WHERE {
  wd:Q56064745 wdt:P86 ?composer
}",0.8002738482525602,ComplexQA/CompMix_infobox_complex/00096.json
where was the capital of the habsburg empire located,Vienna | Prague,Vienna,Higher accuracy in Table than in KG,"SELECT ?capital WHERE {
  wd:Q153136 wdt:P36 ?capital
}",0.8993021923578328,SimpleQA/NQ_table_test_simple/00636.json
How many John le Carré novels featured the character George Smiley after The Spy Who Came in from the Cold,6,0,Different answer,"SELECT(COUNT(?work) AS ?count) WHERE {
  ?work wdt:P50 wd:Q209641 ; wdt:P123 wd:Q2335880 ; wdt:P577 ?date ; wdt:P31 wd:Q82622 .
  FILTER(year(?date) > 1963)
}",major,ComplexQA/CompMix_table_complex/00008.json
