Source_JSON,Record_Index,Question_ID,Convmix_Question_ID,Domain,Question,Gold_Answer,QA-Pairs,Entity_1,Entity_1_Label,Entity_2,Entity_2_Label,Connection_Path,Property_Number,Property_list,Qualifier_Number,Qualifier_list
CompMix_infobox.jsonl,49,3253,1104-2,music,Which is the Production company of the album Aap Kaa Surroor?,Mehboob Studio,Q: Which is the Production company of the album Aap Kaa Surroor? | A: Mehboob Studio,Q4661623,Aap Kaa Surroor,Q15252736,Mehboob Studio,Q4661623->P272->Q15252736,1,P272,,
CompMix_infobox.jsonl,50,4069,1378-3,soccer,which is the country of birth Karim Benzema?,Lyon,Q: which is the country of birth Karim Benzema? | A: Lyon,Q1912,Karim Benzema,Q456,Lyon,Q1912->P19->Q456,1,P19,,
CompMix_infobox.jsonl,51,1268,422-2,movies,Who wrote the film Yahaan?,Piyush Mishra,Q: Who wrote the film Yahaan? | A: Piyush Mishra,Q3571306,Yahaan,Q3534654,Piyush Mishra,Q3571306->P58->Q3534654,1,P58,,
CompMix_infobox.jsonl,52,3012,1024-1,music,At what studio was it recorded?,Trident Studios,Q: At what studio was it recorded? | A: Trident Studios,Q597273,Keep Yourself Alive,Q907523,Trident Studios,,,,,
CompMix_infobox.jsonl,53,3339,1134-1,music,What city did they create their 'The Who' band?,London,Q: What city did they create their 'The Who' band? | A: London,Q93346,The Who,Q84,London,Q93346->P740->Q84,1,P740,,
CompMix_infobox.jsonl,55,3751,1272-2,movies,Who is the Minari movie's hero?,Steven Yeun,Q: Who is the Minari movie's hero? | A: Steven Yeun,Q65679599,Minari,Q552176,Steven Yeun,"Path1: Q65679599->P1431->Q552176
Path2: Q65679599->P161->Q552176",2,P1431;P161,,
CompMix_infobox.jsonl,56,2094,698-1,soccer,Which football club Kaka was playing for when he won the Ballon d'Or?,A.C. Milan,Q: Which football club Kaka was playing for when he won the Ballon d'Or? | A: A.C. Milan,Q531814,Kak\u00E1,Q1543,A.C. Milan,Q531814->P54->Q1543,1,P54,,
CompMix_infobox.jsonl,56,2094,698-1,soccer,Which football club Kaka was playing for when he won the Ballon d'Or?,A.C. Milan,Q: Which football club Kaka was playing for when he won the Ballon d'Or? | A: A.C. Milan,Q166177,Ballon d'Or,Q1543,A.C. Milan,"Path1: Q166177->P1346->Q13494->P54->Q1543
Path2: Q166177->P1346->Q173139->P54->Q1543
Path3: Q166177->P1346->Q173972->P54->Q1543
Path4: Q166177->P1346->Q178628->P54->Q1543
Path5: Q166177->P1346->Q230046->P54->Q1543
Path6: Q166177->P1346->Q39444->P54->Q1543
Path7: Q166177->P1346->Q41244->P54->Q1543
Path8: Q166177->P1346->Q483577->P54->Q1543
Path9: Q166177->P1346->Q483629->P54->Q1543
Path10: Q166177->P1346->Q483837->P54->Q1543
Path11: Q166177->P1346->Q529207->P54->Q1543
Path12: Q166177->P1346->Q531814->P54->Q1543
Path13: Q166177->P1346->Q67964->P54->Q1543",2,P1346;P54,,
CompMix_infobox.jsonl,59,3343,1135-0,music,When did this The Who band start?,February 1964,Q: When did this The Who band start? | A: February 1964,Q93346,The Who,Q5439758,February 1964,,,,,
CompMix_infobox.jsonl,60,966,322-1,movies,what is the narrative location for Shutter Island movie?,Germany,Q: what is the narrative location for Shutter Island movie? | A: Germany,Q210364,Shutter Island,Q183,Germany,Q210364->P577->P291->Q183,1,P577,1,P291
CompMix_infobox.jsonl,61,2005,668-2,soccer,What is the family name of the Alisson ?,Becker,Q: What is the family name of the Alisson ? | A: Becker,Q18237361,Alisson,Q813701,Becker,Q18237361->P734->Q813701,1,P734,,
CompMix_infobox.jsonl,62,2582,870-3,books,Which  book was followed by the book Dune?,Dune Messiah,Q: Which  book was followed by the book Dune? | A: Dune Messiah,Q190192,Dune,Q437383,Dune Messiah,Q190192->P156->Q437383,1,P156,,
CompMix_infobox.jsonl,63,4785,1620-0,books,Who is the author of the book War and Peace?,Leo Tolstoy,Q: Who is the author of the book War and Peace? | A: Leo Tolstoy,Q161531,War and Peace,Q7243,Leo Tolstoy,Q161531->P50->Q7243,1,P50,,
CompMix_infobox.jsonl,64,3747,1270-3,books,"What is a ""Jane Eyre"" novel's genre?",Bildungsroman,"Q: What is a ""Jane Eyre"" novel's genre? | A: Bildungsroman",Q182961,Jane Eyre,Q223945,Bildungsroman,Q182961->P136->Q223945,1,P136,,
CompMix_infobox.jsonl,65,2223,740-4,books,Who is the director of IIT Delhi?,V. Ramgopal Rao,Q: Who is the director of IIT Delhi? | A: V. Ramgopal Rao,Q1194650,Indian Institute of Technology Delhi,Q16959779,V. Ramgopal Rao,,,,,
CompMix_infobox.jsonl,66,1248,416-0,tvseries,Which tv network originally aired the science fiction tv series Space: Above and Beyond?,Fox,Q: Which tv network originally aired the science fiction tv series Space: Above and Beyond? | A: Fox,Q729265,Space: Above and Beyond,Q166419,Fox Broadcasting Company,"Path1: Q729265->P272->Q166419
Path2: Q729265->P449->Q166419",2,P272;P449,,
CompMix_infobox.jsonl,68,1896,632-1,movies,Who is the composer of the film Smallfoot?,Heitor Pereira,Q: Who is the composer of the film Smallfoot? | A: Heitor Pereira,Q30607974,Smallfoot,Q462109,Heitor Pereira,Q30607974->P86->Q462109,1,P86,,
CompMix_infobox.jsonl,69,3567,1210-2,books,who is the author of The Sound and the Fury book?,William Faulkner,Q: who is the author of The Sound and the Fury book? | A: William Faulkner,Q135515,The Sound and the Fury,Q38392,William Faulkner,Q135515->P50->Q38392,1,P50,,
CompMix_infobox.jsonl,70,1183,394-1,music,What is the field of work of the Aerosmith band ?,rock music,Q: What is the field of work of the Aerosmith band ? | A: rock music,Q126826,Aerosmith,Q11399,rock music,Q126826->P101->Q11399,1,P101,,
CompMix_infobox.jsonl,71,1935,644-4,music,What was the first song on the self titled Elvis Presley album?,Blue Suede Shoes,Q: What was the first song on the self titled Elvis Presley album? | A: Blue Suede Shoes,Q610926,Elvis Presley,Q885912,Blue Suede Shoes,Q610926->P658->Q82831522->P2550->Q885912,2,P658;P2550,,
CompMix_infobox.jsonl,72,2447,816-3,tvseries,"Who directed Caretaker, Part I?",Winrich Kolbe,"Q: Who directed Caretaker, Part I? | A: Winrich Kolbe",Q42599400,"Caretaker, Part I",Q178387,Winrich Kolbe,Q42599400->P57->Q178387,1,P57,,
CompMix_infobox.jsonl,73,468,156-0,tvseries,"Who made the theme music for ""Emily in Paris"" series?",James Newton,"Q: Who made the theme music for ""Emily in Paris"" series? | A: James Newton",Q64584978,Emily in Paris,Q43914882,James Newton,,,,,
CompMix_infobox.jsonl,74,1738,579-0,soccer,What country does Memphis Depay represent in sports?,Netherlands,Q: What country does Memphis Depay represent in sports? | A: Netherlands,Q1894,Memphis Depay,Q55,Netherlands,Q1894->P1532->Q55,1,P1532,,
CompMix_infobox.jsonl,75,4683,1586-0,tvseries,Who created the TV series Survivor?,Charlie Parsons,Q: Who created the TV series Survivor? | A: Charlie Parsons,Q28856068,Survivor,Q5085360,Charlie Parsons,"Path1: Q28856068->P1431->Q5085360
Path2: Q28856068->P170->Q5085360",2,P1431;P170,,
CompMix_infobox.jsonl,76,3959,1342-0,movies,"Who was the director of the movie ""Black Widow""?",Cate Shortland,"Q: Who was the director of the movie ""Black Widow""? | A: Cate Shortland",Q23894626,Black Widow,Q441510,Cate Shortland,Q23894626->P57->Q441510,1,P57,,
CompMix_infobox.jsonl,77,1765,588-2,soccer,How many teams play in Major League Soccer?,28,Q: How many teams play in Major League Soccer? | A: 28,Q18543,Major League Soccer,Q18543,Major League Soccer,"Path1: Q18543->P1424->Q10623366->P1423->Q18543
Path2: Q18543->P1424->Q23542288->P1423->Q18543
Path3: Q18543->P2500->Q1362411->P2499->Q18543
Path4: Q18543->P355->Q1031200->P118->Q18543
Path5: Q18543->P355->Q118945347->P118->Q18543
Path6: Q18543->P355->Q13361030->P118->Q18543
Path7: Q18543->P355->Q15214308->P118->Q18543
Path8: Q18543->P355->Q167615->P118->Q18543
Path9: Q18543->P355->Q16836317->P118->Q18543
Path10: Q18543->P355->Q16844931->P118->Q18543
Path11: Q18543->P355->Q18380286->P118->Q18543
Path12: Q18543->P355->Q196107->P118->Q18543
Path13: Q18543->P355->Q19828435->P118->Q18543
Path14: Q18543->P355->Q204220->P118->Q18543
Path15: Q18543->P355->Q204357->P118->Q18543
Path16: Q18543->P355->Q20855983->P118->Q18543
Path17: Q18543->P355->Q238593->P118->Q18543
Path18: Q18543->P355->Q308683->P118->Q18543
Path19: Q18543->P355->Q309095->P118->Q18543
Path20: Q18543->P355->Q327238->P118->Q18543
Path21: Q18543->P355->Q328313->P118->Q18543
Path22: Q18543->P355->Q329812->P118->Q18543
Path23: Q18543->P355->Q391353->P118->Q18543
Path24: Q18543->P355->Q421009->P118->Q18543
Path25: Q18543->P355->Q457163->P118->Q18543
Path26: Q18543->P355->Q47518754->P118->Q18543
Path27: Q18543->P355->Q575370->P118->Q18543
Path28: Q18543->P355->Q60643348->P118->Q18543
Path29: Q18543->P355->Q632511->P118->Q18543
Path30: Q18543->P355->Q642291->P118->Q18543
Path31: Q18543->P355->Q642408->P118->Q18543
Path32: Q18543->P355->Q642433->P118->Q18543
Path33: Q18543->P355->Q66642491->P118->Q18543
Path34: Q18543->P355->Q689874->P118->Q18543
Path35: Q18543->P355->Q78944434->P118->Q18543
Path36: Q18543->P355->Q862647->P118->Q18543
Path37: Q18543->P355->Q1031200->P749->Q18543
Path38: Q18543->P355->Q118945347->P749->Q18543
Path39: Q18543->P355->Q13361030->P749->Q18543
Path40: Q18543->P355->Q15214308->P749->Q18543
Path41: Q18543->P355->Q167615->P749->Q18543
Path42: Q18543->P355->Q16836317->P749->Q18543
Path43: Q18543->P355->Q16844931->P749->Q18543
Path44: Q18543->P355->Q18380286->P749->Q18543
Path45: Q18543->P355->Q196107->P749->Q18543
Path46: Q18543->P355->Q19828435->P749->Q18543
Path47: Q18543->P355->Q204220->P749->Q18543
Path48: Q18543->P355->Q204357->P749->Q18543
Path49: Q18543->P355->Q20855983->P749->Q18543
Path50: Q18543->P355->Q238593->P749->Q18543
Path51: Q18543->P355->Q308683->P749->Q18543
Path52: Q18543->P355->Q309095->P749->Q18543
Path53: Q18543->P355->Q327238->P749->Q18543
Path54: Q18543->P355->Q328313->P749->Q18543
Path55: Q18543->P355->Q329812->P749->Q18543
Path56: Q18543->P355->Q391353->P749->Q18543
Path57: Q18543->P355->Q421009->P749->Q18543
Path58: Q18543->P355->Q457163->P749->Q18543
Path59: Q18543->P355->Q47518754->P749->Q18543
Path60: Q18543->P355->Q575370->P749->Q18543
Path61: Q18543->P355->Q60643348->P749->Q18543
Path62: Q18543->P355->Q632511->P749->Q18543
Path63: Q18543->P355->Q642291->P749->Q18543
Path64: Q18543->P355->Q642408->P749->Q18543
Path65: Q18543->P355->Q642433->P749->Q18543
Path66: Q18543->P355->Q66642491->P749->Q18543
Path67: Q18543->P355->Q689874->P749->Q18543
Path68: Q18543->P355->Q78944434->P749->Q18543
Path69: Q18543->P355->Q862647->P749->Q18543
Path70: Q18543->P527->Q98446339->P127->Q18543
Path71: Q18543->P527->Q98446339->P137->Q18543
Path72: Q18543->P527->Q103821894->P3450->Q18543
Path73: Q18543->P527->Q109500878->P3450->Q18543
Path74: Q18543->P527->Q111461779->P3450->Q18543
Path75: Q18543->P527->Q123412108->P3450->Q18543
Path76: Q18543->P527->Q1249095->P3450->Q18543
Path77: Q18543->P527->Q1293120->P3450->Q18543
Path78: Q18543->P527->Q130686780->P3450->Q18543
Path79: Q18543->P527->Q1318570->P3450->Q18543
Path80: Q18543->P527->Q1322008->P3450->Q18543
Path81: Q18543->P527->Q135036041->P3450->Q18543
Path82: Q18543->P527->Q15233253->P3450->Q18543
Path83: Q18543->P527->Q1650271->P3450->Q18543
Path84: Q18543->P527->Q16596994->P3450->Q18543
Path85: Q18543->P527->Q1784910->P3450->Q18543
Path86: Q18543->P527->Q1784939->P3450->Q18543
Path87: Q18543->P527->Q1785470->P3450->Q18543
Path88: Q18543->P527->Q1785566->P3450->Q18543
Path89: Q18543->P527->Q1786301->P3450->Q18543
Path90: Q18543->P527->Q1886150->P3450->Q18543
Path91: Q18543->P527->Q1886152->P3450->Q18543
Path92: Q18543->P527->Q1886155->P3450->Q18543
Path93: Q18543->P527->Q1886156->P3450->Q18543
Path94: Q18543->P527->Q1886160->P3450->Q18543
Path95: Q18543->P527->Q18999882->P3450->Q18543
Path96: Q18543->P527->Q27990828->P3450->Q18543
Path97: Q18543->P527->Q3012026->P3450->Q18543
Path98: Q18543->P527->Q370315->P3450->Q18543
Path99: Q18543->P527->Q42530846->P3450->Q18543
Path100: Q18543->P527->Q58327598->P3450->Q18543
Path101: Q18543->P527->Q605251->P3450->Q18543
Path102: Q18543->P527->Q71819887->P3450->Q18543
Path103: Q18543->P527->Q1187695->P361->Q18543
Path104: Q18543->P527->Q1187973->P361->Q18543
Path105: Q18543->P527->Q1784939->P361->Q18543
Path106: Q18543->P527->Q27990828->P361->Q18543
Path107: Q18543->P527->Q605251->P361->Q18543
Path108: Q18543->P527->Q103821894->P664->Q18543
Path109: Q18543->P527->Q1249095->P664->Q18543
Path110: Q18543->P527->Q1293120->P664->Q18543
Path111: Q18543->P527->Q1318570->P664->Q18543
Path112: Q18543->P527->Q1322008->P664->Q18543
Path113: Q18543->P527->Q15233253->P664->Q18543
Path114: Q18543->P527->Q1650271->P664->Q18543
Path115: Q18543->P527->Q16596994->P664->Q18543
Path116: Q18543->P527->Q1784910->P664->Q18543
Path117: Q18543->P527->Q1784939->P664->Q18543
Path118: Q18543->P527->Q1785470->P664->Q18543
Path119: Q18543->P527->Q1785566->P664->Q18543
Path120: Q18543->P527->Q1786301->P664->Q18543
Path121: Q18543->P527->Q1886150->P664->Q18543
Path122: Q18543->P527->Q1886152->P664->Q18543
Path123: Q18543->P527->Q1886155->P664->Q18543
Path124: Q18543->P527->Q1886156->P664->Q18543
Path125: Q18543->P527->Q1886160->P664->Q18543
Path126: Q18543->P527->Q18999882->P664->Q18543
Path127: Q18543->P527->Q27990828->P664->Q18543
Path128: Q18543->P527->Q3012026->P664->Q18543
Path129: Q18543->P527->Q370315->P664->Q18543
Path130: Q18543->P527->Q42530846->P664->Q18543
Path131: Q18543->P527->Q58327598->P664->Q18543
Path132: Q18543->P527->Q605251->P664->Q18543
Path133: Q18543->P527->Q71819887->P664->Q18543
Path134: Q18543->P527->Q98446339->P921->Q18543
Path135: Q18543->P527->Q98446339->P9901->Q18543
Path136: Q18543->P910->Q7485566->P301->Q18543",17,P1424;P1423;P2500;P2499;P355;P118;P749;P527;P127;P137;P3450;P361;P664;P921;P9901;P910;P301,,
CompMix_infobox.jsonl,78,3115,1058-2,soccer,What is the current FIFA ranking for the Germany National Football Team?,12th,Q: What is the current FIFA ranking for the Germany National Football Team? | A: 12th,Q43310,Germany national association football team,Q180825,FIFA World Rankings,Q43310->P1352->P459->Q180825,1,P1352,1,P459
CompMix_infobox.jsonl,79,4671,1582-0,movies,From what country did the film Howl's Moving Castle originate?,Japan,Q: From what country did the film Howl's Moving Castle originate? | A: Japan,Q29011,Howl's Moving Castle,Q17,Japan,Q29011->P495->Q17,1,P495,,
CompMix_infobox.jsonl,85,4057,1374-2,music,What city did they create their 'Green Day' band?,California,Q: What city did they create their 'Green Day' band? | A: California,Q47871,Green Day,Q99,California,Q47871->P495->Q30->P150->Q99,2,P495;P150,,
CompMix_infobox.jsonl,86,1909,636-2,tvseries,which book does the tv series locke & key Based on ?,Locke & Key,Q: which book does the tv series locke & key Based on ? | A: Locke & Key,Q56274745,Locke & Key,Q6665339,Locke & Key,"Path1: Q56274745->P144->Q6665339
Path2: Q56274745->P1889->Q6665339",2,P144;P1889,,
CompMix_infobox.jsonl,88,4874,1649-0,soccer,For which club team did Diego Maradona played for?,Boca Juniors,Q: For which club team did Diego Maradona played for? | A: Boca Juniors,Q17515,Diego Maradona,Q170703,Boca Juniors,Q17515->P54->Q170703,1,P54,,
CompMix_infobox.jsonl,89,1068,356-0,tvseries,"What was the genre of the series ""White Collar""?","Police procedural,Drama","Q: What was the genre of the series ""White Collar""? | A: Police procedural,Drama",Q31915,White Collar,Q2321734,police procedural,Q31915->P136->Q2321734,1,P136,,
CompMix_infobox.jsonl,91,1103,367-0,tvseries,Who played Sheldon Sampson/The Utopian in Jupiter's Legacy?,Josh Duhamel,Q: Who played Sheldon Sampson/The Utopian in Jupiter's Legacy? | A: Josh Duhamel,Q65120863,Jupiter's Legacy,Q19794,Josh Duhamel,Q65120863->P161->Q19794,1,P161,,
CompMix_infobox.jsonl,93,2560,863-0,movies,Who was The Turning Point directed by?,Herbert Ross,Q: Who was The Turning Point directed by? | A: Herbert Ross,Q451558,The Turning Point,Q711415,Herbert Ross,"Path1: Q451558->P162->Q711415
Path2: Q451558->P57->Q711415",2,P162;P57,,
CompMix_infobox.jsonl,94,4879,1650-4,books,Who is the publisher of the Novel The White Tiger?,Atlantic Books,Q: Who is the publisher of the Novel The White Tiger? | A: Atlantic Books,Q2301826,The White Tiger,Q4816305,Atlantic Books,Q2301826->P123->Q4816305,1,P123,,
CompMix_infobox.jsonl,95,1433,478-0,soccer,What team did Sadio Mané join in 2016?,Liverpool F.C.,Q: What team did Sadio Mané join in 2016? | A: Liverpool F.C.,Q209942,Sadio Man\u00E9,Q1130849,Liverpool F.C.,Q209942->P54->Q1130849,1,P54,,
