question,gold_answer,KG answer,taxonomy_label,method,source,cause
what is the pirates of the caribbean in order,The Curse of the Black Pearl | Dead Man's Chest | At World's End | On Stranger Tides | Dead Men Tell No Tales,"Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-gb)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-ca)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-ca)|2003-08-13T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en)|2003-08-13T00:00:00Z
...|...|...
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell no Tales (lang:en)|2017-05-25T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Carribean:Dead man tell no tales (lang:en-us)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell No Tales (lang:en-gb)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell No Tales (lang:en-ca)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell no Tales (lang:en)|2017-05-26T00:00:00Z",Same,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00217.json,long answer
who played in the first fifty shades of grey,Dakota Johnson | Jamie Dornan | Jennifer Ehle | Marcia Gay Harden,"Luke Grimes|Luke Grimes (lang:en)
Max Martini|Max Martini (lang:en)
Dylan Neal|Dylan Neal (lang:en)
Megan Danso|Megan Danso (lang:en)
Marcia Gay Harden|Marcia Gay Harden (lang:en)
...|...
Rachel Skarsten|Rachel Skarsten (lang:en)
Christine Willes|Christine Willes (lang:en)
Callum Keith Rennie|Callum Keith Rennie (lang:en)
Jamie Dornan|Jamie Dornan (lang:en)
Victor Rasuk|Victor Rasuk (lang:en)",Higher accuracy in KG than in Table,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00807.json,long answer
What is the name of the performer in the Hobbit the unexpected journey,Howard Shore,"Stephen Hunter|Stephen Hunter (lang:en)
John Callen|John Callen (lang:en)
John Rawls|John Rawls (lang:en)
Conan Stevens|Conan Stevens (lang:en)
Evangeline Lilly|Evangeline Lilly (lang:en)
...|...
Barry Humphries|Barry Humphries (lang:en)
Terry Notary|Terry Notary (lang:en)
Cate Blanchett|Cate Blanchett (lang:en)
Bret McKenzie|Bret McKenzie (lang:en)
Jed Brophy|Jed Brophy (lang:en)",Higher accuracy in KG than in Table,LLM-as-a-judge,ComplexQA/CompMix_infobox_complex/00174.json,long answer
Which dhb is part of the New Zealand district heald boards ?,Auckland District Health Board | Bay of Plenty District Health Board | Canterbury District Health Board | Capital and Coast District Health Board | Counties Manukau District Health Board | [[Hawkes Bay District Health Board]] | Hutt Valley District Health Board | Lakes District Health Board | MidCentral District Health Board | Nelson Marlborough District Health Board | Northland District Health Board | Otago District Health Board | South Canterbury District Health Board | Southland District Health Board | Tairāwhiti District Health Board | Taranaki District Health Board | Waikato District Health Board | Wairarapa District Health Board | Waitematā District Health Board | Whanganui District Health Board | West Coast District Health Board,"Auckland District Health Board|Auckland District Health Board (lang:en)
Counties Manukau District Health Board|Counties Manukau District Health Board (lang:en)
Capital and Coast District Health Board|Capital and Coast District Health Board (lang:en)
Waitematā District Health Board|Waitematā District Health Board (lang:en)
MidCentral District Health Board|MidCentral District Health Board (lang:en)
...|...
Wairarapa District Health Board|Wairarapa District Health Board (lang:en)
West Coast District Health Board|West Coast District Health Board (lang:en)
Whanganui District Health Board|Whanganui District Health Board (lang:en)
Otago District Health Board|Otago District Health Board (lang:en)
Southland District Health Board|Southland District Health Board (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00066.json,long answer
chief ministers of tamil nadu mentioned on wikipedia,C. N. Annadurai | V.R. Nedunchezhiyan | M. Karunanidhi | M. G. Ramachandran | Janaki Ramachandran | J. Jayalalithaa | O. Panneerselvam | K. Palaniswami,"M. G. Ramachandran
C. N. Annadurai
O. Panneerselvam
V. N. Janaki
C. Rajagopalachari
...
Muthuvel Karunanidhi
K.Kamarajar
Vijay
K. Palaniswami
M. K. Stalin",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00814.json,long answer
list of local government area in benue state,Ado | Agatu | Apa | Buruku | Gboko | Guma | Gwer East | Gwer West | Katsina-Ala | Konshisha | Kwande | Logo | Makurdi | Obi | Ogbadibo | Ohimini | Oju | Okpokwu | Otukpo | Tarka | Ukum | Ushongo | Vandeikya,"Guma
Gboko
Agatu
Otukpo
Obi
...
Okpokwu
Tarka
Ukum
Ushongo
Vandeikya",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00340.json,long answer
Which weapons are of the type anti-materiel rifles ?,Steyr IWS 2000 | Steyr HS .50 | Istiglal | AMR-2 | Zijiang M99 | RT-20 | Vidhwansak | Pindad SPR-2 and SPR-3 | Shaher | Tor | KSVK | SV-18 | Zastava M93 Black Arrow | Denel NTW-20 | Snipex Alligator | Accuracy International AW50 | Accuracy International AS50 | Accuracy International AX50 | Barrett M82A1/M107 | Barrett M99 | Barrett XM109 | Barrett XM500 | Anzio 20mm rifle | Desert Tech HTI,"Gepard|Gepard (lang:en)
AMR-2|AMR-2 (lang:en)
Snipex Alligator|Snipex Alligator (lang:en)
Solothurn S-18/100|Solothurn S-18/100 (lang:en)
Accuracy International AW50|Accuracy International AW50 (lang:en)
...|...
Barrett M99|Barrett M99 (lang:en)
Barrett XM109|Barrett XM109 (lang:en)
Accuracy International AX50|Accuracy International AX50 (lang:en)
Accuracy International AS50|Accuracy International AS50 (lang:en)
AM-50 Sayyad|AM-50 Sayyad (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00033.json,long answer
who starred in an officer and a gentleman,Richard Gere | Debra Winger | David Keith | Louis Gossett Jr.,"Victor French|Victor French (lang:en)
Debra Winger|Debra Winger (lang:en)
Grace Zabriskie|Grace Zabriskie (lang:en)
Lisa Eilbacher|Lisa Eilbacher (lang:en)
Lisa Blount|Lisa Blount (lang:en)
...|...
Elizabeth Rogers|Elizabeth Rogers (lang:en)
David Keith|David Keith (lang:en)
Tony Plana|Tony Plana (lang:en)
John Laughlin|John Laughlin (lang:en)
Harold Sylvester|Harold Sylvester (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00620.json,long answer
"Besides its incumbent president, what was the political affiliation of each president of Moldova since the country gained its independence","[['Mircea Snegur', 'Independent'], ['Mircea Snegur', 'PRCM (1995–2002)'], ['Mircea Snegur', 'PCM (1964–1990)'], ['Petru Lucinschi', 'Agrarian Party of Moldova'], ['Vladimir Voronin', 'Communist Party of Moldova (Before 1991)'], ['Vladimir Voronin', 'Party of Communists of the Republic of Moldova (1993–present)'], ['Mihair Ghimpu', 'Popular Front (1990–1993)'], ['Mihair Ghimpu', 'Liberal Party (1993–present)'], ['Mihair Ghimpu', 'Bloc of the Intellectuals (1994)'], ['Vlad Filat', 'Democratic Party (1997–2007)'], ['Vlad Filat', 'Liberal Democratic Party (2007–2016), (2020–present)'], ['Vlad Filat', 'Alliance for Democracy and Reforms (1998–1999)'], ['Vlad Filat', 'Alliance for European Integration (2009–present)'], ['Marian Lupu', 'Communist Party of the Soviet Union (Before 1991)'], ['Marian Lupu', 'Party of Communists of Moldova (1993–2009)'], ['Marian Lupu', 'Democratic Party of Moldova (2009–2019)'], ['Marian Lupu', 'Alliance for European Integration (2009–present)'], ['Nicolae Timofti', 'Communist Party'], ['Nicolae Timofti', 'Independent'], ['Igor Dodon', 'Party of Socialists (2011–2016, 2020–present)'], ['Igor Dodon', 'Party of Communists (2010–2011)'], ['Igor Dodon', 'Independent (2016–2020)']]","Petru Lucinschi|Petru Lucinschi (lang:en)|Agrarian Party of Moldova|Agrarian Party of Moldova (lang:en)
Petru Lucinschi|Petru Lucinschi (lang:en)|Communist Party of the Soviet Union|Communist Party of the Soviet Union (lang:en)
Vladimir Voronin|Vladimir Voronin (lang:en)|Party of Communists of the Republic of Moldova|Party of Communists of the Republic of Moldova (lang:en)
Vladimir Voronin|Vladimir Voronin (lang:en)|Communist Party of the Soviet Union|Communist Party of the Soviet Union (lang:en)
Mihai Ghimpu|Mihai Ghimpu (lang:en)|Liberal Party|Liberal Party (lang:en)
...|...|...|...
Nicolae Timofti|Nicolae Timofti (lang:en)|Communist Party of Moldavia|Communist Party of Moldavia (lang:en)
Nicolae Timofti|Nicolae Timofti (lang:en)|Communist Party of the Soviet Union|Communist Party of the Soviet Union (lang:en)
Igor Dodon|Igor Dodon (lang:en)|Party of Socialists of the Republic of Moldova|Party of Socialists of the Republic of Moldova (lang:en)
Igor Dodon|Igor Dodon (lang:en)|independent politician|independent politician (lang:en)
Igor Dodon|Igor Dodon (lang:en)|Party of Communists of the Republic of Moldova|Party of Communists of the Republic of Moldova (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00016.json,long answer
what is the pirates of the caribbean in order,The Curse of the Black Pearl | Dead Man's Chest | At World's End | On Stranger Tides | Dead Men Tell No Tales,"Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-ca)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-gb)|2003-07-09T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en)|2003-08-13T00:00:00Z
Pirates of the Caribbean: The Curse of the Black Pearl|Pirates of the Caribbean: The Curse of the Black Pearl (lang:en-ca)|2003-08-13T00:00:00Z
...|...|...
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Carribean:Dead man tell no tales (lang:en-us)|2017-05-25T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell No Tales (lang:en-ca)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell No Tales (lang:en-gb)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Caribbean: Dead Men Tell no Tales (lang:en)|2017-05-26T00:00:00Z
Pirates of the Caribbean: Dead Men Tell no Tales|Pirates of the Carribean:Dead man tell no tales (lang:en-us)|2017-05-26T00:00:00Z",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00216.json,long answer
What are the existing (in service or terminated) space telescopes ?,"Granat | Gamma | Compton Gamma Ray Observatory (CGRO) | International Gamma Ray Astrophysics Laboratory (INTEGRAL) | Fermi Gamma-ray Space Telescope | Astronomical Netherlands Satellite (ANS) | Einstein Observatory (HEAO 2) | Astron | EXOSAT | ROSAT | Broad Band X-ray Telescope / Astro 1 | Advanced Satellite for Cosmology and Astrophysics (ASCA, Astro-D) | Array of Low Energy X-ray Imaging Sensors (Alexis) | BeppoSAX | Chandra X-ray Observatory | XMM-Newton | Astrosat | Hitomi (Astro-H) | Mikhailo Lomonosov | Spektr-RG | OAO-2 (Stargazer) | [[Orbiting Astronomical Observatory|OAO-3 Copernicus]] | International Ultraviolet Explorer (IUE) | Hubble Space Telescope | Extreme Ultraviolet Explorer (EUVE) | Far Ultraviolet Spectroscopic Explorer (FUSE) | Interface Region Imaging Spectrograph (IRIS) | Venus Spectral Rocket Experiment | Hipparcos | Near Earth Object Surveillance Satellite (NEOSSat) | Gaia (astrometry) | Transiting Exoplanet Survey Satellite (TESS) | CHEOPS | IRAS | Infrared Space Observatory (ISO) | Midcourse Space Experiment (MSX) | Submillimeter Wave Astronomy Satellite (SWAS) | Wide Field Infrared Explorer (WIRE) | Spitzer Space Telescope | Akari (Astro-F) | Herschel Space Observatory | Wide-field Infrared Survey Explorer (WISE) | Odin | Planck | Dark Matter Particle Explorer (DAMPE) | James Webb Space Telescope (JWST) | X-ray Polarimeter Satellite (XPoSat) | X-Ray Imaging and Spectroscopy Mission (XRISM) | International Lunar Observatory Precursor (ILO-X) | Euclid | SPHEREx | Nancy Grace Roman Space Telescope (Wide Field Infrared Survey Telescope; WFIRST) | AstroSat-2 | PLATO | ARIEL | Advanced Telescope for High Energy Astrophysics (ATHENA) | Laser Interferometer Space Antenna (LISA)","Spacelab 2 X-ray Telescope|Spacelab 2 X-ray Telescope (lang:en)
Compton Spectrometer and Imager|Compton Spectrometer and Imager (lang:en)
Pandora|Pandora (lang:en)
BRITE-Toronto|BRITE-Toronto (lang:en)
CRISTA-SPAS II|CRISTA-SPAS II (lang:en)
...|...
Near Earth Object Surveillance Satellite|Near Earth Object Surveillance Satellite (lang:en)
PLATO|PLATO (lang:en)
SPICA|SPICA (lang:en)
ASTRO-E|ASTRO-E (lang:en)
Midcourse Space Experiment|Midcourse Space Experiment (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00045.json,long answer
What are all the named continents throughout history ?,Vaalbara | Ur | Kenorland | Atlantica | Baltica | Rodinia | Avalonia | Pannotia | Gondwana | Cimmeria | Laurasia | Pangea | Africa | Asia | Australia | Europe | Pangaea Proxima,"African Continent|African Continent (lang:en)
Africa|Africa (lang:en)
North American continent|North American continent (lang:en)
South American continent|South American continent (lang:en)
South America|South America (lang:en)
...|...
Antarctica|Antarctica (lang:en)
Insular India|Insular India (lang:en)
Oceania|Oceania (lang:en)
Turtle Island|Turtle Island (lang:en)
Americas|Americas (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00039.json,long answer
Show names of Marvel movies ordered by box office performance for all films released after 2010.,"['Avengers: Endgame', 'Avengers: Infinity War', 'Spider-Man: No Way Home', 'The Avengers', 'Avengers: Age of Ultron', 'Black Panther', 'Iron Man 3', 'Captain America: Civil War', 'Spider-Man: Far From Home', 'Captain Marvel', 'Doctor Strange in the Multiverse of Madness', 'Spider-Man: Homecoming', 'Guardians of the Galaxy Vol. 2', 'Thor: Ragnarok', 'Black Panther: Wakanda Forever', 'Guardians of the Galaxy Vol. 3', 'Guardians of the Galaxy', 'Thor: Love and Thunder', 'Captain America: The Winter Soldier', 'Doctor Strange', 'Thor: The Dark World', 'Ant-Man and the Wasp', 'Ant-Man', 'Ant-Man and the Wasp: Quantumania', 'Thor', 'Shang-Chi and the Legend of the Ten Rings', 'Eternals', 'Black Widow', 'Captain America: The First Avenger']","Avengers: Endgame|Avengers: Endgame (lang:en)
Avengers: Endgame|Avengers: Endgame (lang:en)
Avengers: Endgame|Avengers: Endgame (lang:en)
Avengers: Endgame|Avengers: Endgame (lang:en)
Avengers: Endgame|Avengers: Endgame (lang:en)
...|...
Thor|Thor (lang:en)
Ant-Man and the Wasp: Quantumania|Ant-Man and the Wasp: Quantumania (lang:en)
Ant-Man and the Wasp: Quantumania|Ant-Man and the Wasp: Quantumania (lang:en)
Ant-Man and the Wasp: Quantumania|Ant-Man and the Wasp: Quantumania (lang:en)
Ant-Man|Ant-Man (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00030.json,long answer
when did the jurassic park movies come out,1993 | 1997 | 2001 | 2015 | 2018,"Jurassic Park III (lang:en)|2001-07-18T00:00:00Z
Jurassic Park III (lang:en)|2001-08-02T00:00:00Z
Jurassic Park (lang:en)|1993-06-09T00:00:00Z
Jurassic Park (lang:en)|1993-06-11T00:00:00Z
Jurassic Park (lang:en)|1993-06-13T00:00:00Z
...|...
Jurassic Park (lang:en)|1994-04-15T00:00:00Z
The Lost World: Jurassic Park (lang:en)|1997-05-23T00:00:00Z
The Lost World: Jurassic Park (lang:en)|1997-08-07T00:00:00Z
The Lost World: Jurassic Park (lang:en)|1997-09-19T00:00:00Z
The Lost World: Jurassic Park (lang:en)|1997-10-22T00:00:00Z",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00815.json,long answer
Who are the producers of the Coloratura song from the album Music of the Spheres?,"M. Martin, Holter, Rahko","Max Martin|Max Martin (lang:an)
Max Martin|Max Martin (lang:ast)
Max Martin|Max Martin (lang:br)
Max Martin|Max Martin (lang:ca)
Max Martin|Max Martin (lang:co)
...|...
Max Martin|マックス・マーティン (lang:ja)
Max Martin|馬克斯·馬丁 (lang:zh)
Max Martin|馬克斯·馬汀 (lang:zh-hant)
Max Martin|马克斯·马丁 (lang:zh-cn)
Max Martin|麦克斯·马丁 (lang:zh-hans)",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/CompMix_table_simple_qa/00209.json,long answer
What are the existring aircraft carriers ?,[[Soviet aircraft carrier Admiral Gorshkov|Admiral Flota Sovetskogo Soyuza Gorshkov]] | [[Japanese aircraft carrier Akagi|Akagi]] | [[Japanese aircraft carrier Amagi|Amagi]] | [[Italian aircraft carrier Aquila|Aquila]] | [[Soviet aircraft carrier Admiral Gorshkov|Baku]] | [[HTMS Chakri Naruebet|Chakri Naruebet]] | [[Japanese aircraft carrier Chitose|Chitose]] | [[Japanese aircraft carrier Chiyoda|Chiyoda]] | [[Japanese aircraft carrier Chūyō|Chuyo]] | [[Spanish aircraft carrier Dédalo|Dédalo]] | [[Italian aircraft carrier Sparviero|Falco]] | [[German aircraft carrier Graf Zeppelin|Graf Zeppelin]] | [[Japanese aircraft carrier Hiryū|Hiryū]] | [[Japanese aircraft carrier Hiyō|Hiyō]] | [[Japanese aircraft carrier Hōshō|Hōshō]] | [[Japanese cruiser Ibuki (1943)|Ibuki]] | Izumo | [[French aircraft carrier Joffre|Joffre]] | [[Japanese aircraft carrier Kaga|Kaga]] | Kaga | [[Japanese aircraft carrier Katsuragi|Katsuragi]] | [[Soviet aircraft carrier Kiev|Kiev]] | [[Soviet aircraft carrier Ulyanovsk|Kremlin]] | [[Chinese aircraft carrier Liaoning|Liaoning]] | [[Brazilian aircraft carrier Minas Gerais|Minas Gerais]] | [[Soviet aircraft carrier Minsk|Minsk]] | [[Soviet aircraft carrier Novorossiysk|Novorossiysk]] | Richelieu (PA2) | [[Japanese aircraft carrier Ryūhō|Ryūhō]] | [[Japanese aircraft carrier Ryūjō|Ryūjō]] | [[Chinese aircraft carrier Shandong|Shandong]] | [[Japanese aircraft carrier Shinano|Shinano]] | [[Japanese aircraft carrier Shōhō|Shōhō]] | [[Japanese aircraft carrier Shōkaku|Shōkaku]] | [[Japanese aircraft carrier Sōryū|Sōryū]] | [[Italian aircraft carrier Sparviero|Sparviero]] | [[Japanese aircraft carrier Taihō|Taihō]] | [[Japanese aircraft carrier Taiyō|Taiyō]] | [[Type 003 aircraft carrier|Type 003]] | [[Type 004 aircraft carrier|Type 004]] | [[Japanese aircraft carrier Unryū|Unryū]] | [[ARA Veinticinco de Mayo (V-2)|Veinticinco de Mayo]] | [[German cruiser Seydlitz|Weser]] | [[Japanese aircraft carrier Zuihō|Zuihō]] | [[Japanese aircraft carrier Zuikaku|Zuikaku]],"Flugzeugträger B
Béarn
USS Hancock
HMS Implacable
HMS Indefatigable
...
Ryūhō
HMS Eagle
future French aircraft carrier
USS Valley Forge
USS Shangri-La",Higher accuracy in Table than in KG,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00019.json,long answer
Who are the children of the last three US presidents,"[['Beau', 'Hunter', 'Naomi', 'Ashley'], ['Donald Jr.', 'Ivanka', 'Eric', 'Tiffany', 'Barron'], ['Malia', 'Sasha']]","Tiffany Trump|Tiffany Trump (lang:en)
Malia Obama|Malia Obama (lang:en)
Sasha Obama|Sasha Obama (lang:en)
Barron Trump|Barron Trump (lang:en)
Ivanka Trump|Ivanka Trump (lang:en)
...|...
Eric Trump|Eric Trump (lang:en)
Hunter Biden|Hunter Biden (lang:en)
Beau Biden|Beau Biden (lang:en)
Ashley Biden|Ashley Biden (lang:en)
Amy Biden|Amy Biden (lang:en)",Higher accuracy in Table than in KG,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00140.json,long answer
