question,answer
Who was the kit supplier for the D.C. United soccer club? Q238593,Adidas
Which country does the soccer player Alessandro Del Piero represent? Q624,Italy
What award did The Turning Point get? Q451558,National Board of Review: Top Ten Films
What is the name of the character played by the actor Cillian Murphy in the series Peaky Blinders? Q14944179,Tommy Shelby
What is the gating on Entertainment Weekly of the album Demi? Q9343810 Q275033,C+
Who is the composer of the movie Spide man part 1? Q484442,Danny Elfman
language of work of the Dream of the Red Chamber? Q8265,Chinese
Which country did Ronaldinho play for? Q39444,Brazil
Who played the role of Sakshi Devi? Q104879238,Nushrratt Bharuccha
Dustin Hoffman's '79 Oscar was won for what? Q42930,Kramer vs. Kramer
What is the rating of Promises on Exclaim!? Q106318794 Q664232,7
director of the film Encanto? Q103372692,Jared Bush
What team did he manage prior to this one? Q1784080,Vålerenga Fotball
"Who played Uncle Phil on the ""Fresh Prince of Bel-Air?"" Q309063",James Avery
What is the name of the father character in the TV series Family Guy? Q5930,Peter Griffin
Neymar is from? Q142794,Portuguese
What was the name of the character played by Brad Pitt in the movie Fight Club? Q35332 Q190050,Tyler Durden
Where the original RoboCop trilogy movies all direct by Paul Verhoeven? Q129079 Q2080591,No
Batman v Superman: Dawn of Justice Movie was directed by which film director? Q14772351,Zack Snyder
Who played the character of Miyan Maqbool? Q542866,Irrfan Khan
On what show did she play Heather McCoy? Q230045,Married... with Children
Initial book of the novel series Little House on the Prairie? Q5400672,Little House in the Big Woods
Which Oscar did The Girl with the Dragon Tattoo win? Q19020 Q474093,Best Film Editing
Who is Neymar's current soccer team? Q142794,Paris Saint-Germain F.C
Who played character of Roohi in the movie Roohi? Q64768529,Janhvi Kapoor
Selena Gomez held which position? Q83287,UNICEF Goodwill Ambassador
Did Hulu release all the Catch-22 miniseries episodes on the same day? Q48743233,Yes
Who is the author of the The Invisible Man ? Q1784288,Ralph Ellison
Who directs the TV Series The Wheel of Time? Q60746841,Uta Briesewitz
Which national soccer team did Fabio Cannavaro play for? Q102027,Italy
Money Heist Part Of Tokyo (Silene Oliveira) Character? Q2632981,Tokyo (Silene Oliveira)
What is the name of the team he initially played on? Q83006,Sporting de Gijón B
What is Luis Suárez National Team? Q2384857 Q26517,"Uruguay Olympic football team, Uruguay national football team"
Jane Eyre novel was written by? Q182961,Charlotte Bronte
did David Callaham write the screenplay for the sequel The Expendables 2? Q3062086 Q963032 Q210812,No
Robert Lewandowski is the captain of which national team? Q151269,Poland
What is the length of the Haiti track? Q526196,4:07
What is the name of Percy Jackson's mother? Q213167,Sally Jackson
Who original broadcaster Elite Tv  Series? Q53000974,Netflix
Who cast member main character Peaky Blinders Tv Series? Q14944179,Cillian Murphy
Has Kevin Alejandro played a role in the web series Gemini Division? Q1282510 Q5530649,Yes
Who was the lyricist of title song Maa Tujhe Salaam of Vande Mataram? Q12452104 Q6809256,Mehboob Kotwal
Another name of Chelsea F.C. was? Q9616,The Blues
What is the original title of the novel The Alchemist? Q179021,O Alquimista
How high did Waiting for a Star to Fall get on the US Hot 100 chart? Q679545,5
Who played the part of the character Aragorn in The Lord of the Rings? Q190214 Q180322,Viggo Mortensen
What is record label of Pink Floyd? Q2306,Tower Records
Which country did Gabriel Batistuta play football for? Q170376,Argentina
Who played the character of Frodo Baggins in The Lord of the Rings? Q190214 Q177329,Elijah Wood
Who wrote the standalone novel series ? Q537419,George Orwell
Which country does Johan Cruyff play football for? Q17163,Netherlands
Is Seth MacFarlane thhe voice of Steve Smith in American Dad!? Q210311 Q188492 Q2532395,No
Which actress plays Veronica Vaughn in Billy Madison? Q372299,Bridgette Wilson
Who wrote the To the Ends of the Earth Book series? Q4394863,William Golding
name of the movie that won the 93rd Oscar Award for the Best Picture? Q57246152 Q102427,Nomadland
What was the final album the Beatles produced? Q1299,Let it Be
What is the ranking of Kid A on Fact? Q220726 Q5428665,7
Who is the original broadcaster of the tv series ER? Q207375,NBC
Who does the voice of Stan Smith in American Dad!? Q210311 Q496280,Seth MacFarlane
Who major event Shakira? Q3311420 Q2697023 Q612233 Q34424,"The Sun Comes Out World Tour, Tour of the Mongoose, Tour Anfibio"
What is the name of Paul's father in the novel Dune? Q190192 Q939956,Leto I Atreides
What is the country of origin of the The Little Prince? Q25338,United States of America
Who played the role of Ramesh in Balak-Palak? Q12562251,Dhanashree Parab
What is the prequel to the movie Mad Max Beyond Thunderdome? Q426663,Mad Max 2
What is the name of the main character in the tv series Kakegurui? Q35085291,Yumeko Jabami
Which actor plays Robby Keene in Cobra Kai? Q48326845,Tanner Buchanan
What is the rating on Pitchfork? Q721140,10/10
Did the album The Smiths include the song Hand in Glove? Q974045 Q2705605,Yes
Who are the producers of the Coloratura song from the album Music of the Spheres? Q107636410 Q107597380,"M. Martin, Holter, Rahko"
Which Beethoven symphony was part of the soundtrack for The King's Speech? Q255 Q160060,Symphony No. 7
who is the president of Paris Saint-Germain F.C team? Q483020,Nasser Al-Khelaifi
Who voices Stan Smith in American Dad!? Q210311 Q496280,Seth MacFarlane
What is the Metacritic rating of the album Here We Go Again? Q940194 Q150248,65/100
Who was the shirt sponsor for FC Cincinnati soccer club? Q20855983,Mercy Health
what was the language of the  Emma book? Q223880,English
Who was the head coach of the Inter Miami soccer club? Q16844931,Phil Neville
Was the Quiet song in the album Here We Go Again? Q940194,Yes
Does Frederik Wiedmann the music of the film Beneath? Q97308 Q816808,Yes
"Shakira, what do you do for a living? Q177220 Q488205 Q34424","singer, actor, choreographer, painter"
Who is the top goal scorer of the football club Borussia Dortmund? Q41420,Alfred Preissler
"Who won the best cinematography award in British Academy Film Awards for""Blade Runner""? Q184843",Jordan Cronenweth
What is length of the song Dilruba from the album Kailasa? Q6347879,4:00
What was the 10th song on the album Piano Man? Q1646081,Captain Jack
Who is a part of Sergio Busquets sports team? Q17228 Q49704,"Spain national association football team, Catalonia national football team"
Who is the creator of the book series Diary of a Wimpy Kid? Q1339580,Jeff Kinney
What's the 6th song on the album Piano Man? Q1646081,Worse Comes to Worst
Who played the role of Srikant Tiwari in The Family Man? Q85807149,Manoj Bajpayee
Was Scott Grimes in ER? Q316231 Q207375,Yes
What country does the soccer player Johan Cruyff represent? Q17163,Netherlands
Who Composes the music in the tv series The Tunnel? Q15104549,Adrian Johnston
which place of publication The Grapes of Wrath book? Q215983,New York City
Who sang the song Asli Hip Hop from the album Gully Boy? Q107463522,Ranveer Singh
What is the length of the Catch Me song? Q940194,3:10
What was the fee of Luís Figo's transfer from Barcelona to Real Madrid? Q483145 Q7156 Q8682,€62 million
Who is the spouse of Rudyard Kipling? Q34743,Caroline Starr Balestier Kipling
Which movie won the Best Picture 93rd Academy Award? Q57246152 Q102427,Nomadland
Michael B. Jordan played a character name Wallace in which HBO crime-drama series? Q3308007 Q7962731,The Wire
Who awarded Ray Bradbury a special citation for his distinguished career? Q40640 Q7259350,Pulitzer Prize
what is the Titanic movie rank of AFI 100? Q44578,83
name of the football player who captains Borussia Dortmund currently? Q41420,Marco Reus
Who gave the music of the film 211? Q54924330,Frederik Wiedmann
What is the indigenous title of the novel The Alchemist? Q179021,O Alquimista
"Who won the best actor award in Empire Awards for the movie ""American Sniper""? Q16970789",Bradley Cooper
which period is Nike kit manufacturer sponsors Liverpool F.C.? Q1130849,2020
Were you aware that All of Us Are Dead distributed this album? Q96414952,Netflix
Who received the award golden globe in the tv series Big Little Lies ? Q19873404,Nicole Kidman
Who directs the tv series Barbarians? Q99591764,Barbara Eder
Who won the Oscar for Best Actor for the film The King's Speech? Q160060 Q103916,Colin Firth
Which country did Francesco Totti represent? Q20110,Italy
Did Rob Lowe win a Golden Raspberry Awards? Q296505 Q40237,Yes
What actress played Rose in Titanic? Q44578,Kate Winslet
Did the film The Godfather win any Academy Award? Q47703,Yes
Who was interested in the novel Emma? Q223880,Northanger Abbey
In which division did Daniel Farke manage Borussia Dortmund II? Q30015253 Q865720,Regionalliga West
What is the One Hundred Years of Solitude book's country of origin? Q178869,Argentina
What was the cost to make Titanic? Q44578,$200 million
what was author the book Brave New World? Q191949,Aldous Huxley
What is Entertainment Weekly rating of the album 30? Q108773286,A–
What is the box office collection of Boyhood movie? Q4103201,57.3 million USD
"Who played Fiona ""Fi"" Phillips in So Weird? Q1418559",Cara DeLizia
Was Cara DeLizia in Boston Public? Q434819 Q894582,Yes
What is Game of Thrones based on? Q45875,A Song of Ice and Fire
Did The Godfather movie win the Academy Award for best picture? Q47703,yes
What is Paolo Maldini's surname? Q483027,Maldini
What is Stadio Artemio Franchi's home team? Q270474,ACF Fiorentina
did James Camero direct Avatar? Q42574 Q24871,yes
Has the movie The Godfather won any Academy Award? Q47703,Yes
Is 365 days nominated for worst picture in Golden Raspberry Awards? Q85520182 Q40237,Yes
Which club was Neymar transferred to from the football club Barcelona? Q142794 Q7156,Paris Saint-Germain F.C.
Who played Steven Harper in Boston Public? Q894582,Chi McBride
What is the length of Karma Police song in Ok Computer? Q202996 Q1750699,4:25
Who played the character of Arya Iyer in Decoupled? Q110323803,R. Madhavan
Who played the Character of Barney Ross in the The Expendables series? Q3062086,Sylvester Stallone
Was Do You Wanna Ride? on Billboard's US Top R&B/Hip-Hop Album chart? Q5286394 Q2001897,Yes
In which city is Millennium Stadium located? Q204496,Cardiff
Did J. Michael Tatum play Kuroko in Kuroko's Basketball? Q6106552 Q482715,No
Which Tears for Fears member wrote the songs on The Hurting? Q269091 Q1779880,Roland Orzabal
Who played the part Carmen in the movie Spy Kids? Q2454758,Alexa Vega
"What actress played Fiona ""Fi"" Phillips in So Weird? Q1418559",Cara DeLizia
"Which country awarded the author Najib Mahfouz by ""Grand Cordon of the Order of the Nile""? Q1783222 Q7176",Egypt
Francesco Totti played for which country? Q20110,Italy
What is the budget of Boyhood movie? Q4103201,4 million USD
Which series had Hugh Bonneville as the The Earl of Grantham? Q155775,Downton Abbey
What movie did Rob Lowe win a Golden Raspberry Awards for? Q296505 Q40237,St. Elmo's Fire
Who played the role of the former boxer in the movie Real Steel? Q261759,Hugh Jackman
what is genre of the series the Sopranos? Q23628,crime serial
What is the name of the author who wrote A Tale of Two Cities? Q308918,Charles Dickens
What is Billie Eilish's medical condition? Q29564107 Q13258,"Tourette syndrome, synesthesia"
Who is their current manufacturer of of their uniform kits? https://en.wikipedia.org/wiki/Real_Madrid_CF#Colours Q8682,Adidas
What is the Metacritic rating of the music album 30? Q108773286,88/100
Was J. Michael Tatum a VA in Kuroko's Basketball? Q6106552 Q482715,Yes
Who is the film composer for Troy? Q186587,James Horner
Where did Kylie Minogue's Fever album peak on the US chart? Q156710,3
What is the name of the actor who won the Academy Award for Best Actor for his performance in The King's Speech? Q160060 Q103916,Colin Firth
Who wrote A Tale of Two Cities? Q308918,Charles Dickens
What is the length of Airbag song? Q202996,4:44
"What actor played Robert Crawley, 7th Earl of Grantham in the TV series Downton Abbey? Q6382340 Q83071",Hugh Bonneville
Which shows besides The 100 won the Saturn Award for Best Youth-Oriented Television Series? Q13098946 Q15844072,Teen Wolf
"What book is the basis for the series, Game of Thrones? Q45875",A Song of Ice and Fire
What album was the Blue Oyster Cult song Godzilla on? Q331016 Q5577027,Spectres
what is main subject of the book Great Expectations? Q219552,orphan
Was Joel Schumacher the director of The Phantom of the Opera?? Q295207 Q276407,Yes
What is the basis for the book unexpected journey? Q80379,The Hobbit
Who played bass guitar for the band Graduate? Q3774163,Curt Smith
Who is filming the Troy movie in which location? Q186587 Q233,Mexico. Malta
Where was Hawaii Five-O filmed? https://en.wikipedia.org/wiki/Hawaii_Five-0_(2010_TV_series) Q728443,"Oahu, Hawaii"
What actor played Michael Corleone in The Godfather series? Q47703 Q835154,Al Pacino
What is the name of the Belgian club where Włodzimierz Lubański was a member? Q313446,K.S.C. Lokeren Oost-Vlaanderen
what was the genre of the series The Sopranos? Q23628,crime serial
Who played the part Juni Cortez in the movie Spy Kids? Q2454758,Daryl Sabara
What was the subtitle of the book Jane Eyre? Q182961,An Autobiography
Which grammy award did Diano Ross get? Q36290 Q41254,Grammy Lifetime Achievement Award
Ho many international game did Beckham played for England? Q10520 Q21,14
Who played the role of the former boxer Charlie's son in the movie Real steel? Q129591 Q261759,Dakota Goyo
Which is the final movie of the The Terminator series? Q620588,Terminator: Dark Fate
What actor plays Lady Mary in the TV series Downton Actor? Q6382340,Michelle Dockery
What book was the final one in the Little Women series? Q523076,Jo's Boys
"Which actress played the lead role in the TV series, Buffy the Vampire Slayer? Q183513",Sarah Michelle Gellar
what is tittle of the book The Brothers Karamazov? Q183157,Братья Карамазовы
Hugh Bonneville appeared as the The Earl of Grantham in what TV show? Q155775,Downton Abbey
"Does the star of Mission: Impossible III, Tom Cruise, have any television work experience? Q37079 Q3467556",Yes
What was the name of Cara Gee's character on The Expanse? Q18389644,Camina Drummer
Who owns the club Paris Saint-Germain F.C.? Q483020,Tamim bin Hamad Al Thani
What is the length of the burnout song of the album Dookie? Q211292,2:07
What is the pitchfork rating of album Dookie? Q211292,8.7/10
