question,answer,gold evidence type
"Among Australian Football League clubs that have won more than 5 senior premierships, sort them by the number of premierships from highest to lowest. What is the number of premierships won by the team ranked fourth?",11,"{""table"": 3, ""text"": 3}"
Sort the game durations from shortest to longest for games played by the St. Louis Cardinals in playoff series they won with an end date of 1985 or later. What is the duration in minutes of the fourth shortest game?,174,"{""table"": 3, ""text"": 2, ""infobox"": 1}"
"What was the duration in minutes of the sixteenth longest game played between the Philadelphia Phillies and Los Angeles Dodgers in the National League Championship Series across the years 1977, 1978, 2008, and 2009?",138,"{""table"": 4}"
"What is the total number of games featuring the St. Louis Cardinals played at Busch Stadium or Busch Stadium (II) across the 1982, 2006, 2011, and 2013 National League Championship Series and the 2011 World Series?",15,"{""table"": 5, ""text"": 5}"
"Among the Collingwood, Richmond, and Sydney Swans VFL/AFL teams, sort them by their total number of Grand Final appearances from highest to lowest. What is the number of appearances for the team that ranks second?",13,"{""table"": 3}"
Sort the Formula One seasons where Lewis Hamilton and Mercedes both won championships since 2015 by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,20,"{""text"": 6, ""table"": 2}"
"What was the highest attendance recorded for any game played between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series during the 1977, 1978, 2008, and 2009 seasons?",64924,"{""table"": 4, ""text"": 4}"
"Sort the Boston Red Sox championship series wins by the total attendance of all games played in the series, from highest to lowest. What was the total attendance for the series ranked second in this sorted list?",238979,"{""infobox"": 3, ""table"": 3}"
"Among Kamilla Rytter Juhl, Zhao Yunlei, Christinna Pedersen, Tian Qing, Yu Yang, Wang Xiaoli, and Eom Hye-won, what is the greatest number of BWF Superseries runner-up finishes any of them had in the year 2013?",5,"{""table"": 8, ""infobox"": 7}"
"Sort Lewis Hamilton's pole position qualifying times from the 2015 and 2016 Canadian Grands Prix from fastest to slowest. What was the Q3 time of the second race in this sorted list, expressed in milliseconds?",74393,"{""table"": 2}"
Sort the years for which Canadian Grand Prix qualifying tables featuring Lewis Hamilton are provided by his Q3 qualifying time from fastest to slowest. What is the year of the second race in this sorted list?,2015,"{""table"": 2}"
"What was the duration in minutes of the third longest game between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series during the years 1977, 1978, 2008, and 2009?",220,"{""table"": 4}"
"Sort the attendance figures for all games played by the Boston Red Sox in the 2018 World Series, 2013 ALCS, and 1975 ALCS from lowest to highest. What is the attendance of the fifth game in this sorted list?",38454,"{""table"": 3, ""text"": 3}"
Sort the durations of the games played in the Boston Red Sox championship series wins up to and including 2018 from shortest to longest. What is the duration in minutes of the third game in this sorted list?,160,"{""table"": 3, ""infobox"": 3}"
"Rank Collingwood, Richmond, Essendon, St Kilda, and Port Adelaide based on the number of senior premierships they have won from most to least. What is the premiership count of the third club in this ranking?",13,"{""table"": 2, ""text"": 4}"
Sort the snooker players who participated in the 2002 Masters by their ranking at the start of the 2001/02 season from lowest to highest. What was the rank of the player who ranks fifth in this sorted list?,14,"{""table"": 7}"
"How many baseball games involving the Boston Red Sox were played at Fenway Park across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",7,"{""table"": 3}"
Sort the Formula One seasons where Lewis Hamilton and Mercedes both won the championship by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,20,"{""text"": 5, ""table"": 2}"
"What was the greatest game duration in minutes for a Boston Red Sox game played during the 2018 World Series, the 2013 American League Championship Series, or the 1975 American League Championship Series?",440,"{""table"": 3}"
What is the greatest number of wooden spoons achieved by either the Richmond Football Club or the Collingwood Football Club in the senior Australian Football League/Victorian Football League competition?,7,"{""table"": 2}"
Sort the years Lewis Hamilton and Mercedes both won the Formula One world championship by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,20,"{""text"": 6, ""table"": 2}"
"Sort the attendance numbers for all games in the 1975, 2013, and 2018 championship series involving the Boston Red Sox from lowest to highest. What is the second highest attendance in this sorted list?",54367,"{""table"": 3, ""text"": 3}"
Sort the average qualifying positions from lowest to highest for drivers who participated in both the 2015 and 2016 Canadian Grand Prix qualifying sessions. What is the fifth value in this sorted list?,6.5,"{""table"": 2}"
"What was the highest attendance for a single game in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies across the 1977, 1978, 2008, and 2009 seasons?",64924,"{""table"": 4}"
How many of the teams with Victorian Football League or Australian Football League Grand Finalist history listed in the provided tables also participated in a Grand Final won by Fitzroy Football Club?,1,"{""table"": 3, ""text"": 2}"
How many more games were played in the 2006 National League Championship Series won by the St. Louis Cardinals compared to the 2013 National League Championship Series won by the St. Louis Cardinals?,1,"{""text"": 3, ""table"": 2, ""infobox"": 1}"
Sort the games played between the Pittsburgh Pirates and Cincinnati Reds after 1972 by their duration from shortest to longest. What was the duration in minutes of the third game in this sorted list?,171,"{""table"": 2, ""text"": 4}"
What is the difference in the number of senior premierships won by the Collingwood Football Club compared to the Richmond Football Club in the Australian Football League or Victorian Football League?,3,"{""table"": 2, ""text"": 3}"
Consider games from the 2013 American League Championship Series and the 2018 World Series. Sort the attendance of all these games from highest to lowest. What is the third value in the sorted list?,53114,"{""table"": 2, ""text"": 2}"
What is the difference in attendance between the highest-attended game of the 2006 National League Championship Series and the lowest-attended game of the 2011 National League Championship Series?,12773,"{""table"": 2}"
What was the highest attendance figure recorded for any game played between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series from 1977 through 2009?,64924,"{""table"": 4, ""text"": 4}"
Sort the Formula One seasons where Michael Schumacher won the Drivers' Championship by the number of races from fewest to most. What is the number of races in the third season in this sorted list?,17,"{""table"": 2, ""text"": 7}"
"How many games involving the Boston Red Sox took place at Fenway Park across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series?",7,"{""table"": 3}"
"What was the highest attendance figure for any game won by the St. Louis Cardinals in the 2006 National League Championship Series, 2011 World Series, or 2013 National League Championship Series?",56357,"{""table"": 3, ""text"": 3}"
Sort Michael Schumacher's Formula One championship seasons from 2002 and 2003 by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,17,"{""text"": 2, ""table"": 2}"
Sort the Formula One seasons where Michael Schumacher was the Drivers' Champion by the number of races from lowest to highest. What is the number of races in the last season in this sorted list?,18,"{""text"": 7, ""table"": 2}"
"What was the highest attendance recorded for a game involving the Boston Red Sox in the 2018 World Series, 2013 American League Championship Series, or 1975 American League Championship Series?",54400,"{""table"": 3}"
What was the difference in milliseconds between Lewis Hamilton's fastest qualifying lap time at the 2015 Canadian Grand Prix and his fastest qualifying lap time at the 2016 Canadian Grand Prix?,1581,"{""table"": 2, ""text"": 2}"
Sort the players who participated in the 2002 Masters snooker competition by their birth year from youngest to oldest. What is the birth year of the player who ranks fourth in this sorted list?,1974,"{""table"": 8, ""text"": 6, ""infobox"": 2}"
"What was the highest attendance for any single game played by the Boston Red Sox in the 1975 American League Championship Series, 2013 American League Championship Series, or 2018 World Series?",54400,"{""table"": 3}"
"How many games were played at Dodger Stadium during the National League Championship Series matchups between the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009?",9,"{""table"": 4, ""text"": 4}"
Sort the games played between the Los Angeles Dodgers and the Philadelphia Phillies by duration from shortest to longest. What is the duration in minutes of the third game in this sorted list?,138,"{""table"": 4, ""text"": 4}"
What is the highest number of Grand Final appearances in the Victorian Football League/Australian Football League achieved by either the Collingwood Football Club or the Fitzroy Football Club?,27,"{""table"": 2}"
"How many games played by the Boston Red Sox in the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series took place at Fenway Park?",7,"{""table"": 3}"
"What was the shortest duration in minutes for a game played between the Los Angeles Dodgers and the Philadelphia Phillies in the 1977, 1978, 2008, or 2009 National League Championship Series?",126,"{""table"": 4}"
"How many games were played at Dodger Stadium during the 1977, 1978, 2008, and 2009 National League Championship Series contests between the Los Angeles Dodgers and the Philadelphia Phillies?",9,"{""table"": 4}"
Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from lowest to highest. What is the number of races in the third season in the sorted list?,20,"{""text"": 5, ""table"": 2}"
"Among the Formula One seasons after 2015 where Lewis Hamilton was champion, sort them by the number of races from fewest to most. What is the number of races in the season that ranks first?",20,"{""text"": 4, ""table"": 2}"
Sort Lewis Hamilton's Formula One championship seasons from 2015 onwards by the number of races from highest to lowest. What is the number of races in the second season in this sorted list?,21,"{""text"": 6, ""table"": 2}"
What is the highest number of Grand Final appearances made by either the Richmond Football Club or the Collingwood Football Club in the Victorian Football League/Australian Football League?,27,"{""table"": 2}"
"How many games played in the 1977, 1978, 2008, and 2009 National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies had an attendance exceeding 50,000?",13,"{""table"": 4, ""text"": 4}"
Sort the Formula One seasons when Michael Schumacher was Drivers' Champion by the number of races from lowest to highest. What is the number of races in the third season in the sorted list?,17,"{""text"": 7, ""table"": 2}"
"Sorting all the games played between the LA Dodgers and the Philadelphia Phillies by duration from shortest to longest, what is the duration in minutes of the third game in the sorted list?",138,"{""table"": 4}"
Sort the total attendance for the St. Louis Cardinals playoff series by the total attendance from lowest to highest. What is the total attendance for the second series in this sorted list?,267570,"{""table"": 5}"
"What is the total number of games played by the Boston Red Sox across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series?",14,"{""table"": 3}"
"What was the total attendance for games played at Fenway Park during the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",263316,"{""table"": 3}"
Consider the durations in years of the roles listed for John Eldon Gorst and James Bryce. Sort all these durations from longest to shortest. What is the fifth duration in the sorted list?,7,"{""table"": 2, ""text"": 2}"
"What was the third lowest attendance for a game played between the Los Angeles Dodgers and the Philadelphia Phillies in the 1977, 1978, 2008, and 2009 National League Championship Series?",45883,"{""table"": 4, ""text"": 4}"
"Sort Lewis Hamilton's Q3 qualifying times at the Canadian Grand Prix in 2015 and 2016 from fastest to slowest, represented in milliseconds. What is the second value in this sorted list?",74393,"{""table"": 2}"
Sort the attendance figures for all games in the 1975 and 2013 American League Championship Series and the 2018 World Series from lowest to highest. What is the third lowest attendance?,38029,"{""table"": 3}"
Sort the championship seasons won by both Lewis Hamilton and Mercedes by the number of races from highest to lowest. What is the number of races in the third season in this sorted list?,20,"{""text"": 6, ""table"": 2}"
How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies across the years for which game details are provided?,18,"{""table"": 4, ""text"": 4}"
"How many games were contested between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series across the years 1977, 1978, 1983, 2008, and 2009?",22,"{""table"": 4, ""text"": 1}"
What is the lowest number of Grand Final appearances for the senior team of either the Richmond or Collingwood football club in the Victorian Football League/Australian Football League?,11,"{""table"": 4}"
"What is the sum of the number of drivers who completed all rounds in the 2002 championship season, excluding the champion, and the number of practice drivers listed for the 2003 season?",24,"{""text"": 1, ""table"": 2}"
Sort the Lewis Hamilton Formula One championship seasons after 2015 by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,21,"{""text"": 5, ""table"": 2}"
"How many VFL/AFL Senior Grand Finals has Collingwood appeared in since Essendon defeated them in 1911, added to the total number of VFL/AFL Senior Grand Finals Fitzroy has appeared in?",29,"{""table"": 2, ""text"": 5}"
"What is the total number of games played in the National League Championship Series featuring both the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009?",18,"{""table"": 4}"
"When sorting the Formula One seasons where Michael Schumacher was the Drivers' Champion by the number of races from lowest to highest, what is the number of races in the third season?",17,"{""text"": 7, ""table"": 2}"
Sort the years Lewis Hamilton and Mercedes both won the championship by the number of races from lowest to highest. What is the number of races in the third year in this sorted list?,20,"{""text"": 8, ""table"": 2}"
Sort the total attendance of the St. Louis Cardinals playoff series from lowest to highest based on available game data. What is the total attendance of the series that ranks third?,301577,"{""table"": 5}"
Sort Lewis Hamilton's Q3 qualifying times for the 2015 and 2016 Canadian Grands Prix from slowest to fastest. What is the Q3 time in seconds for the second time in this sorted list?,72.812,"{""table"": 2}"
Sort the competitors in the 2011 Extreme Sailing Series by their overall points from highest to lowest. What was the overall points total for the team that finished in third place?,60,"{""table"": 1, ""infobox"": 1}"
What is the highest number of senior Victorian Football League/Australian Football League Grand Finals reached by either the Fitzroy Football Club or the Collingwood Football Club?,27,"{""table"": 2, ""text"": 2}"
"When sorting the listed St. Louis Cardinals playoff series by average attendance per game from lowest to highest, how many games were played in the third series in the sorted list?",7,"{""table"": 5}"
Sort the years Michael Schumacher won the Drivers' Championship by the number of races from lowest to highest. What is the number of races in the third season in this sorted list?,17,"{""text"": 7, ""table"": 2}"
"Sort the number of VFL/AFL Grand Final appearances for Fitzroy, Carlton, Melbourne, Essendon, and Collingwood from lowest to highest. What is the third number in this sorted list?",10,"{""table"": 2, ""text"": 26}"
What is the total number of races across all the Formula One World Championship seasons where Lewis Hamilton was the Drivers' Champion and Mercedes was the Constructors' Champion?,100,"{""text"": 8, ""table"": 2}"
Sort all games played between the Los Angeles Dodgers and Philadelphia Phillies by attendance from highest to lowest. What is the attendance of the third game in this sorted list?,63460,"{""table"": 4}"
"Sort Richmond, Collingwood, and Port Adelaide by their number of Championship of Australia wins from highest to lowest. What is the number of wins for the club that ranks second?",3,"{""table"": 2, ""text"": 1}"
How many constructors listed as having practice drivers in the 2003 Formula One World Championship also had main drivers participating in the 2002 Formula One World Championship?,3,"{""table"": 2}"
"What is the smallest number of runner-up finishes in BWF Superseries tournaments among Kamilla Rytter Juhl, Zhao Yunlei, Christinna Pedersen, Tian Qing, Yu Yang, and Wang Xiaoli?",7,"{""table"": 9, ""text"": 2}"
"How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies across the 1977, 1978, 2008, and 2009 seasons?",18,"{""table"": 4}"
"What is the total number of games played between the Los Angeles Dodgers and the Philadelphia Phillies across the 1977, 1978, 2008, and 2009 National League Championship Series?",18,"{""table"": 4}"
Sort the Formula One seasons where Lewis Hamilton was the Drivers' Champion by the number of races from highest to lowest. What is the third number of races in this sorted list?,20,"{""text"": 8, ""table"": 2}"
"What was the highest attendance recorded for a St. Louis Cardinals game played during the 1982, 2006, 2011, or 2013 National League Championship Series or the 2011 World Series?",56357,"{""table"": 5, ""text"": 5}"
What was the highest attendance recorded for any single game played during the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies?,64924,"{""table"": 4}"
"What was the total number of games played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009?",18,"{""table"": 4}"
"Sort the senior premiership wins for Richmond, Collingwood, and the Sydney Swans from highest to lowest. What is the number of wins for the team that ranks second in this list?",15,"{""table"": 3}"
"What was the highest attendance for any game played during the 1975 American League Championship Series, the 2013 American League Championship Series, or the 2018 World Series?",54400,"{""table"": 3, ""infobox"": 6}"
"What is the total number of games played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies in 1977, 1978, 2008, and 2009?",18,"{""table"": 4}"
Sort the Boston Red Sox post-season series wins by the number of games played from fewest to most. What is the number of games played in the second series in this sorted list?,5,"{""table"": 3, ""infobox"": 3}"
"What is the longest duration, in minutes, of a game played between the Los Angeles Dodgers and Philadelphia Phillies in a National League Championship Series from 1978 onward?",242,"{""table"": 3, ""text"": 3}"
Sort the attendance figures for each game of the 2013 American League Championship Series from lowest to highest. What is the attendance of the third game in this sorted list?,38823,"{""table"": 2, ""infobox"": 1}"
Sort the players who won a medal at the 2013 BWF World Championships by height from tallest to shortest. What is the height in meters of the second player in this sorted list?,1.78,"{""table"": 2, ""text"": 3, ""infobox"": 7}"
"What was the longest game duration in minutes for a St. Louis Cardinals game in the 1982, 2006, 2011 (NLCS), 2011 (World Series), or 2013 National League Championship Series?",287,"{""table"": 5}"
What is the total number of games played in the National League Championship Series and World Series that the St. Louis Cardinals won for which game summaries are available?,29,"{""text"": 5, ""table"": 5, ""infobox"": 1}"
"How many games were played in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies for the years 1977, 1978, 2008, and 2009?",18,"{""table"": 4, ""text"": 4}"
"Among the 2008, 2015, 2017, 2018, and 2019 Formula One seasons, sort the number of races in the seasons Lewis Hamilton won from highest to lowest. What is the third number?",20,"{""text"": 8, ""table"": 2}"
Sort the Lewis Hamilton championship seasons after 2015 by the number of races from lowest to highest. What is the number of races in the second season in this sorted list?,21,"{""text"": 4, ""table"": 2}"
What is the difference between the number of main drivers listed for the 2002 Formula One season and the number of practice drivers listed for the 2003 Formula One season?,16,"{""table"": 2, ""text"": 2}"
"What was the highest attendance figure for any game played in the 2018 World Series, 2013 American League Championship Series, or 1975 American League Championship Series?",54400,"{""table"": 3, ""text"": 3}"
What is the difference in the number of years between the first and last VFL/AFL senior premiership won by Collingwood and the span for Richmond's AFL senior premierships?,21,"{""table"": 2}"
"How many games were played by the Boston Red Sox in the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",14,"{""table"": 3}"
What was the highest attendance for a game played between the Pittsburgh Pirates and the Cincinnati Reds in the National League Championship Series between 1970 and 1979?,55006,"{""table"": 4, ""text"": 4}"
What was the longest game duration in minutes for any game played by the Boston Red Sox in the 1975 or 2013 American League Championship Series or the 2018 World Series?,440,"{""table"": 3}"
How many more games were played in the 2013 American League Championship Series won by the Boston Red Sox compared to their 1975 American League Championship Series win?,3,"{""table"": 2, ""text"": 2}"
How many games played between the Los Angeles Dodgers and the Philadelphia Phillies in the National League Championship Series had a combined score of more than 10 runs?,9,"{""table"": 4, ""text"": 4}"
What is the total number of times the Richmond and Collingwood senior football clubs were Grand Finalists in the Victorian Football League or Australian Football League?,38,"{""table"": 2}"
"How many games did the Boston Red Sox play across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",14,"{""table"": 3}"
How many games between the Los Angeles Dodgers and the Philadelphia Phillies were played at Dodger Stadium in the National League Championship Series from 1977 to 2009?,9,"{""table"": 4}"
What was the duration in minutes of the tenth shortest game played between the Los Angeles Dodgers and Philadelphia Phillies in the National League Championship Series?,179,"{""table"": 4}"
"How many games were played at Fenway Park across the 2018 World Series, the 2013 American League Championship Series, and the 1975 American League Championship Series?",7,"{""table"": 3}"
"Sort the badminton players by the number of tournaments listed for them in 2013, from highest to lowest. What is the number of tournaments for the player ranked third?",5,"{""table"": 9}"
"How many games were played at Fenway Park across the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",7,"{""table"": 3}"
What was the highest attendance recorded for a game played between the Los Angeles Dodgers and the Philadelphia Phillies during a National League Championship Series?,64924,"{""table"": 4}"
What was the highest attendance number recorded for any game in the National League Championship Series between the Los Angeles Dodgers and the Philadelphia Phillies?,64924,"{""table"": 4}"
What was the greatest attendance at any single game during a National League Championship Series featuring both the Los Angeles Dodgers and the Philadelphia Phillies?,64924,"{""table"": 4}"
Sort the Formula One seasons won by Lewis Hamilton by the number of races from lowest to highest. What is the number of races in the third season in this sorted list?,20,"{""text"": 8, ""table"": 2}"
"How many games did the St. Louis Cardinals play at Busch Stadium across the 1982, 2006, 2011, and 2013 National League Championship Series, and the 2011 World Series?",15,"{""table"": 5}"
How many total games were played across the National League Championship Series competitions that featured both the Los Angeles Dodgers and the Philadelphia Phillies?,18,"{""table"": 4, ""text"": 4}"
"What is the combined number of games played in the 1975 American League Championship Series, the 2013 American League Championship Series, and the 2018 World Series?",14,"{""table"": 3}"
"Among teams that participated in the competition where Fitzroy won the 1944 Grand Final, what is the second highest number of senior premierships won in the VFL/AFL?",13,"{""text"": 3, ""table"": 4}"
What is the greatest number of races held in a Formula One season where Lewis Hamilton won the Drivers' Championship and Mercedes won the Constructors' Championship?,21,"{""text"": 6, ""table"": 2}"
What was the highest attendance figure for any single game played between the Los Angeles Dodgers and Philadelphia Phillies in a National League Championship Series?,64924,"{""table"": 4}"
"What is the difference between the total number of premierships won by St Kilda, Essendon, and Richmond combined, and the number of premierships won by Collingwood?",11,"{""text"": 3, ""table"": 2}"
What is the difference between the greatest and least number of races in a Formula One World Championship season won by both Lewis Hamilton and Mercedes after 2015?,2,"{""text"": 6, ""table"": 2}"
