question_text,answer_list
What are the existring aircraft carriers ?,[[Soviet aircraft carrier Admiral Gorshkov|Admiral Flota Sovetskogo Soyuza Gorshkov]] | [[Japanese aircraft carrier Akagi|Akagi]] | [[Japanese aircraft carrier Amagi|Amagi]] | [[Italian aircraft carrier Aquila|Aquila]] | [[Soviet aircraft carrier Admiral Gorshkov|Baku]] | [[HTMS Chakri Naruebet|Chakri Naruebet]] | [[Japanese aircraft carrier Chitose|Chitose]] | [[Japanese aircraft carrier Chiyoda|Chiyoda]] | [[Japanese aircraft carrier Chūyō|Chuyo]] | [[Spanish aircraft carrier Dédalo|Dédalo]] | [[Italian aircraft carrier Sparviero|Falco]] | [[German aircraft carrier Graf Zeppelin|Graf Zeppelin]] | [[Japanese aircraft carrier Hiryū|Hiryū]] | [[Japanese aircraft carrier Hiyō|Hiyō]] | [[Japanese aircraft carrier Hōshō|Hōshō]] | [[Japanese cruiser Ibuki (1943)|Ibuki]] | Izumo | [[French aircraft carrier Joffre|Joffre]] | [[Japanese aircraft carrier Kaga|Kaga]] | Kaga | [[Japanese aircraft carrier Katsuragi|Katsuragi]] | [[Soviet aircraft carrier Kiev|Kiev]] | [[Soviet aircraft carrier Ulyanovsk|Kremlin]] | [[Chinese aircraft carrier Liaoning|Liaoning]] | [[Brazilian aircraft carrier Minas Gerais|Minas Gerais]] | [[Soviet aircraft carrier Minsk|Minsk]] | [[Soviet aircraft carrier Novorossiysk|Novorossiysk]] | Richelieu (PA2) | [[Japanese aircraft carrier Ryūhō|Ryūhō]] | [[Japanese aircraft carrier Ryūjō|Ryūjō]] | [[Chinese aircraft carrier Shandong|Shandong]] | [[Japanese aircraft carrier Shinano|Shinano]] | [[Japanese aircraft carrier Shōhō|Shōhō]] | [[Japanese aircraft carrier Shōkaku|Shōkaku]] | [[Japanese aircraft carrier Sōryū|Sōryū]] | [[Italian aircraft carrier Sparviero|Sparviero]] | [[Japanese aircraft carrier Taihō|Taihō]] | [[Japanese aircraft carrier Taiyō|Taiyō]] | [[Type 003 aircraft carrier|Type 003]] | [[Type 004 aircraft carrier|Type 004]] | [[Japanese aircraft carrier Unryū|Unryū]] | [[ARA Veinticinco de Mayo (V-2)|Veinticinco de Mayo]] | [[German cruiser Seydlitz|Weser]] | [[Japanese aircraft carrier Zuihō|Zuihō]] | [[Japanese aircraft carrier Zuikaku|Zuikaku]]
What are the dams with a fill structure larger than 27.4 millions of metric cubes ?,Tarbela Dam | Fort Peck Dam http://`www.nwd-mr.usace.army.mil/rcc/projdata/summaryengdat.pdf | Atatürk Dam | Oahe Dam | Mangla Dam | Gardiner Dam | Oroville Dam | San Luis Dam (BF Sisk Dam) | Nurek Dam | Garrison Dam | Aswan Dam | San Roque Dam | Fort Randall Dam | Guri Dam
What are the promotion names of women wrestling promotions ?,Shimmer Women Athletes | Shine Wrestling | Women of Wrestling | Women Superstars United | ChickFight | Gorgeous Ladies of Wrestling | Ladies Major League Wrestling | Ladies Professional Wrestling Association | [[Naked Womens Wrestling League]] | Powerful Women of Wrestling | Rise Wrestling | [[World Womens Wrestling]] | Wrestlicious
Which team has a goalkeeper that scored a goal ?,Porto | New York Red Bulls | Torquay United | Motherwell | Watford
Who was a nuclear whistleblower ?,Karen Silkwood | Mordechai Vanunu | Arnold Gundersen | George Galatis | Rainer Moormann
What are the lighthouses with a height of at least 26 meters ?,Jeddah Light | Yokohama Marine Tower | Palacio Barolo | Lighthouse of Genoa | Phare de Gatteville | Lesnoy Mole Rear Range Light | Mulantou Lighthouse | Baishamen Lighthouse | Punta Penna Lighthouse | Osinovetsky Light | Storozhenskiy Light | Vittoria Light | Recalada a Bahía Blanca Light | Maasvlakte Light | Planier Light | Campen Lighthouse | [[Phare dEckmühl]] | Świnoujście Lighthouse | Adziogol Lighthouse | Bari Light | Lighthouse of Praia da Barra | Calcanhar Lighthouse | Roches-Douvres Light | Nosy Alañaña Light
What are the commercially available software defined radios ?,Elecraft KX3 | USRP B200 | USRP B210 | USRP N200 | USRP N210 | USRP X300 | USRP X310
Which game is an alternate reality game ?,[[Ongs Hat]] | [[Majestic (video game)|Majestic]] | [[The Beast (game)|The Beast]] | ReGenesis Extended Reality | I Love Bees | Perplex City | Nowheremen | The Lost Ring | Commander Video | Superstruct | This Is My Milwaukee | [[Xi (alternate reality game)|Xi]] | Picture the Impossible | Potato Sack | Frog Fractions 2 | Cipher Hunt | Oxenfree | [[Sombra (Overwatch)|Sombra]] | [[Waking Titan (ARG)|Waking Titan]]
Who were Winnipeg Jets (1972–1996)/Arizona Coyotes general managers ?,Annis Stukus | Rudy Pilous | Mike Smith | John Paddock | Bobby Smith | Cliff Fletcher | Mike Barnett | Don Maloney | John Chayka | Steve Sullivan | Bill Armstrong
What typhoons were of the type super typhoons ?,Olive | Emma | Nancy | Violet | Dot | Megi | Songda | Muifa | Nalgae | Guchol | Jelawat | Bopha | Utor | Usagi | Francisco | Lekima | Haiyan | Neoguri | Rammasun | Halong | Genevieve | Phanfone | Vongfong | Nuri | Hagupit | Maysak | Noul | Dolphin | Nangka | Soudelor | Dujuan | Koppu | Meranti | Chaba | Haima | Nock-ten | Noru | Lan | Maria | Jebi | Mangkhut | Trami | Kong-rey | Yutu | Wutip | Hagibis
What countries are island countries ?,"The northern part of the island of Cyprus is the de facto independent state of Northern Cyprus, which is recognized only by Turkey. In the south of the island are the Sovereign Base Areas of Akrotiri and Dhekelia, controlled by the United Kingdom. | In 1983, Northern Cyprus declared independence from Cyprus. Northern Cyprus sovereignty has been recognized by only one United Nations member state (Turkey). It is not a member state of the United Nations. Most states recognize Cyprus claim to sovereignty over Northern Cyprus. | Since the conclusion of the Chinese Civil War, the Republic of China (ROC) retains actual rule over the islands of Taiwan, Penghu, Kinmen, the Matsu, and other minor islands, all of which are collectively known as ""Free Area"" or Taiwan Area in contrast to Mainland China being under communist rule, thus making it a de facto island nation, and has become known colloquially as simply ""Taiwan"" due to the island of Taiwan forming the majority of the ROC-controlled territories; nonetheless, the ROC has not officially renounced its constitutional-defined territories which include areas effectively controlled by the [[China|Peoples Republic of China]], Mongolia, Tuva (a Russian republic) etc. If claimed territories were taken into account, the ROC would not be a borderless country, nor a country centred around a major island. The ROC-controlled territories are also claimed by the Peoples Republic of China. See: Political status of Taiwan, Two Chinas, One-China policy, and Cross-strait relations. | Martinique | Administered by Norway under the Svalbard Treaty."
What are the structure with a height larger than 600 m ?,"Burj Khalifa | Petronius Platform | Tokyo Skytree | Shanghai Tower | KVLY-TV mast | KRDK-TV mast | KXTV/KOVR tower | KATV tower | WECT tower | Diversified Communications Tower | Winnie Cumulus Broadcasting Tower | Hoyt Radio Tower | Baldpate Platform | Lotte World Tower | One World Trade Center | Tianjin CTF Finance Centre | World Trade Center, Tower 1 | Taipei 101 | Merdeka 118 | Jeddah Tower | Sky City | Burj Al Alam"
Which weapons are of the type rocket launchers ?,Bazooka | C90-CR (M3) | FHJ-84 | LRAC F1 | M72 LAW | Nexter WASP 58 Light Anti-Armour Weapon | Panzerfaust 3 | Panzerschreck | PF-89 | PF-98 | Type 70 | VE-NILANGAL
Who lead a lost expedition ?,"Cambyses II | John Cabot | Gaspar Corte-Real | Miguel Corte-Real | James Knight | Jean-François de Galaup, comte de Lapérouse | Robert Falcon Scott | Percy Fawcett"
Which weapons are of the type anti-materiel rifles ?,Steyr IWS 2000 | Steyr HS .50 | Istiglal | AMR-2 | Zijiang M99 | RT-20 | Vidhwansak | Pindad SPR-2 and SPR-3 | Shaher | Tor | KSVK | SV-18 | Zastava M93 Black Arrow | Denel NTW-20 | Snipex Alligator | Accuracy International AW50 | Accuracy International AS50 | Accuracy International AX50 | Barrett M82A1/M107 | Barrett M99 | Barrett XM109 | Barrett XM500 | Anzio 20mm rifle | Desert Tech HTI
What are the suspension bridges (built or planned) with a length larger than 600 meters ?,Yangsigang Yangtze River Bridge | Xihoumen Bridge | Osman Gazi Bridge | Yi Sun-sin Bridge | Humber Bridge | Yavuz Sultan Selim Bridge | Tsing Ma Bridge | Hardanger Bridge | Verrazzano-Narrows Bridge | Golden Gate Bridge | Höga Kusten Bridge | Hongjun Chishuihe Bridge | Longjiang River Bridge | Aizhai Bridge | Mackinac Bridge | Hålogaland Bridge | Qingshui River Bridge | Huangpu Bridge | Xingkang Bridge | Wufengshan Yangtze River Bridge | Fatih Sultan Mehmet Bridge | Bosphorus Bridge | George Washington Bridge | 25 de Abril Bridge | Forth Road Bridge | Humen Pearl River Bridge | Third Tacoma Narrows Bridge (eastbound) | Askøy Bridge | Nanxi Bridge | Akinada Bridge | San Francisco–Oakland Bay Bridge (east half of west span) | San Francisco–Oakland Bay Bridge (west half of west span) | Bronx–Whitestone Bridge | Maputo–Katembe bridge | Pierre Laporte Bridge | Delaware Memorial Bridge (northbound) | Gjemnessund Bridge | [[Egongyan Rail Transit Bridge|Egongyan Rail Transit Bridge]] | Çanakkale 1915 Bridge | Brăila Bridge | Strait of Messina Bridge | Sunda Strait Bridge
What are the professional wrestling memorial shows since 1980?,"Mike Marino Memorial Shield | Von Erich Memorial Parade of Champions | Eddie Graham Memorial Show | Bruiser Brody Memorial Show | [[Starrcade (1990)|Pat OConnor Memorial International Cup Tag Team Tournament]] | Ilio DiPaolo Memorial Show | Eddie Gilbert Memorial Brawl | Eddie Gilbert Memorial Show | Plum Mariko Memorial Show | Brian Pillman Memorial Show | Curtis Comes Home | Gary Albright Memorial Show | Mark Curtis Memorial Weekend of Champions | Giant Baba Memorial Spectacular | Terry Gordy Memorial Show | Yokozuna Memorial Show | Giant Baba Memorial Six Man Tag Team Tournament | Big Dick Dudley Memorial Show | Jeff Peterson Memorial Cup | Mike Lockwood Memorial Show | Fred Ward Memorial Show | Mike Lockwood Memorial Tournament | Mark Curtis Memorial Reunion | Chris Candido Memorial Show | Bruiser Brody Memorial Cup | Shinya Hashimoto Memorial Six-Man Tag Team Tournament | Pitbull/Public Enemy Tag Team Memorial Cup | Eddie Graham Memorial Battle of the Belts | Sensational Sherri Memorial Cup Tournament | Shinya Hashimoto Memorial Legacy Cup Tournament | Walter ""Killer"" Kowalski Memorial Show | Dennis Coralluzzo Invitational | A Nightmare To Remember"
Which weapons are of the type grenade launcher ?,Arsenal 40 mm UBGL | ARDE 40 mm under barrel grenade launcher | BS-1 Tishina | STK 40 GL | EAGLE grenade launcher | GM-94 | GP-25 | Indumil IMC-40 | M79 grenade launcher | M203 grenade launcher | M320 Grenade Launcher Module | Milkor 37/38mm and 40mm Stopper | Pallad wz. 1974 | Pallad wz. 1983 | PMR grenade launcher | RWGŁ-3 | Type 91 grenade launcher | XM148 grenade launcher | DP-64 | Hawk MM-1 | Milkor MGL | Neopup PAW-20 | RG-6 grenade launcher   [http://www.tulatskib.ru/HTML_a/sgv_prod_a.html RG-6 at the manufacturers website] | XM25 CDTE | AGS-17 | AGS-30 | STK 40 AGL | Howa Type 96 | Daewoo Precision Industries K4 | M75 grenade launcher | M129 grenade launcher | Mk 18 Mod 0 grenade launcher | Mk 19 grenade launcher | Mk 20 Mod 0 grenade launcher | Mk 47 Striker | SB LAG 40 | XM174 grenade launcher | XM307 Advanced Crew Served Weapon | Bazooka | Sturmpistole | PIAT | RPG-2 | RPG-7 | RPG-16 | RPG-26 | RPG-27 | RPG-29 | RPG-30 | RPG-32 | RPG-76 Komar | RPO-A Shmel | Type 69 RPG | Yasin (RPG)
Which sumos have nore than 7 championship wins ?,Hakuhō | Taihō | Akebono | Wakanohana I | Hokutoumi | Raiden | Tanikaze | Kashiwado | Inazuma | Umegatani I
Which weapons are of the type siege engine ?,Siege tower | Battering ram | Catapult | Ballista | Trebuchet | Helepolis | Sambuca | Scorpio | Artillery
What are all the named continents throughout history ?,Vaalbara | Ur | Kenorland | Atlantica | Baltica | Rodinia | Avalonia | Pannotia | Gondwana | Cimmeria | Laurasia | Pangea | Africa | Asia | Australia | Europe | Pangaea Proxima
In which cities are there clock towers that are not located in Americas or Europe ?,"Sari | Tehran | Acre | Jaffa | Tripoli | Kota Kinabalu, Sabah | Teluk Intan, Perak | Peshawar | Faisalabad | Hyderabad | Jaffna | Colombo | Kurunegala | Piliyandala"
What are the current or past space stations ?,Salyut 1 | DOS-2 | Salyut 2 | Kosmos 557 | Skylab | Salyut 3 | Salyut 4 | Salyut 5 | Salyut 6 | Salyut 7 | Mir | Tiangong-1 | Tiangong-2 | Lunar Gateway | Russian Orbital Service Station (ROSS) | Lunar Orbital Station   (LOS) | Manned Orbiting Laboratory 1–7 | Skylab B | OPS-4 | Freedom | Mir-2 | [[Columbus Man-Tended Free Flyer|Columbus MTFF]] | [[Galaxy (spacecraft)|Galaxy]] | [[Excalibur Almaz|Almaz commercial]] | OPSEK
What are the buildings (built or in construction) with a height larger than 350 meters ?,Burj Khalifa | Shanghai Tower | Abraj Al-Bait Clock Tower | Ping An Finance Center | Lotte World Tower | One World Trade Center | Guangzhou CTF Finance Centre | China Zun | Taipei 101 | Shanghai World Financial Center | International Commerce Centre | Wuhan Greenland Center | Central Park Tower | Lakhta Center | Landmark 81 | Changsha IFS Tower T1 | [[Petronas Towers|Petronas Tower 2]] | Zifeng Tower | Willis Tower | KK100 | Guangzhou International Finance Center | Wuhan Center | 111 West 57th Street | One Vanderbilt | Dongguan International Trade Center 1 | 432 Park Avenue | Marina 101 | Trump International Hotel and Tower | Jin Mao Tower | Princess Tower | Al Hamra Tower | Two International Finance Centre | Guiyang International Financial Center T1 | China Resources Headquarters | CITIC Plaza | 30 Hudson Yards | Empire State Building | Elite Residence | Central Plaza | Federation Tower (East Tower) | Address Boulevard | Haitian Center Tower 2 | Bank of China Tower | Bank of America Tower | St. Regis Chicago | Almas Tower | Gevora Hotel | JW Marriott Marquis Dubai Tower 1 | JW Marriott Marquis Dubai Tower 2 | Emirates Office Tower | OKO Tower – South Tower | The Marina Torch
What are the different women wrestling promotions ?,[[Actwres girlZ]] | Ice Ribbon | Ladies Legend Pro-Wrestling | Oz Academy | Pro Wrestling Wave | [[Sendai Girls Pro Wrestling]] | Tokyo Joshi Pro Wrestling | World Wonder Ring Stardom | [[All Japan Womens Pro-Wrestling]] | Arsion | Gaea Japan | [[JDStar|Jd]] | JWP Joshi Puroresu
What are the exoplanets discovered in 2021 ?,NGTS-14Ab | NGTS-13b | TOI-628 b | TOI-640 b | TOI-1333 A b | TOI-1478 b | TOI-1601 b | OGLE-2019-BLG-0960Lb | HD 110082 b
What are the existing (in service or terminated) space telescopes ?,"Granat | Gamma | Compton Gamma Ray Observatory (CGRO) | International Gamma Ray Astrophysics Laboratory (INTEGRAL) | Fermi Gamma-ray Space Telescope | Astronomical Netherlands Satellite (ANS) | Einstein Observatory (HEAO 2) | Astron | EXOSAT | ROSAT | Broad Band X-ray Telescope / Astro 1 | Advanced Satellite for Cosmology and Astrophysics (ASCA, Astro-D) | Array of Low Energy X-ray Imaging Sensors (Alexis) | BeppoSAX | Chandra X-ray Observatory | XMM-Newton | Astrosat | Hitomi (Astro-H) | Mikhailo Lomonosov | Spektr-RG | OAO-2 (Stargazer) | [[Orbiting Astronomical Observatory|OAO-3 Copernicus]] | International Ultraviolet Explorer (IUE) | Hubble Space Telescope | Extreme Ultraviolet Explorer (EUVE) | Far Ultraviolet Spectroscopic Explorer (FUSE) | Interface Region Imaging Spectrograph (IRIS) | Venus Spectral Rocket Experiment | Hipparcos | Near Earth Object Surveillance Satellite (NEOSSat) | Gaia (astrometry) | Transiting Exoplanet Survey Satellite (TESS) | CHEOPS | IRAS | Infrared Space Observatory (ISO) | Midcourse Space Experiment (MSX) | Submillimeter Wave Astronomy Satellite (SWAS) | Wide Field Infrared Explorer (WIRE) | Spitzer Space Telescope | Akari (Astro-F) | Herschel Space Observatory | Wide-field Infrared Survey Explorer (WISE) | Odin | Planck | Dark Matter Particle Explorer (DAMPE) | James Webb Space Telescope (JWST) | X-ray Polarimeter Satellite (XPoSat) | X-Ray Imaging and Spectroscopy Mission (XRISM) | International Lunar Observatory Precursor (ILO-X) | Euclid | SPHEREx | Nancy Grace Roman Space Telescope (Wide Field Infrared Survey Telescope; WFIRST) | AstroSat-2 | PLATO | ARIEL | Advanced Telescope for High Energy Astrophysics (ATHENA) | Laser Interferometer Space Antenna (LISA)"
What are the different geological fracture zones ?,"Chile | Mocha | Valdivia | Easter | Vema | Kane | Charlie-Gibbs Name from GEBCO gazetteer, position refined by means of [http://www.ngdc.noaa.gov/mgg/global/global.html etopo2] and sample data of GPlates"
Which location is part of the  special economic zones of Ukraine ?,"Slavutych, Kyiv Oblast | Mariupol, Donetsk Oblast | Donetsk, Donetsk Oblast | Truskavets, Lviv Oblast | Mykolaiv, Mykolaiv Oblast, shipyard territory, and adjoining area | Odessa, part of Odessa Trade Sea Ports territory"
Which weapons are of the type combat shotgun ?,Armsel Striker | Atchisson AA-12 | Benelli M3 | Benelli M4 | Daewoo Precision Industries USAS-12 | Franchi SPAS-12 | Franchi SPAS-15 | M26 Modular Accessory Shotgun System | Remington Model 870 | Winchester Model 1200 | Winchester Model 1897 | Winchester Model 1912
What are the different upper stages used on rockets ?,Agena | Gamma-2 | Blok DM-03 | Centaur | CTS | Delta Cryogenic Second Stage | Electron Second Stage | Exploration Upper Stage | Falcon 9 Second Stage | Fregat | Inertial Upper Stage | KVTK | Payload Assist Module/Star-48B | Salman | Transtage | Volga
What are the existing money printing mints ?,"Perth Mint | Austrian Mint | Royal Canadian Mint | China Banknote Printing and Minting Corporation | Royal Danish Mint | Staatliche Münzen Baden-Württemberg | Staatliche Münze Berlin | Hamburgische Münze | Security Printing and Minting Organization | India Government Mint | India Government Mint, Mumbai | India Government Mint, Kolkata | India Government Mint, Hyderabad | India Government Mint, Noida | Monetăria Statului | Saint Petersburg Mint | Royal Mint | Birmingham Mint | Pobjoy Mint | Tower Mint | United States Mint (Four branches) | Zecca | Sydney Mint | Manila Mint | Mints of Scotland | Horndon mint | Charlotte Mint | Dahlonega Mint | New Orleans Mint"
What are the different exoplanet search projects ?,ESPRESSO | FINDS Exo-Earths | Geneva Extrasolar Planet Search | HARPS-N | Next-Generation Transit Survey (NGTS) | Optical Gravitational Lensing Experiment (OGLE) | Search for extraterrestrial intelligence (SETI) | Spectro-Polarimetric High-Contrast Exoplanet Research (SPHERE) | SPECULOOS | The Habitable Exoplanet Hunting Project | Trans-Atlantic Exoplanet Survey (TrES)
What are the residential buildings with a height larger than 250 m ?,Pentominium | Ocean One Tower | 45 Broad Street | Marina City II | Tregunter Tower 3 | [[The Belchers|The Belchers 1]] | Trump World Tower | 21st Century Tower | Q1 | The Marina Torch | Elite Residence | Princess Tower | 432 Park Avenue | Central Park Tower
What are the existing clock towers not located in Americas or Europe ?,"[[Saat Tower]] (Tabriz City Hall) | Khan al-Umdan | Bell tower at [[St. Anthonys Church, Tel Aviv|St. Anthonys Church, Jaffa]] | Jaffa Clock Tower | Clock tower at the Monastery of Saint Saviour | Jubilee Clock Tower | Birch Memorial Clock Tower | Atkinson Clock Tower | Malay College Kuala Kangsar Clock Tower | Sultan Abdul Samad Building | Teluk Intan Leaning Tower | Clock tower | Galle Clock Tower | Jaffna Clock Tower | Kandy Clock Tower | Khan Clock Tower | Koch Memorial Clock Tower | Kurunegala Clock Tower | Old Colombo Lighthouse"
Who was an ōzeki ?,Tachihikari Denemon | Hitachiiwa Eitarō | Toyokuni Fukuma | Shimizugawa Motokichi | Kagamiiwa Zenshirō | Nayoroiwa Shizuo | Saganohana Katsumi | Shionoumi Unemon | Masuiyama Daishirō I | Mitsuneyama Keiji | Ōuchiyama Heikichi | Matsunobori Shigeo | Kotogahama Sadao | Wakahaguro Tomoaki | Kitabayama Hidetoshi | Tochihikari Masayuki | Yutakayama Katsuo | Kiyokuni Katsuo | Maenoyama Tarō | Daikirin Takayoshi | Takanohana Kenshi | Daiju Hisateru | Kaiketsu Masateru | Asahikuni Masuo | Masuiyama Daishirō II | Kotokaze Kōki | Wakashimazu Mutsuo | Asashio Tarō IV | [[Hokutenyū Katsuhiko]] | Konishiki Yasokichi | Kirishima Kazuhiro | Takanonami Sadahiro | Chiyotaikai Ryūji | Dejima Takeharu | Musōyama Masashi | Miyabiyama Tetsushi | Kaiō Hiroyuki | Tochiazuma Daisuke | Kotoōshū Katsunori | Kotomitsuki Keiji | Baruto Kaito | Kotoshōgiku Kazuhiro | Gōeidō Gōtarō | Takayasu Akira | Tochinoshin Tsuyoshi | Takakeishō Mitsunobu | Asanoyama Hideki | Shōdai Naoya
What are the lakes with a depth larger than 400 meters ?,Baikal | Tanganyika | Vostok | Crater | Tahoe | Adams | Malawi | Tazawa | Kivu | Matano | Hornindalsvatnet | Toba | Sarez | (Caspian Sea ) | Ohrid | Geneva | Lake Superior | Loch Ness | Great Central | Dead Sea | Titicaca | Gander | Kauhakō Crater
