question,answer
Are any of the novels by Mikhail Bulgakov not satires of the Soviet communist state?,[True]
who gained the most territory as a consequence of the Second Balkan War?,['Greece']
What percentage of member states of the Commonwealth do not have English as an official language?,[16.071428571428573]
What percentage of men singles Flushing Meadows championships have been won by more than two points between 2000 and 2010?,[81.81818181818181]
What percentage of Films directed by Steven Spielberg had a worldwide box office performance of over $ 300 million ?,[50.0]
What was the average points per game for playoffs home games of the 2022 Boston Celtics ?,[103.0]
What was the shortest-lived German colony?,['Mahinland']
which country in East Africa has the youngest population?,['Uganda']
What was the combined cost of producing all of The Dark Knight movies?,[585000000.0]
How many Greek gods were believed to be the offspring of other gods (not titans)?,[9]
"In European countries, are current left-wing political parties more likely to be headed by women than right-wing ones?",[True]
What percentage of US presidents elected after 1899 were born in the southern states ?,[27.272727272727273]
Who was the maternal great grandfather of Henry II of England?,"['William the Conqueror', 'Malcolm III of Scotland']"
"In early 2025, which South American state's parliament has the greatest percentage of seats held by populist parties (either from the left or right)?",['Venezuela']
Was Pope Sixtus IV in office as Pope longer than the last Medici Pope?,['Yes']
Did Run D.M.C. release more studio albums than the Beastie Boys?,['no']
Which Habsburg Emperor ruled over Austria for the shortest amount of time?,['Leopold II']
Which main cast member of Seinfeld had the most movie experience prior to the show?,['Michael Richards']
Which territory did the Spanish lose control of during the Pueblo Revolt of 1680 and when was that territory reconquered?,"['Santa Fe de Nuevo México', '1692']"
What percentage of US states have never elected a woman to the US Senate?,[34.0]
How many countries have hosted the Olympics more than three times?,[4]
How many songwriters have received the Presidential Medal of Freedom in the United States?,[20]
Does soybeans have more vitamin C per 100g serving than 100g potatoes ?,[False]
"Since 2015, what has been the percentage of top 5 NBA drafted players to average more than 15 points in their rookie season?",[32.0]
How many percent higher is the average democracy index of Scandinavian countries compared to the average index in the Balkans?,[77.75875597403525]
Which country in the EU has the third largest population?,['Italy']
In how many wars fought between India and Pakistan did Pakistan have more than 7000 dead military personnel ?,[1]
How many prime ministers has Barbados had since 1973?,[7]
What is the largest soccer stadium in Israel?,['Teddy Stadium']
How many languages are an official language in three or more countries?,[12]
How many plays did Arthur Miller write between the ages of 20 and 40?,[15]
"As of 2022, which series has had more games, SaGa or Final Fantasy?",['Final Fantasy']
How many NBA coaches have won an NBA championship both as players and as a coach?,[13]
Are there more men or women living in Sudan?,['men']
Did Michael Jordan go to college at UCLA?,['No']
Was the most recent winner of Wimbledon men's singles older than the previous winner?,[False]
Which grain has the third highest protein content per cup of serving ?,['mung beans']
how many wars has Britain lost in the last 300 years?,[22]
how many descendants of Catherine the Great ruled Russia before the First Russian Revolution?,[6]
How many countries have had more than ten different Grand Slam singles champions?,[5]
What is the win percentage change of the Buffalo bills in 2020 NFL season compared to the 2019 NFL season ?,[0.18799999999999994]
What percentage of 2020 US budget was allocated for defense?,[11.0123778998779]
Which Latin American country has had the highest increase in life expectancy since 2000?,['Haiti']
How many NBA players since the year 2000 also played for coach K in Duke?,[55]
"Which TV show, currently on Amazon Prime, contains the largest number of Latinx actresses (named and credited)?",['El juego de las llaves']
"Which country has had more deaths from COVID, France or Portugal?",['France']
How many years ago did serena Williams last win the Australian open ?,[7.0]
What is the average age of the current WNBA general managers?,[53.0]
How many of the thirty US cities with highest murder rates are headed by Republicans?,[2]
Which African country has the highest percentage of Jewish people?,['South Africa']
When was the last time an American tennis player had won the French Open singles tournament for men?,[1999.0]
"before WWII, how many wars had Japan lost in their history?",[11]
When did the LA Sparks last win a championship?,[2016.0]
"What NFL team was founded first, the Patriots or the Cardinals?",['Cardinals']
"Which battle, fought in by Hungarian Forces during the 19th century, saw the largest loss of life of Hungarians involved in any one battle?",['Battle of Raab']
Did Chekhov write more plays before or after he turned forty?,['before forty']
Which percentage of Diane Keaton's movies feature her in a role where someone calls her mother?,[39.285714285714285]
What was the total budget for the first 3 Jurassic Park films?,[229000000.0]
What is the average height of the Dallas Mavericks NBA team players ?,[1.998]
Did the White Album premiere before Sargent Pepper?,[False]
"Which disease has resulted in more deaths, HIV or the black death?",['the black death']
"Where have more philosophical writers come from, China or England?",['England']
Are there more speakers of English or Chinese in the world?,['English']
Are there more Michelin Star restaurants in New York or in California?,['California']
What was the longest number of years between the release of two consecutive Led Zeppelin studio albums?,[3.0]
How many head coaches have won NBA finals with more than three teams?,[0]
Players from how many different countries competed in the French open woman's singles championship in 2021 ?,[20]
"Which language has fewer speakers worldwide, Spanish or French?",['French']
Which of Mexico's major wars have been with both the United States and Panama?,['None']
"Who had more Super Bowl wins, Los Angeles Rams or San Francisco 49ers?",['San Francisco 49ers']
What is the average age of all the cast in the original Broadway opening of Rent?,[52.25]
"Which country has a smaller percentage of its citizens vaccinated against COVID with at least one dose, Nigeria or Ethiopia?",['Ethiopia']
"how many Ivy League schools are located in cities with a population of 500,000 or more?",[2]
"Since 2000, how many Academy Award Best Films have been based on a novel?",[4]
For how many years in the decade from 2012 to 2021 did an MCU film top the box office?,[6]
In which year did Kendrick Lamar have the most BET Hip Hop award nominations?,['2013']
how many grams of apples would an adult male have to eat to get the recommended daily amount of protein if he only ate apples?,[21538.46153846154]
"How many operational nuclear power plants do the USA, Russia, China, and France have together compared to the rest of the world combined?","[134, 40.0]"
how many left leaning Prime Ministers has Canada had in the 21st century?,[3]
Who was the third oldest person ever appointed Italian prime minister?,['Paolo Boselli']
What percentage of seats in the parliament of El Salvador does the ruling party currently hold?,[66.66666666666667]
"Given the population growth rate of Venezuela remains the same, what is their expected population in 30 years?",[52491407.2]
what percentage of US supreme court justices throughout history did not attend an ivy league school for their postgraduate degree?,[70.08547008547009]
"Historically, name the percentage of US supreme court judges that attended an Ivy League school for their bachelor degree (BA)?",[35.8974358974359]
How many Tom Cruise films up until 2022 have grossed over 100 million dollars?,[34]
Did the Finnish army ever surpass half a million soldiers in wartime strength during the 20th century?,[True]
Is the largest NFL stadium (by capacity) larger than the largest MLB stadium?,[True]
What was the total federal budget surplus from 1996-2000 when Clinton was in office?,[302200000000.0]
Has Led Zeppelin released more than five albums?,[True]
Which Eastern Baltic languages have more than 2 million speakers?,['Lithuanian']
"In the 18th century, which Japanese Shogun had the longest rule?",['Tokugawa Ienari']
Name the country that was the most frequent ally of the UK in military conflicts,['France']
What was the age difference of the actors that played Rodrigo Borgia on Showtime's The Borgias and Tom Fontana's Borgia: Faith and Fear when each of them was playing the same character?,[-3.0]
Are there more than 15 species of wild monkeys inhabiting the indian sub-continent?,[True]
Is Cuba's life expectancy greater than it's nearest neighboring Island countries on average?,[True]
does an onion have more water than cabbage?,['cabbage']
Have any US tennis players won Wimbledon in the past five years?,[True]
How many titles are there in Mongol nobility of the Northern Yuan?,[5]
Which US president had the highest budget deficit over the past 15 years?,['Joe Biden']
Which Ivy League school is located in the state where Bam Bam Bigelow was born?,['Princeton University']
Does Golden state coach Steve Kerr have more playoffs wins than San Antionio spurs coach Gregg Popovich ?,[False]
Has COVID resulted in more deaths than the Spanish flu?,[False]
"Who has won more grand slam tournaments, Roger Federer or Rafael Nadal?",['Rafael Nadal']
Who won more titles between the Williams sisters?,['Serena Williams']
"How many years, since its independence, has Israel been governed by non-Left wing coalition governments?",[41.824999999999996]
How many dishes belong to the cuisine of more than one Scandinavian country?,[4]
"How many female members of Knesset are in Center, Right-wing and Left-wing parties? List the number of MKs for each political affiliation.","[12, 15, 4]"
How many leaders did the Israeli Labour party have over the past 7 years?,[4]
How many siblings did Richard I of England have?,[8]
What NFL quarterback is the second oldest in the league?,['Aaron Rodgers']
In how many states did the SPD have a greater than 6 percent vote share over the second-leading party in the most recent German federal election?,[8]
"How many of Mexico's wars were fought with more than 100,000 soldiers but fewer than 500,000?",[4]
what percent of Coachella headliners in the past 5 years have been non-US citizens?,[45.45454545454545]
"The group that settled the current largest city in New Zealand, originated from where?",['Polynesia']
How many countries have formed on the back of a civil war or a coup d’etat?,[94]
How many TV shows starred both Kristen Bell and her husband?,[4]
Of NBA all time scoring leaders what is the percentage of forwards?,[50.0]
How old was the youngest US vice-president when he assumed office?,[36.153424657534245]
Was Tywin Lannister responsible for the deaths of any of Jon Snow's family members?,[True]
How many years older was the oldest prime minister of Finland than its youngest?,[39.934246575342456]
How many presidential candidates have been re-elected in Romania since the fall of Communism?,[3]
how many points per game did Kobe Bryant average during the season in which he shot his highest ever field goal percentage?,['25.2']
What is the average age of US vice-presidents when they assume office?,[54.375]
which midwestern US state has the most representatives in the US House?,['Illinois']
For how many years has Sweden been governed by the Social Democrats over the past 40 years?,[30]
Who was the oldest founder of IBM?,['Charles Ranlett Flint']
How many HBO series and miniseries has Nina Gold been casting director for?,[6]
what is the largest minority ethnic group in South Korean society and how many people are in it?,"['Chinese', '849,804']"
How many more French desserts and pastries are there than German desserts?,[15]
"In the qualified teams of 2021–22 UEFA Champions League, what is the percentage of team players that were born in the same country as their team?",[28.90378548895899]
Are there more wild elephants in Africa than in Asia?,[True]
Which City currently has more Michelin rated eateries New York or Paris?,['Paris']
in the battle that concluded the Swabian War what was the strength of the victorious side?,"['6,000']"
Which European union country has had the highest average voter turnout in its past five legislative elections?,['Malta']
what percentage of Lebron's teams that reached the NBA Finals also held the number 1 seed in their conference?,[30.0]
The life expectancy in Trinidad and Tobago is how many years lower compared to the US ?,[-5.530000000000001]
How many of Peru's wars were fought against one of their neighboring countries?,[15]
What was the highest rated original HBO drama in 2013 according to Metacritic?,['Game of Thrones']
"What university has been around longer, Harvard, Princeton, Yale or Duke?",['Harvard']
Do the official languages of Ethipoia originate from different liguistic families?,[True]
what was the familial bond between Elizabeth I of England and her successor?,['Cousins']
Which of her husband's children were allegedly killed because of Roxelana?,['Şehzade Mustafa']
What has been the growth rate of the Asian American community since 2000?,[101.81767778772628]
Who was the paternal great grandfather of Henry II of England?,['Count Fulk IV of Anjou']
How many years have passed since the current president of El Salvador has assumed office?,[3.589041095890411]
Prior to its independence what was the last ethnically Arab dynasty that had ruled over Egypt?,['Abbasid Caliphate']
Which cities have been home to at least three different NBA teams?,"['New Orleans, Louisiana']"
"Since the 2000s, which NFL team has had the most Heisman Trophy winners as its players?",['Baltimore Ravens']
"At his current career average of points per game, assuming he plays every game of each season, how many seasons would it take until Stephen Curry is in the top ten all time in scoring?",[1.839594807238395]
what was the capital city of the Western Roman Empire when it collapsed and what modern day region was it located in?,"['Salona/Spalatum', 'Dalmatia']"
Which President of Brazil presided over the largest loss of its troops in a war?,['Pedro II']
How many political parties participated in the most recent election in Sierra Leone?,[13]
Which of the seven largest European Union countries has had the highest proportion of members of parliament from left-wing parties over the past ten years?,['Sweden']
"How many Inside the NBA hosts and analysts, past and present, are former NBA champions?",[10]
Is the population of Germany greater than that of each of its neighbors?,[True]
What percentage of Coachella headliners have been rock bands?,[48.0]
How many films about wars that occurred after 1950 have won the Best Picture Academy Award?,[3]
Which US President won the elections by the smallest margin of electoral college votes between 1980 and 2020?,['George W. Bush']
"In the 2022 general election in Costa Rica, which of its liberal parties received the most votes?",['National Liberation Party']
How many members of the Chicago Bulls roster were actually born in Illinois?,[2]
Has Shakespeare written more plays than Sophocles?,[True]
Are Spanish prime ministers more likely to have been born in Madrid over the past 20 years?,[True]
What's the percentage of Academy Award winning directors who went to Tisch?,[11.267605633802816]
"Who had more husbands, Goldie Hawn or Liz Taylor?",['Liz Taylor']
What's the average age of the main cast of Euphoria?,[29.46153846153846]
"Which country party has the highest percentage of parliament seats held by separatist parties, out of Spain, Belgium and Italy?",['Belgium']
What is the total number of point guards on the Boston Celtics '23 roster?,[4]
Tell me how many wars took place in Austria during the middle ages and in how many of those wars was Austria victorious?,"[44, 26]"
"What is the percentage of foreign born individuals out of the notable musician alumni of Stanford, Harvard and Yale combined?",[15.652173913043478]
"Was the Battle of Chaldiran, in the early 1500s, the only conflict Iran waged against the Ottomans during that century?",[False]
"What is the age difference between New Zealand's incumbent prime minister, and her predecessor?",[18.0]
Does the largest city in Senegal have more than two million residents?,['No']
Are there more Alawites or Kurds in Syria?,['Alawites']
What is total population living in Balkan states?,[59924705.0]
"Out of the previous five prime ministers of Malta, how many belonged to left-wing parties?",[3]
"In EU countries, is the Green Party more likely to be headed by woman?",[True]
"Has Poland lost any kings to war in the past 600 years and if so, how old were they when they died?","[True, '20']"
In what year did the greatest number of British colonies gain their independence?,['1783']
"Given the current population trends in Japan stay the same, what is their expected population in 17 years?",[115944219.3]
how many rebounds did Moses Malone average the year he won the MVP with the Sixers?,['15.3']
"Using the most recent available figures, does Apple or Microsoft have a higher revenue per employee?",['Apple']
Which US state is the birthplace of the greatest number of NBA players who have led the league in scoring?,['New York']
How many movies has Dakota Fanning appeared in with her sister?,[2]
"Who scored the most points in his career, Shaquille O'Neal, Wilt Chamberlain or Bill Russell?",['Wilt Chamberlain']
"Who was oldest when they first won any WWF/WWE title, Randy Orton, Mick Foley, or AJ Styles?",['AJ Styles']
At what point in the past decade did Israel's parliament have the greatest number of different parties represented with at least one seat?,['2022']
How many of the 20 most recent NBA MVPs have been over two meters in height?,[12]
In how many of Ibsen's plays are the main protagonists a married couple?,[13]
Are there any upcoming shows starring the cast of You're the Worst?,[True]
Did the French or English win more battles during King Edward's reign in the 100 Years War?,['English']
What is the longest war Croatia was part of in the last 300 years?,['World War I']
In terms of life expectancy how many years do French women live longer than men?,[6.200000000000003]
"What was the percentage of change in CDU Bundestag seats in the most recent federal election, compared to SPD party?","[-24.0, 34.64052287581699]"
What percentage of people in the US have been diagnosed with a case of Covid through the pandemic?,[31.035310748189737]
"Considering the top ten grossing films of each year from 1990 to 2000, which movie studio had the highest cumulative box office?",['Buena Vista Pictures Distribution']
What is the largest right-wing party in Jamaica and what is its percentage of parliament seats?,"['Jamaican Labour Party', 73.80952380952381]"
Did the UK spend more on housing or health in 2016?,['health']
Did the UK spend more on health in 2012 or 2014?,['2014']
Which foreign-born King of Poland had the longest reign?,['Władysław II Jagiełło']
Which African country has the highest number of political parties represented in its parliament (or lower house)?,['Guinea']
Has judo or taekwondo been an Olympic event longer?,['judo']
With which other South American countries does Bolivia currently have tense or hostile relations?,['Chile']
When did Americans start consuming milk and cereals for breakfast?,['1891']
How much of its GDP does the oldest country in the world (population wise) spend on education?,['1.50%']
"Did any of the cast members of Veronica Mars went on to star together in a series, following its cancellation?",[True]
"Out of the following three US presidential elections 2008, 2012, 2016: which polls out of those by Fox, New York Times and CNN performed the best on average, compared to the actual results?",['CNN']
Which producer got the most Best Play Tonys from the 1980s to 1990s?,['The Shubert Organization']
"Which NBA Player more frequently missed free throw tries, Damon Stoudamire or James Harden?",['Damon Stoudamire']
"Is the combined solar PV capacity of Germany, Italy and France larger than the solar PV capacity of Japan ?",[True]
who were the leaders of Jamiat during the Soviet-Afghan War?,['Ahmad Shah Massoud']
which Asian nation does Australia have the largest trading deficit (smallest balance) with?,['South Korea']
How many women are part of the Slovenian government?,[7]
In which year during the last 20 did the Billboard year-end hot 100 singles contain the most songs from female artists?,['2022']
"Of all the players currently on the Memphis Grizzlies, which ones played at Murray State?","['Morant, Ja (S)']"
How many European countries have a longer life expectancy than Hungary?,[40]
what has been the smallest margin of victory in a French presidential election during the post-war period?,[1.62]
"Which three twentieth century wars, which involving Oman, had the highest number of deaths (not ONLY Omanis but all casualties during the wars should be considered)?",['Gulf War']
How many Pulitzer Prize-winning playwrights were born in New York City?,[18]
Are there more calories in a serving of almonds than in a serving of beef?,[True]
In how many of Michelangelo Antonioni's movies did Monica Vitti play the lead?,[5]
how many Republican senators are there in the US congress from states that touch the Mexican border?,[2]
In what year did the Black Death plague reach the largest city in the Mediterranean Basin?,['1347']
what percentage of the movies that won the Oscar Best Foreign Language Film have been in French?,[28.0]
What was LeBron's highest scoring game to win a championship?,"['2020, game 6, Lakers, Heat']"
"Did every US persident from George W Bush to Joe Biden, further expand the US federal healthcare program?",[False]
How many years in total have left-wing parties headed the government of France since the establishment of the Fourth Republic?,[35.867999999999995]
Is a shamshir more analogous to a khopesh or a chakram?,['Yes']
How many Canadian prime ministers served non-consecutive terms in that role (i.e. in the manner similar to that of Grover Cleveland or Winston Churchill)?,[4]
"Of all NBA players who won finals MVP, list only those with career averages higher than the median in both points, assists and rebounds",['Bob Pettit']
"On average, has the economy in Scandinavia gotten better in the last ten years?",[True]
Was serial killer Gilles de Rais a contemporary of Saint Joan of Arc or Peter the Cruel?,['Saint Joan of Arc']
Is there a connection between GRR Martin and Roger Zelazny?,['Yes']
What MLB players have won an MVP in both the National League and the American League from inception until 2022?,['Frank Robinson']
How much longer is the London Underground than its Overground?,[235.0]
what percentage of Asian countries have vaccinated more than 75% of their population against covid?,[36.0]
How many of the world's largest animal would need to be vertically stacked in order to reach the top of the Azrieli Sarona building?,[7.976588628762542]
how many years were there between the first and second Punic Wars?,[23.013698630136986]
Are the romantic interests of the core Justice League members usually superheroes themselves?,[True]
Is the Turkish language more related to Greek than to Mongolian?,['No']
Did all of South Africa's prime ministers during Apartheid had Boer heritage?,[True]
How many different jobs does Skyler White have throughout the Breaking Bad series?,[5]
Are all of the five US states with the highest COVID vaccination rates located on the East Coast?,[True]
How many films directed by Quentin Tarantino were not in the horror genre?,[11]
What political party has dominated the presidency of Mexico the most from 1917-2022?,['Institutional Revolutionary Party']
which university outside the ivy league is affiliated with the greatest number of Nobel laureates?,['University of Cambridge']
How many more Grammy awards has the rock band Foo Fighters won compared to the rock band U2 ?,[-6]
How many incumbent NFL head coaches have been fired from three or more different teams since 2000?,[1]
Which director has won the most Golden Globe Awards without ever winning an Oscar?,['Sidney Lumet']
Which of Blake's four Zoas is closely linked to the Gnostic concept of Demiurge?,['Urizen']
"Which religious faction holds the most seats in the Lebanese parliament, based on the religious affiliation of each political party?",['Maronite']
What is the percentage of seats held by conservative and right-wing politicians in the Japanese parliament?,[58.625525946704066]
"Which year did the British House of Commons have a higher number of Labour members, 2000 or current?",['2000']
Tell me the average lifespan of all of Henry the 8th's wives.,[33.833333333333336]
"Over the past decade, what Nobel prize category has had the highest percentage of winners born outside the US or Europe?",['Physics']
how many current NBA head coaches are former NBA players?,[11]
What is the political ideology of the current Namibian president's party?,['Socialism with Namibian characteristics']
What percentage of movies directed by Akira Kurosawa feature samurai warriors as protagonists?,[25.806451612903224]
What were the total numbers of casualties and of losses in the Nepal-Sikh war ?,[13000.0]
How many Presidents of Cyprus's House of Representatives have been politically conservative?,[3]
who is the leader of the party with the most seats in Latvia's parliament?,['Evika Siliņa']
Do fringe parties hold a larger combined total number of seats in Italy's parliament than the centrist parties?,[True]
"Which political party in France is in control right now, and when was that party established?","['Renaissance', '6 April 2016']"
What is the most recent novel by Elena Ferrante?,['I margini e il dettato']
Was the total amount of money that Facebook raised in its IPO less than the price that Microsoft paid for LinkedIn in 2016?,['No']
Who was the youngest QB to win an MVP?,['Lamar Jackson']
How many of the 2019 MLB Hall of Fame inductees played for the Baltimore Orioles?,[3]
How many years passed between Japan's birthrate going below replacement level and Japan's population beginning to drop?,[37.0]
"In the playoff teams of 2020-21 NBA season, how many players were born in their team's city?",[3]
What is the ratio of cats to dogs in White House pets since 93?,[0.3333333333333333]
Which Pirates of the Caribbean movie had the highest budget?,['On Stranger Tides']
What's the percentage of Puerto Ricans out of the top fifty MLB career hitters of all time?,[4.0]
How many remakes of their own movies has Disney produced over the past nine years?,[13]
Does the popular American breakfast restaurant cracker barrel have more locations than the breakfast restaurant Denny's ?,['No']
Did any of Philip IV of France's grandchildren have English blood?,[True]
Who played James Bond in the Bond movie that was most viewed in the cinemas?,['Daniel Craig']
"If New Zealand were an Australian state, where would it rank on the national list of most populous states?",[4.0]
How many wars has Bulgaria been involved in in the 14th century?,[6]
did Shakespeare write more comedies or tragedies?,['comedies']
How many of the last 30 Booker award winning novels were set in South Africa?,[2]
"Out of the ten most recent Poets Laureate of the United States, how many have been women?",[5]
What's the percentage of foreign-born actors out of the notable Lee Strasberg alumni?,[38.888888888888886]
Which Winter Olympics year earned Sweden the highest number of Gold medals?,['2022']
Which Grammy Award-winning rock band for best album had the most members at the time they received the award?,['George Harrison & Friends']
Which country out of Great Britain and Germany had more Nobel prize winners in Literature ?,['Germany']
Does pineapple contain more sugar than oranges?,['Yes']
who was the leading scorer for the winning team in the deciding game of Kobe Bryant's first NBA title?,"[""Shaquille O'Neal""]"
How many Super Bowl winning teams were actually coached by a person who formerly played for the same team?,[5]
How many sports were added to the summer Olympic games between 1980 and 2016?,[12]
Which US state has historically elected the most representatives in Congress of Asian descent?,['California']
Tell me the percentage of members of the 23rd Knesset that were not born in Tel Aviv.,[86.66666666666667]
How many years passed since TFR in China became lower than replacement level to its population beginning to shrink?,[32.0]
"Of the martial-arts sports that are Olympic events, how many are of Japanese origin?",[1]
What has been the highest percentage of parliament seats held by monarchist parties during the time of the Third French Republic?,[53.82585751978892]
Which UK political party had issued the most budgets in the past two decades?,['Conservative Party']
who was the youngest person to be elected as leader of the Norwegian Labour Party?,['Oscar Torp']
"Of the wars Peru fought in, which one had the most Peruvian casualties?",['War against Terrorism']
Which country bordering the Mediterranean has the lowest life expectancy?,['Libya']
What was the longest type of spear that was used by the armies of Ancient Rome?,['Hasta']
"Assuming no change in current birthrate or net immigration, what will the United States' population be in 2030?",[350143385.4504]
Name the left-wing party in Belgium that is polling the highest for the next election.,['PS']
How many of the players that won the 2002 NBA championship went on to win at least two more?,[3]
Which tropical fruit has the third highest calorie content per 100 g of fruit ?,['Brazil nut']
Were there more people in attendance at the Superbowl in 2022 or in 2000?,['2000']
"Using the most recent available enrollment figures, how does the average number of students at any of the Ivy League Universities compare to that of any of the other institutions that combine with them to make up the IvyPlus system?","[18253.0, 23302.0]"
How many of Mexico's wars during the 19th century have been longer than two years and shorter than five?,[1]
Did Jim Carrey star in more dramatic than comedic roles?,[False]
What percentage of votes in Norway's last elections were to the far-left?,[12.305504962890696]
"Which side on the Syrian civil war has suffered more casualties, the Assad government or the rebels?",['rebels']
How many science fiction novels have won the Man Booker Prize since 1985?,[1]
Are there more English speaking or Mandarin speaking people worldwide?,['English speaking']
By how many people in total has Jakarta's population grown since 1990?,[2505195.0]
which country won the most IMO (international math Olympics) top scores between 2015 and 2020?,['United States']
What is the percentage of non-Israeli Sephardi Jews out of the total Jewish worldwide population?,[4.292993630573249]
What was the joint percentage of all far-left candidates in Uruguay's latest presidential election?,[0.8999999999999999]
"since the Booker Prize was opened up to include any work in English published in the UK, what percentage of winners have been American?",[30.0]
How many countries in the Americas have had heads of state who had never previously held a position in government?,[27]
how many QBs who were drafted #1 overall have won a Super Bowl?,[8]
