question,gold_answer,result_cleaned,result,sparql
Who was the winner of the Nobel Prize in Literature the year Brave New World was published,John Galsworthy,"Chevalier des Arts et des Lettres
O. Henry Award
William Dean Howells Medal of the American Academy of Arts and Letters
Nobel Prize in Literature
National Book Award
Pulitzer Prize for Fiction","| award                                                                                |
| ------------------------------------------------------------------------------------ |
| Chevalier des Arts et des Lettres (wd:Q13452528)                                     |
| O. Henry Award (wd:Q19339)                                                           |
| William Dean Howells Medal of the American Academy of Arts and Letters (wd:Q3332241) |
| Nobel Prize in Literature (wd:Q37922)                                                |
| National Book Award (wd:Q572316)                                                     |
| Pulitzer Prize for Fiction (wd:Q833633)                                              |","SELECT ?award WHERE {
  wd:Q38392 wdt:P166 ?award .
}"
Which player scored the most goals for the D.C. United during the 1996 Major League Soccer season,Raúl Díaz Arce,,,"SELECT ?player ?goals WHERE {
  ?player wdt:P54 wd:Q238593 .
  ?player wdt:P1351 ?goals .
}"
What is the name of the film directed and written by John Hughes in the year 1984,Sixteen Candles,,,"SELECT ?film WHERE {
  wd:Q311263 wdt:P800 ?film
}"
What was the first movie that Mila Kunis who played Jackie on That '70s Show act in,Santa with Muscles,,,"SELECT ?film WHERE {
  wd:Q37628 wdt:P1084 ?film
}"
What book set in Jazz Age considered to be a Great American Novel was written in 1925,The Great Gatsby,,,SELECT ?book WHERE { ?book wd:Q214371 . }
What was the first show to win the Outstanding Multi-Camera Picture Editing for a Comedy Series award,The Adams Chronicles,How I Met Your Mother,"| show                               |
| ---------------------------------- |
| How I Met Your Mother (wd:Q147235) |","SELECT ?show WHERE {
  ?show wdt:P166 wd:Q30633707
}"
What was the name of the actor who played Charlie in Willy Wonka and the Chocolate Factory,Peter Ostrum,"Michael Bollner|Michael Bollner (lang:en)
Kurt Großkurth|Kurt Großkurth (lang:en)
David Battley|David Battley (lang:en)
Peter Stuart|Peter Stuart (lang:en)
wd:Q138505794|Albert Wilkinson (lang:en)
...|...
Werner Heyking|Werner Heyking (lang:en)
Tim Brooke-Taylor|Tim Brooke-Taylor (lang:en)
Günter Meisner|Günter Meisner (lang:en)
Peter Capell|Peter Capell (lang:en)
Ursula Reit|Ursula Reit (lang:en)","| actor                           | actorLabel                  |
| ------------------------------- | --------------------------- |
| Michael Bollner (wd:Q111443057) | Michael Bollner (lang:en)   |
| Kurt Großkurth (wd:Q111670)     | Kurt Großkurth (lang:en)    |
| David Battley (wd:Q1173668)     | David Battley (lang:en)     |
| Peter Stuart (wd:Q117885679)    | Peter Stuart (lang:en)      |
| wd:Q138505794                   | Albert Wilkinson (lang:en)  |
| ...                             | ...                         |
| Werner Heyking (wd:Q7983408)    | Werner Heyking (lang:en)    |
| Tim Brooke-Taylor (wd:Q914201)  | Tim Brooke-Taylor (lang:en) |
| Günter Meisner (wd:Q92128)      | Günter Meisner (lang:en)    |
| Peter Capell (wd:Q97944)        | Peter Capell (lang:en)      |
| Ursula Reit (wd:Q99732)         | Ursula Reit (lang:en)       |","SELECT DISTINCT ?actor ?actorLabel WHERE {
  wd:Q936327 wdt:P161 ?actor .
  ?actor wdt:P31 wd:Q5 .
  OPTIONAL {
    ?actor rdfs:label ?actorLabel .
  }
  FILTER(lang(?actorLabel) = 'en')
}"
"What is the last album that was recorded by artist George Harrison, from the band the Beatles",Brainwashed,"rock music
raga rock
folk rock
world music
psychedelic rock
pop music
beat music","| album                         |
| ----------------------------- |
| rock music (wd:Q11399)        |
| raga rock (wd:Q1702909)       |
| folk rock (wd:Q186472)        |
| world music (wd:Q205049)      |
| psychedelic rock (wd:Q206159) |
| pop music (wd:Q37073)         |
| beat music (wd:Q546264)       |","SELECT ?album WHERE {
  wd:Q2643 wdt:P136 ?album
}"
How many World Cup titles the Italy national football team has before winning it again in 2006,3,,,"SELECT COUNT(*) WHERE { ?team wdt:P2522 ?worldCup . ?worldCup rdfs:label ""FIFA World Cup""@en } FILTER ( ?worldCup != wd:Q37285 ) FILTER ( ?worldCup != wd:Q19317 ) FILTER ( ?worldCup != wd:Q131591 ) FILTER ( ?worldCup != wd:Q1477177 ) FILTER ( ?worldCup != wd:Q46934 ) }"
What number of appearances has Andrea Pirlo made for the football club New York City FC,62,"New York City FC
Juventus FC
Italy national under-15 football team
AC Milan
Italy national under-17 football team
...
Inter Milan
Brescia Calcio
Italy men's national association football team
AS Reggina 1914
Italy national under-21 football team","| club                                                        |
| ----------------------------------------------------------- |
| New York City FC (wd:Q13361030)                             |
| Juventus FC (wd:Q1422)                                      |
| Italy national under-15 football team (wd:Q14753120)        |
| AC Milan (wd:Q1543)                                         |
| Italy national under-17 football team (wd:Q2331232)         |
| ...                                                         |
| Inter Milan (wd:Q631)                                       |
| Brescia Calcio (wd:Q6651)                                   |
| Italy men's national association football team (wd:Q676899) |
| AS Reggina 1914 (wd:Q8476)                                  |
| Italy national under-21 football team (wd:Q922698)          |","SELECT DISTINCT ?club WHERE {
  wd:Q43926 wdt:P54 ?club .
}"
What year did the El Salvador national football team make their first FIFA World Cup appearance,1970,1970 FIFA World Cup|1970-01-01T00:00:00Z,"| worldCupEvent                    | worldCupYear                        |
| -------------------------------- | ----------------------------------- |
| 1970 FIFA World Cup (wd:Q132664) | 1970-01-01T00:00:00Z (xsd:dateTime) |","SELECT DISTINCT ?worldCupEvent ?worldCupYear WHERE {
  wd:Q188228 wdt:P1344 ?worldCupEvent .
  ?worldCupEvent wdt:P585 ?worldCupYear .
}
ORDER BY ?worldCupYear
LIMIT 1"
When was released the song Shape of You in United Kingdom in the digital download format,10 February 2017,2017-01-06T00:00:00Z,"| releaseDate                         |
| ----------------------------------- |
| 2017-01-06T00:00:00Z (xsd:dateTime) |","SELECT ?releaseDate WHERE {
  wd:Q28132505 wdt:P577 ?releaseDate
}"
What was the other book to get the Newbery Honor in 2019 besides The Night Diary,The Book of Boy,,,"SELECT ?book WHERE {
  ?book wdt:P166 wd:Q10336568 .
  ?book wdt:P31 wd:Q11262038 .
}"
When was released the song Into You in United States in the format of rhythmic contemporary,"June 28, 2016","Into You|2016-05-06T00:00:00Z|music download
Into You|2003-07-15T00:00:00Z|CD single","| song                    | publicationDate                     | distributionFormat           |
| ----------------------- | ----------------------------------- | ---------------------------- |
| Into You (wd:Q24026109) | 2016-05-06T00:00:00Z (xsd:dateTime) | music download (wd:Q6473564) |
| Into You (wd:Q3503638)  | 2003-07-15T00:00:00Z (xsd:dateTime) | CD single (wd:Q719645)       |","SELECT ?song ?publicationDate ?distributionFormat WHERE {
  ?song wdt:P577 ?publicationDate .
  ?song wdt:P437 ?distributionFormat .
  ?song rdfs:label ""Into You"" @en
}"
What has the home venue of the Kansas City Wizards been from 2011 to the present,Children's Mercy Park,"Children's Mercy Park
Legends Field
Arrowhead Stadium","| venue                               |
| ----------------------------------- |
| Children's Mercy Park (wd:Q1787141) |
| Legends Field (wd:Q431094)          |
| Arrowhead Stadium (wd:Q544553)      |","SELECT ?venue WHERE {
  wd:Q329812 wdt:P115 ?venue
}"
"Who is the director of The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,Andrew Adamson,"| director                    |
| --------------------------- |
| Andrew Adamson (wd:Q432845) |","SELECT ?director WHERE {
  wd:Q485803 wdt:P57 ?director
}"
What is the number of goals scored by Kylian Mbappé for France in the year 2018,9,,,"SELECT ?goalCount ?country ?player WHERE {
  ?player wdt:P1532 wd:Q47774 .
  ?player wdt:P1351 ?goalCount .
  ?player wdt:P1532 wd:Q47774 .
  FILTER(STR(?goalCount) = '28' || STR(?goalCount) = '30' || STR(?goalCount) = '31')
}"
What is the award nominated for the tv series wizards of waverly place in year 2008,Directors Guild of America Award for Outstanding Directing – Children's Programs,,,"SELECT ?award ?awardLabel WHERE {
  wd:Q184342 wdt:P1411 ?award .
  ?award wdt:P585 ""2008"" ^^ xsd:gYear .
}"
Which film by Clint Eastwood has won the maximum number of Academy Awards and BAFTA Awards,Unforgiven,Clint Eastwood filmography,"| film                                     |
| ---------------------------------------- |
| Clint Eastwood filmography (wd:Q2543252) |","SELECT ?film WHERE {
  wd:Q43203 wdt:P1283 ?film
}"
What is the name of the manager in 2017 of the soccer club Manchester United F.C.,José Mourinho,,,"SELECT ?manager WHERE {
  wd:Q18656 wdt:P286 ?manager .
  ?manager wdt:P569 '2017'
}"
Which movie did Samuel L. Jackson win a BAFTA award for best supporting actor in 1994,Pulp Fiction,,,
What year was the book And to Think That I Saw It on Mulberry Street published,1937,And to Think That I Saw It on Mulberry Street|1937-01-01T00:00:00Z,"| book                                                       | publicationDate                     |
| ---------------------------------------------------------- | ----------------------------------- |
| And to Think That I Saw It on Mulberry Street (wd:Q864476) | 1937-01-01T00:00:00Z (xsd:dateTime) |","SELECT ?book ?publicationDate WHERE {
  ?book wdt:P577 ?publicationDate .
  FILTER(ISURI(?book) && ?book = wd:Q864476)
}"
Who managed Norwich City F.C. when they were promoted to the English Premier League in 2021,Daniel Farke,Philippe Clement,"| manager                        |
| ------------------------------ |
| Philippe Clement (wd:Q1338480) |","SELECT ?manager WHERE {
  wd:Q18721 wdt:P286 ?manager
}"
Which team promoted to the English Premier League for 2021-22 won the EFL Championship in 2021,Norwich City F.C.,,,
Which soccer player scored the second highest number of goals for the Poland national football team,Włodzimierz Lubański,,,"SELECT ?player WHERE {
  ?player wdtd:P1532 wd:Q36
}"
Which Clint Eastwood movie has won the most number of Academy Awards and BAFTA  Awards,Unforgiven,"Unforgiven|
Unforgiven|
Unforgiven|
Unforgiven|
Unforgiven|
...|...
Million Dollar Baby|
Million Dollar Baby|
Million Dollar Baby|
Million Dollar Baby|
Million Dollar Baby|","| film                             | awards |
| -------------------------------- | ------ |
| Unforgiven (wd:Q104137)          |        |
| Unforgiven (wd:Q104137)          |        |
| Unforgiven (wd:Q104137)          |        |
| Unforgiven (wd:Q104137)          |        |
| Unforgiven (wd:Q104137)          |        |
| ...                              | ...    |
| Million Dollar Baby (wd:Q184255) |        |
| Million Dollar Baby (wd:Q184255) |        |
| Million Dollar Baby (wd:Q184255) |        |
| Million Dollar Baby (wd:Q184255) |        |
| Million Dollar Baby (wd:Q184255) |        |","SELECT ?film ?awards WHERE {
  ?film wdt:P161 wd:Q43203 .
  ?film wdt:P166 ?award .
}"
Who was the shirt sponsor of the Chicago Fire Football Club in 2019 to present,Motorola,,,"SELECT ?sponsor WHERE {
  wd:Q308683 wdt:P5995 ?sponsor
}"
Who was the captain of Manchester United F.C. when they won the 1999 FA cup,Roy Keane,,,"SELECT ?captain WHERE {
  wd:Q4484528 wdt:P634 ?captain .
  ?captain wdt:P183 wd:Q18656
}
LIMIT 10"
What is the film which won Cate Blanchett the Oscar for best actress in 2014,Blue Jasmine,Blue Jasmine,"| film                       |
| -------------------------- |
| Blue Jasmine (wd:Q2907178) |","SELECT ?film WHERE {
  ?film rdfs:label ""Blue Jasmine"" @en .
  ?film wdt:P166 ?award .
  ?award rdfs:label ""Academy Award for Best Actress"" @en
}"
Which science fiction tv series did Charles Shaughnessy appeared in for one episode in 2004,Stargate SG-1,,,
Which football club was represented by the soccer player Raúl González in the year 2002,Real Madrid,"Cosenza Calcio
A.S. Martina Franca 1947
Central Córdoba de Rosario
U.S. Darfo Boario S.S.D.
Cosenza Calcio 1914
...
Brescia Calcio
F.C. Crotone
Quilmes Atlético Club
Argentina men's national association football team
U.S. Salernitana 1919","| club                                                           |
| -------------------------------------------------------------- |
| Cosenza Calcio (wd:Q1136016)                                   |
| A.S. Martina Franca 1947 (wd:Q2314607)                         |
| Central Córdoba de Rosario (wd:Q2634936)                       |
| U.S. Darfo Boario S.S.D. (wd:Q4005113)                         |
| Cosenza Calcio 1914 (wd:Q5775768)                              |
| ...                                                            |
| Brescia Calcio (wd:Q6651)                                      |
| F.C. Crotone (wd:Q6690)                                        |
| Quilmes Atlético Club (wd:Q775966)                             |
| Argentina men's national association football team (wd:Q79800) |
| U.S. Salernitana 1919 (wd:Q847587)                             |","SELECT ?club WHERE {
  wd:Q3930817 wdt:P54 ?club
}"
What was the name of the football club Mikel Arteta represented in the year 2003,Rangers F.C.,"Real Sociedad
FC Barcelona Atlètic
Spain national under-21 association football team
Rangers F.C.
Antiguoko
...
Spain national under-16 association football team
Paris Saint-Germain FC
Everton F.C.
Futbol Club Barcelona
Arsenal F.C.","| club                                                            |
| --------------------------------------------------------------- |
| Real Sociedad (wd:Q10315)                                       |
| FC Barcelona Atlètic (wd:Q10467)                                |
| Spain national under-21 association football team (wd:Q1129595) |
| Rangers F.C. (wd:Q19597)                                        |
| Antiguoko (wd:Q1967477)                                         |
| ...                                                             |
| Spain national under-16 association football team (wd:Q3873503) |
| Paris Saint-Germain FC (wd:Q483020)                             |
| Everton F.C. (wd:Q5794)                                         |
| Futbol Club Barcelona (wd:Q7156)                                |
| Arsenal F.C. (wd:Q9617)                                         |","SELECT ?club WHERE {
  wd:Q185572 wdt:P54 ?club
}"
Which soccer player scored the most number of goals in the UEFA Euro 2004 tournament,Milan Baroš,,,"SELECT ?player(COUNT(?goal) AS ?goalCount) WHERE {
  ?match wdt:P1923 wd:Q102920 .
  ?goal wdt:P1363 ?player .
}
GROUP BY ?player
ORDER BY DESC(?goalCount)
LIMIT 1"
In the 1998-1999 NBC Must See TV lineup which show directly preceded Will & Grace,Friends,"2026-02-27T16:34:18Z
American sitcom (1998-2006, 2017-2020) (lang:en)
Americký sitcom (lang:cs)
americký televízny sitkom (lang:sk)
amerikansk tv-serie (1998-2006, 2017-2020) (lang:nb)
...
s:Q212135-f0a98250-f2da-48a7-9725-adaf35e7d5f1
s:Q212135-71e2059e-4107-e0c1-f4c0-753ab5d6e4f4
s:Q212135-37BA6E17-2F6B-46E5-A542-309C7AF3244F
s:Q212135-a85c2a1e-4c50-1658-ad22-db2dc5a78d62
s:Q212135-99E8940B-0E7F-42AD-9324-A4EF06CF3BA7","| show                                                 |
| ---------------------------------------------------- |
| 2026-02-27T16:34:18Z (xsd:dateTime)                  |
| American sitcom (1998-2006, 2017-2020) (lang:en)     |
| Americký sitcom (lang:cs)                            |
| americký televízny sitkom (lang:sk)                  |
| amerikansk tv-serie (1998-2006, 2017-2020) (lang:nb) |
| ...                                                  |
| s:Q212135-f0a98250-f2da-48a7-9725-adaf35e7d5f1       |
| s:Q212135-71e2059e-4107-e0c1-f4c0-753ab5d6e4f4       |
| s:Q212135-37BA6E17-2F6B-46E5-A542-309C7AF3244F       |
| s:Q212135-a85c2a1e-4c50-1658-ad22-db2dc5a78d62       |
| s:Q212135-99E8940B-0E7F-42AD-9324-A4EF06CF3BA7       |","SELECT ?show WHERE {
  wd:Q212135 ?p ?show
}"
Who was the kit manufacturer from 2015 to present for New York City Football club,Adidas,,,"SELECT ?manufacturer WHERE {
  wd:Q13361030 wdt:P5995 ?manufacturer
}"
Who won the most Man of the match awards in the 2006 FIFA World Cup,Andrea Pirlo,,,"SELECT ?player WHERE {
  ?player wdt:P166 ?award .
  ?award wdt:P1346 ?match .
  ?match wdt:P1923 wd:Q37285
}"
When did The United States Soccer Federation become affiliated and a full member with FIFA,1914,1913-04-05T00:00:00Z,"| date                                |
| ----------------------------------- |
| 1913-04-05T00:00:00Z (xsd:dateTime) |","SELECT ?date WHERE {
  wd:Q222131 wdt:P571 ?date
}"
"What award won the National Board of Review Awards in December 2, 2021 for Encanto",Best Animated Film,"Academy Award for Best Animated Feature
Golden Globe Award for Best Animated Feature Film","| award                                                          |
| -------------------------------------------------------------- |
| Academy Award for Best Animated Feature (wd:Q106800)           |
| Golden Globe Award for Best Animated Feature Film (wd:Q878902) |","SELECT ?award WHERE {
  wd:Q103372692 wdt:P166 ?award
}"
When the song Cold Heart released in Italy in the format of Digital download streaming,13 August 2021,2021-08-13T00:00:00Z,"| releaseDate                         |
| ----------------------------------- |
| 2021-08-13T00:00:00Z (xsd:dateTime) |","SELECT ?releaseDate WHERE {
  wd:Q108072305 wdt:P437 wd:Q6473564 ; wdt:P577 ?releaseDate
}"
Which movie did Steven Spielberg directed the same year as Catch Me If You Can,Minority Report,,,"SELECT ?film WHERE {
  ?film wdt:P1332 ?date .
  ?date wdte:year 2002 .
}"
How many goals did Pele scored for Brazil national football team in the year 1971,1,,,
Who was the top goal player as of 2021 in FIFA Beach Soccer World Cup,Madjer,,,"SELECT ?player WHERE {
  wd:Q67478068 wdt:P1363 ?player .
}"
Who was the Kit manufacturer from 2012 to present for New England Revolution soccer club,Adidas,,,"SELECT ?manufacturer WHERE {
  wd:Q309095 wdt:P5995 ?manufacturer
}"
Who directs season 1 episode Welcome to Matheson in the tv series locke & key,Michael Morris,,,
What is the name of the club Wayne Rooney played for in the year 2003,Everton F.C.,"Manchester United F.C.
Derby County F.C.
England national under-19 association football team
D.C. United
England national under-17 association football team
England men's national association football team
Everton F.C.","| club                                                              |
| ----------------------------------------------------------------- |
| Manchester United F.C. (wd:Q18656)                                |
| Derby County F.C. (wd:Q19470)                                     |
| England national under-19 association football team (wd:Q2358861) |
| D.C. United (wd:Q238593)                                          |
| England national under-17 association football team (wd:Q2752922) |
| England men's national association football team (wd:Q47762)      |
| Everton F.C. (wd:Q5794)                                           |","SELECT ?club WHERE {
  wd:Q266613 wdt:P54 ?club .
}"
What is the name of the football club Iker Casillas represented in the year 2002,Real Madrid Castilla,"Spain national under-21 association football team
Real Madrid Castilla
Real Madrid C
FC Porto
Spain national under-17 association football team
...
Spain national under-18 football team
Spain national under-16 association football team
Spain men's national football team
Spain national under-15 association football team
Real Madrid Club de Fútbol","| club                                                            |
| --------------------------------------------------------------- |
| Spain national under-21 association football team (wd:Q1129595) |
| Real Madrid Castilla (wd:Q12217)                                |
| Real Madrid C (wd:Q1246437)                                     |
| FC Porto (wd:Q128446)                                           |
| Spain national under-17 association football team (wd:Q2310295) |
| ...                                                             |
| Spain national under-18 football team (wd:Q3589784)             |
| Spain national under-16 association football team (wd:Q3873503) |
| Spain men's national football team (wd:Q42267)                  |
| Spain national under-15 association football team (wd:Q6124177) |
| Real Madrid Club de Fútbol (wd:Q8682)                           |","SELECT ?club WHERE {
  wd:Q11584 wdt:P54 ?club .
  ?club rdfs:label ?label .
  FILTER(lang(?label) = 'en')
}"
Who won the America's Next Top Model in the season next to Adrianne Curry's cycle,Yoanna House,Ann Ward,"| winner                 |
| ---------------------- |
| Ann Ward (wd:Q2272759) |","SELECT ?winner WHERE {
  wd:Q2636370 wdt:P1346 ?winner
}"
