question,gold_answer,KG answer,taxonomy_label,method,source
who is the supreme justice of the supreme court,John Roberts,John Roberts,Same,Simple heuristics,NQ_table
Batman v Superman: Dawn of Justice Movie was directed by which film director?,Zack Snyder,Zack Snyder,Same,Simple heuristics,CompMix_table
who won rupaul's all-stars 3,Trixie Mattel,Trixie Mattel,Same,Simple heuristics,NQ_table
who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo,Michelangelo,Same,Simple heuristics,NQ_table
Director of the first part The Curse of the Black Pearl  in the flim Pirates of the Caribbean,Gore Verbinski,Gore Verbinski,Same,Simple heuristics,CompMix_table
who won the men's single title of australia open on 1 february 2015,Novak Djokovic,Novak Djokovic,Same,Simple heuristics,NQ_table
when's the last time michigan won a national championship in basketball,1989,1989,Same,Simple heuristics,NQ_table
What was the name of the actor who played Charlie in Willy Wonka and the Chocolate Factory,Peter Ostrum,Peter Ostrum,Same,Simple heuristics,CompMix_table
who wrote the song always be humble and kind,Lori McKenna,Lori McKenna,Same,Simple heuristics,NQ_table
What was the year the first book of the novel series Outlander released,1991,1991,Same,Simple heuristics,CompMix_infobox
What is the Name of the Production company for the tv series Hellbound,Climax Studio,Climax Studio,Same,Simple heuristics,CompMix_infobox
Who is the writer of the books State of Fear and Jurassic Park,Michael Crichton,Michael Crichton,Same,Simple heuristics,CompMix_infobox
how many seasons of the bastard executioner are there,1,1,Same,Simple heuristics,NQ_table
What is the name of Percy Jackson's mother?,Sally Jackson,Sally Jackson,Same,Simple heuristics,CompMix_table
Jane Eyre novel was written by?,Charlotte Bronte,Charlotte Brontë,Same,Simple heuristics,CompMix_table
Who directs the TV Series The Wheel of Time?,Uta Briesewitz,Uta Briesewitz,Same,Simple heuristics,CompMix_table
who is the president of Paris Saint-Germain F.C team?,Nasser Al-Khelaifi,Nasser Al-Khelaifi,Same,Simple heuristics,CompMix_table
Which actor plays Robby Keene in Cobra Kai?,Tanner Buchanan,Tanner Buchanan,Same,Simple heuristics,CompMix_table
What is the prequel to the movie Mad Max Beyond Thunderdome?,Mad Max 2,Mad Max 2,Same,Simple heuristics,CompMix_table
What is the name of Paul's father in the novel Dune?,Leto I Atreides,Leto I Atreides,Same,Simple heuristics,CompMix_table
Who is the original broadcaster of the tv series ER?,NBC,NBC,Same,Simple heuristics,CompMix_table
What is the year the first book of the series Earth's Children published,1980,1980,Same,Simple heuristics,CompMix_table
Which is the year in which the director Stephen Chow his very first movie,1994,1994,Same,Simple heuristics,CompMix_table
who is known as the philippine queen of bossa nova,Sitti Navarro,Sitti Navarro,Same,Simple heuristics,NQ_table
What was the country of the origin of the book To the Lighthouse,United Kingdom,United Kingdom,Same,Simple heuristics,CompMix_infobox
Who wrote the book upon which the film Kramer vs. Kramer was based,Avery Corman,Avery Corman,Same,Simple heuristics,CompMix_infobox
What is the film which won Cate Blanchett the Oscar for best actress in 2014,Blue Jasmine,Blue Jasmine,Same,Simple heuristics,CompMix_table
Which team promoted to the English Premier League for 2021-22 won the EFL Championship in 2021,Norwich City F.C.,Norwich City F.C.,Same,Simple heuristics,CompMix_table
who is the actor that plays ducky on ncis,David McCallum,David McCallum,Same,Simple heuristics,NQ_table
Who is the publisher of the book The Monk Who Sold His Ferrari,HarperCollins,HarperCollins,Same,Simple heuristics,CompMix_infobox
Who wrote the book One Flew Over the Cuckoo's Nest is based on,Ken Kesey,Ken Kesey,Same,Simple heuristics,CompMix_infobox
Who was the director of the movie Bridget Jones: The Edge of Reason,Beeban Kidron,Beeban Kidron,Same,Simple heuristics,CompMix_infobox
Director name of the first season “somebody’s dead” in the tv series Big Little Lies,Jean-Marc Vallée,Jean-Marc Vallée,Same,Simple heuristics,CompMix_table
"What year did the book The Cat in the Hat, by Dr Seuss come out",1957,1957,Same,Simple heuristics,CompMix_table
What film is the third in the series of Mad Max films,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,Same,Simple heuristics,CompMix_table
Who was the director of the 1984 A Nightmare on Elm Street,Wes Craven,Wes Craven,Same,Simple heuristics,CompMix_table
Which country did Francesco Totti represent?,Italy,Italy,Same,Simple heuristics,CompMix_table
"Who played Spock, the Vulcan First Officer, in Star Trek: The Original Series",Leonard Nimoy,Leonard Nimoy,Same,Simple heuristics,CompMix_table
who was the author of the art of war,Sun Tzu,Sun Tzu,Same,Simple heuristics,NQ_table
how many countries are a part of opec,14,14,Same,Simple heuristics,NQ_table
Who original broadcaster Elite Tv  Series?,Netflix,Netflix,Same,Simple heuristics,CompMix_table
who won the 2017 women's wimbledon final,Garbiñe Muguruza,Garbiñe Muguruza,Same,Simple heuristics,NQ_table
What is the country of origin for the serial All of Us Are Dead,South Korea,South Korea,Same,Simple heuristics,CompMix_infobox
"What country was Gianni Infantino originally from, who is the current president of FIFA",Switzerland,Switzerland,Same,Simple heuristics,CompMix_infobox
Who gave the music of the film 211?,Frederik Wiedmann,Frederik Wiedmann,Same,Simple heuristics,CompMix_table
which place of publication The Grapes of Wrath book?,New York City,New York City,Same,Simple heuristics,CompMix_table
Who Composes the music in the tv series The Tunnel?,Adrian Johnston,Adrian Johnston,Same,Simple heuristics,CompMix_table
What country does the soccer player Johan Cruyff represent?,Netherlands,Netherlands,Same,Simple heuristics,CompMix_table
Who played the Character of Barney Ross in the The Expendables series?,Sylvester Stallone,Sylvester Stallone,Same,Simple heuristics,CompMix_table
When did the US women's soccer team first win the world cup,1991,1991,Same,Simple heuristics,CompMix_table
What year did the book A Tale of Two Cities come out,1859,1859,Same,Simple heuristics,CompMix_table
In what year did the El Salvador national football team win the CCCF Championship,1943,1943,Same,Simple heuristics,CompMix_table
What year was the book Angry Blonde written by the rapper Eminem get published,2000,2000,Same,Simple heuristics,CompMix_table
What is the name of the actor who played the lead role in the series Joey,Matt LeBlanc,Matt LeBlanc,Same,Simple heuristics,CompMix_infobox
What year was the first book of the series A Song of Ice and Fire' Published,1996,1996,Same,Simple heuristics,CompMix_infobox
When was the first time the US women's soccer team went to the Olympics,1996,1996,Same,Simple heuristics,CompMix_table
capital of georgia the former soviet republic 7 letters,Tbilisi,Tbilisi,Same,Simple heuristics,NQ_table
where does porter fly out of in toronto,Billy Bishop Toronto City Airport,Billy Bishop Toronto City Airport,Same,Simple heuristics,NQ_table
Who was the spouse of Roger Rabbit in the film Who Framed Roger Rabbit,Jessica Rabbit,Jessica Rabbit,Same,Simple heuristics,CompMix_infobox
In which year did the player Luís Figo transfer from Barcelona to Real Madrid,2000,2000,Same,Simple heuristics,CompMix_table
What team won the gold medal for men's soccer during the 2020 Summer Olympics,Brazil,Brazil,Same,Simple heuristics,CompMix_infobox
"Who directed the first Dan Brown novel adaptation, The da Vinci Code in 2006",Ron Howard,Ron Howard,Same,Simple heuristics,CompMix_infobox
Who was the owner of the soccer club New York Red Bulls soccer team,Red Bull GmbH,Red Bull GmbH,Same,Simple heuristics,CompMix_infobox
What is the language of work of the book The Name of the Rose,Italian,Italian,Same,Simple heuristics,CompMix_infobox
What year did Gareth Bale get his first cap with the Wales national team,2006,2006,Same,Simple heuristics,CompMix_infobox
What year is the first year of the book series Dragonriders of Pern published,1968,1968,Same,Simple heuristics,CompMix_infobox
What year did Tim Howard play his first game for the senior United Stated men's national soccer team,2002,2002,Same,Simple heuristics,CompMix_infobox
What year was the first book of the series Old Kingdom published,1995,1995,Same,Simple heuristics,CompMix_table
"Who was the author of the novel Airport, the source material for the 1970 film of the same name",Arthur Hailey,Arthur Hailey,Same,Simple heuristics,CompMix_infobox
Who is the production company behind the TV series Locke & Key?,IDW Publishing,IDW Publishing,Same,Simple heuristics,CompMix_table
who was the vocal artist of Toosie slide song?,Drake,Drake,Same,Simple heuristics,CompMix_table
Who is the author of the The Last Thing he told me book,Laura Dave,Laura Dave,Same,Simple heuristics,CompMix_table
Who is the director of the third film in the Bourne series,Paul Greengrass,Paul Greengrass,Same,Simple heuristics,CompMix_table
Who is the director of the second movie of the The Expendables series,Simon West,Simon West,Same,Simple heuristics,CompMix_table
Who is the director of the first movie of the The Expendables series,Sylvester Stallone,Sylvester Stallone,Same,Simple heuristics,CompMix_table
where do the sharks play in san jose,SAP Center,SAP Center,Same,Simple heuristics,NQ_table
In which year did Kröd Mändoon and the Flaming Sword of Fire come out,2009,2009,Same,Simple heuristics,CompMix_infobox
What is the name of the director of the film A Night at the Opera,Sam Wood,Sam Wood,Same,Simple heuristics,CompMix_infobox
In which year was the first novel Palace Walk in the series Cairo Trilogy published,1956,1956,Same,Simple heuristics,CompMix_infobox
What year was the last book of the series Percy Jackson & the Olympians published,2009,2009,Same,Simple heuristics,CompMix_infobox
What is the name of the author who wrote A Tale of Two Cities?,Charles Dickens,Charles Dickens,Same,Simple heuristics,CompMix_table
"Which actress played the lead role in the TV series, Buffy the Vampire Slayer?",Sarah Michelle Gellar,Sarah Michelle Gellar,Same,Simple heuristics,CompMix_table
What book followed the Fellowship of the Ring in the Lord of the Rings series,The Two Towers,The Two Towers,Same,Simple heuristics,CompMix_infobox
In 1995 which Midway Games' fighting game franchise was turned into a live action movie,Mortal Kombat,Mortal Kombat,Same,Simple heuristics,CompMix_infobox
What was the original language of the All of Us Are Dead film or television show,Korean,Korean,Same,Simple heuristics,CompMix_infobox
who sings the song i want to go outside in the rain,Milira,Milira,Same,Simple heuristics,NQ_table
who wrote hit me baby one more time,Max Martin,Max Martin,Same,Simple heuristics,NQ_table
In which year was the author of the Book The Power of Habit Charles Duhigg was born,1974,1974,Same,Simple heuristics,CompMix_infobox
Who was the actor who had the central role as Jack Bauer in the tv show 24,Kiefer Sutherland,Kiefer Sutherland,Same,Simple heuristics,CompMix_infobox
What is Paolo Maldini's surname?,Maldini,Maldini,Same,Simple heuristics,CompMix_table
What is Game of Thrones based on?,A Song of Ice and Fire,A Song of Ice and Fire,Same,Simple heuristics,CompMix_table
what was author the book Brave New World?,Aldous Huxley,Aldous Huxley,Same,Simple heuristics,CompMix_table
What is the One Hundred Years of Solitude book's country of origin?,Argentina,Argentina,Same,Simple heuristics,CompMix_table
when was the last time america hosted the summer olympics,1996,1996,Same,Simple heuristics,NQ_table
What actor played Michael Corleone in The Godfather series?,Al Pacino,Al Pacino,Same,Simple heuristics,CompMix_table
who has won the 2017 mens singles mutua madrid open tennis,Rafael Nadal,Rafael Nadal,Same,Simple heuristics,NQ_table
who did the music for your lie in april,Masaru Yokoyama,Masaru Yokoyama,Same,Simple heuristics,NQ_table
"What book is the basis for the series, Game of Thrones?",A Song of Ice and Fire,A Song of Ice and Fire,Same,Simple heuristics,CompMix_table
Who wrote A Tale of Two Cities?,Charles Dickens,Charles Dickens,Same,Simple heuristics,CompMix_table
Who is the film composer for Troy?,James Horner,James Horner,Same,Simple heuristics,CompMix_table
What country did Raúl González represent in football?,Spain,Spain,Same,Simple heuristics,CompMix_table
What is the difference in the number of years between the first and last VFL/AFL senior premiership won by Collingwood and the span for Richmond's AFL senior premierships,21,21,Same,Simple heuristics,Sportsreason_TANQ
"When sorting the Formula One seasons where Michael Schumacher was the Drivers' Champion by the number of races from lowest to highest, what is the number of races in the third season",17,17,Same,Simple heuristics,Sportsreason_TANQ
which country of origin of the Nineteen Eighty-Four  Book?,United Kingdom,United Kingdom,Same,Simple heuristics,CompMix_table
What was the name of author who wrote Things Fall Apart?,Chinua Achebe,Chinua Achebe,Same,Simple heuristics,CompMix_table
What is the name of the director of Passengers?,Morten Tyldum,Morten Tyldum,Same,Simple heuristics,CompMix_table
who wrote the music phantom of the opera,Andrew Lloyd Webber,Andrew Lloyd Webber,Same,Simple heuristics,NQ_table
who won the american league pennant in 2017,Houston Astros,Houston Astros,Same,Simple heuristics,NQ_table
who sang the song you got a friend in me,Randy Newman | Lyle Lovett,"Randy Newman
Lyle Lovett",Same,Simple heuristics,NQ_table
Director of the movie lord of the rings?,Peter Jackson,Peter Jackson,Same,Simple heuristics,CompMix_table
Who is the voice actor of the character of Lois Griffin?,Alex Borstein,Alex Borstein,Same,Simple heuristics,CompMix_table
The film Everything Sucks belongs to which country?,United States,United States,Same,Simple heuristics,CompMix_table
Who is the director of the movie lord of the rings?,Peter Jackson,Peter Jackson,Same,Simple heuristics,CompMix_table
What movie is the sequel of Ocean's Eleven?,Ocean's Twelve,Ocean's Twelve,Same,Simple heuristics,CompMix_table
What country's national team does Alessandro Del Piero play for?,Italy,Italy,Same,Simple heuristics,CompMix_table
how many counties does the state of georgia have,159,159,Same,Simple heuristics,NQ_table
who wrote shes always a woman to me,Billy Joel,Billy Joel,Same,Simple heuristics,NQ_table
What is the name of the original broadcaster in Game of Thrones?,HBO,HBO,Same,Simple heuristics,CompMix_table
Which club was Gareth Bale loaned to from Real Madrid in 2020,Tottenham Hotspur F.C.,Tottenham Hotspur F.C.,Same,Simple heuristics,CompMix_infobox
In which year was the film A Night at the Opera released,1935,1935,Same,Simple heuristics,CompMix_infobox
Peaky Blinders web series is from?,United Kingdom,United Kingdom,Same,Simple heuristics,CompMix_table
Who is the lead drummer of the band U2?,Larry Mullen Jr.,Larry Mullen Jr.,Same,Simple heuristics,CompMix_table
who plays lefou in beauty and the beast 1991,Jesse Corti,Jesse Corti,Same,Simple heuristics,NQ_table
when was the last time kentucky won ncaa,2012,2012,Same,Simple heuristics,NQ_table
who produced a change is gonna come,Hugo & Luigi,Hugo & Luigi,Same,Simple heuristics,NQ_table
when did stephen curry won the mvp award,2015 | 2016,"2015
2016",Same,Simple heuristics,NQ_table
who directed the iconic animated short educational film ek anek aur ekta,Vijaya Mulay,Vijaya Mulay,Same,Simple heuristics,NQ_table
who sang how can you mend a broken heart first,Bee Gees,Bee Gees,Same,Simple heuristics,NQ_table
Who is the director of photography of the movie The Matrix Revolutions,Bill Pope,Bill Pope,Same,Simple heuristics,CompMix_infobox
In what year did Cristiano Ronaldo leave Manchester United the first time,2009,2009,Same,Simple heuristics,CompMix_infobox
what is country of origin of the  Klara and the Sun book,United Kingdom,United Kingdom,Same,Simple heuristics,CompMix_infobox
What is the language of work of the book The Little Prince,French,French,Same,Simple heuristics,CompMix_infobox
what is the genus of a bald eagle,Haliaeetus,Haliaeetus,Same,Simple heuristics,NQ_table
"Before A Good Day to Die Hard's release in 2013, how many movies were in the Die Hard series",4,4,Same,Simple heuristics,CompMix_table
What year did the American sitcom series Will & Grace return for three more seasons after the original run ended,2017,2017,Same,Simple heuristics,CompMix_table
who owns the delano hotel in las vegas,MGM Resorts International,MGM Resorts International|MGM Resorts International (lang:en),Same,Simple heuristics,NQ_table
ajay devgan preity zinta and madhuri dixit movie,Yeh Raaste Hain Pyaar Ke,Yeh Raaste Hain Pyaar Ke|Yeh Raaste Hain Pyaar Ke (lang:en),Same,Simple heuristics,NQ_table
What is the name of the film that was the sequel to The Terminator movie?,Terminator 2: Judgment Day,Terminator 2: Judgment Day|Terminator 2: Judgment Day (lang:en),Same,Simple heuristics,CompMix_table
gestational sac and yolk sac but no baby at 7 weeks,an anembryonic gestation,anembryonic gestation,Same,Simple heuristics,NQ_table
Who directs the episode Liber The Book in tv series Luna Nera,Francesca Comencini,Francesca Comencini|Francesca Comencini (lang:en),Same,Simple heuristics,CompMix_table
who is the director of episode 1 in the tv series Sky Castle,Jo Hyun Tak,Jo Hyun Tak|Jo Hyun Tak (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the last movie directed by Alan Parker,The Life of David Gale,The Life of David Gale|The Life of David Gale (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the movie directed by Tim Burton in 1990,Edward Scissorhands,Edward Scissorhands|Edward Scissorhands (lang:en),Same,Simple heuristics,CompMix_table
what class of ship is the carnival glory,Conquest-class cruise ship,Conquest-class cruise ship|Conquest-class cruise ship (lang:en),Same,Simple heuristics,NQ_table
who was the leader of the zulu in south africa who led the fight against the british,Cetshwayo kaMpande,Cetshwayo kaMpande|Cetshwayo kaMpande (lang:en),Same,Simple heuristics,NQ_table
What novel did Charles Dickens wrote that preceded Oliver Twist?,The Pickwick Papers,The Pickwick Papers|The Pickwick Papers (lang:en),Same,Simple heuristics,CompMix_table
What was the name of the novel Charles Dicken wrote before Oliver Twist,The Pickwick Papers,The Pickwick Papers|The Pickwick Papers (lang:en),Same,Simple heuristics,CompMix_table
who sang oh annie i not your daddy,Kid Creole & The Coconuts,Kid Creole and the Coconuts,Same,Simple heuristics,NQ_table
who is the best director in bollywood 2017,Nitesh Tiwari,Nitesh Tiwari|Nitesh Tiwari (lang:en),Same,Simple heuristics,NQ_table
What is the name of the actress playing the role of Carrie Mathison in Homeland,Claire Danes,Claire Danes|Claire Danes (lang:en),Same,Simple heuristics,CompMix_infobox
who won women's singles us open 2017,Sloane Stephens,Sloane Stephens|Sloane Stephens (lang:en),Same,Simple heuristics,NQ_table
who was the original host of what's my line,John Daly,John Charles Daly,Same,Simple heuristics,NQ_table
"Who won the Best Film Music award in the 26th British Academy Film Awards for the movie ""The Godfather""?",Nino Rota,Nino Rota|Nino Rota (lang:en),Same,Simple heuristics,CompMix_table
Who won the Oscar for Best Actor for the film The King's Speech?,Colin Firth,Colin Firth|Colin Firth (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the actor who won the Academy Award for Best Actor for his performance in The King's Speech?,Colin Firth,Colin Firth|Colin Firth (lang:en),Same,Simple heuristics,CompMix_table
who was the president of pakistan during 1971 war,Yahya Khan,Yahya Khan|Yahya Khan (lang:en),Same,Simple heuristics,NQ_table
Which is the second book of the novel series The Chronicles of Narnia,Prince Caspian,Prince Caspian|Prince Caspian (lang:en),Same,Simple heuristics,CompMix_infobox
Which soccer player scored the most number of goals in the UEFA Euro 2004 tournament,Milan Baroš,Milan Baroš|Milan Baroš (lang:en),Same,Simple heuristics,CompMix_table
who was the director for the Movie Batman v Superman: Dawn of Justice?,Zack Snyder,Zack Snyder|Zack Snyder (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the writer of the book The Subtle Knife,Philip Pullman,Philip Pullman|Philip Pullman (lang:en),Same,Simple heuristics,CompMix_infobox
Which 1925 novel set in the Jazz age is hailed as a Great American Novel,The Great Gatsby,The Great Gatsby|The Great Gatsby (lang:en),Same,Simple heuristics,CompMix_table
What book set in Jazz Age considered to be a Great American Novel was written in 1925,The Great Gatsby,"The Great Gatsby|The Great Gatsby (lang:en)
The Great Gatsby|The Great Gatsby (lang:en)",Same,Simple heuristics,CompMix_table
"What is the second movie in the film series, The Lord of the Rings",The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers|The Lord of the Rings: The Two Towers (lang:en),Same,Simple heuristics,CompMix_table
who won the food network star in 2016,Tregaye Fraser,Tregaye Fraser|Tregaye Fraser (lang:en),Same,Simple heuristics,NQ_table
list all the planet of the ape movies,Planet of the Apes | Beneath the Planet of the Apes | Escape from the Planet of the Apes | Conquest of the Planet of the Apes | Battle for the Planet of the Apes | Planet of the Apes | Rise of the Planet of the Apes | Dawn of the Planet of the Apes | War for the Planet of the Apes,"Planet of the Apes|Planet of the Apes (lang:en)
Beneath the Planet of the Apes|Beneath the Planet of the Apes (lang:en)
Escape from the Planet of the Apes|Escape from the Planet of the Apes (lang:en)
Conquest of the Planet of the Apes|Conquest of the Planet of the Apes (lang:en)
Battle for the Planet of the Apes|Battle for the Planet of the Apes (lang:en)
Planet of the Apes|Planet of the Apes (lang:en)
Rise of the Planet of the Apes|Rise of the Planet of the Apes (lang:en)
Dawn of the Planet of the Apes|Dawn of the Planet of the Apes (lang:en)
War for the Planet of the Apes|War for the Planet of the Apes (lang:en)
Kingdom of the Planet of the Apes|Kingdom of the Planet of the Apes (lang:en)",Same,Simple heuristics,NQ_table
star cast of ab tumhare hawale watan sathiyon,Amitabh Bachchan | Akshay Kumar | Bobby Deol | Divya Khosla Kumar | Sandali Sinha | Nagma,"Akshay Kumar
Nagma
Bobby Deol
Sandali Sinha
Amitabh Bachchan",Same,Simple heuristics,NQ_table
Who Directs the TV series Hanna?,Sarah Adina Smith,Sarah Adina Smith|Sarah Adina Smith (lang:en),Same,Simple heuristics,CompMix_table
who was elected president of the united states in 1928,Herbert Hoover,Herbert Hoover|Herbert Hoover (lang:en),Same,Simple heuristics,NQ_table
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyū|Yuzuru Hanyū (lang:en),Same,Simple heuristics,NQ_table
What club did the soccer player Pelé represent in the year 1976,New York Cosmos,New York Cosmos|New York Cosmos (lang:en),Same,Simple heuristics,CompMix_table
What team did New York FC defeated to win the MLS Cup in 2021,Portland Timbers,Portland Timbers|Portland Timbers (lang:en),Same,Simple heuristics,CompMix_table
Name of the director who directed the first episode of the show Vikings,Johan Renck,Johan Renck|Johan Renck (lang:en),Same,Simple heuristics,CompMix_table
who won game 4 of the 2000 nba finals,Los Angeles Lakers,Los Angeles Lakers|Los Angeles Lakers (lang:en),Same,Simple heuristics,NQ_table
Which actress won the Academy Awards for the best actress in the year 1952,Vivien Leigh,Vivien Leigh|Vivien Leigh (lang:en),Same,Simple heuristics,CompMix_table
Which football player was the recipient of 2001 FIFA World Player of the Year,Luís Figo,Luís Figo|Luís Figo (lang:en),Same,Simple heuristics,CompMix_table
What was the name of the actress who played Dorothy in The Wizard of Oz,Judy Garland,Judy Garland|Judy Garland (lang:en),Same,Simple heuristics,CompMix_infobox
who is the premier of northern cape 2018,Sylvia Lucas,Sylvia Lucas|Sylvia Lucas (lang:en),Same,Simple heuristics,NQ_table
who is the premier of northern cape 2018,Sylvia Lucas,Sylvia Lucas|Sylvia Lucas (lang:en),Same,Simple heuristics,NQ_table
who was the first territorial governor of oklahoma,George Washington Steele,George Washington Steele|George Washington Steele (lang:en),Same,Simple heuristics,NQ_table
What is the FIFA organization that was founded in Mexico City and currently includes all of North America,CONCACAF,CONCACAF|CONCACAF (lang:en),Same,Simple heuristics,CompMix_table
Which football club did Robert Lewandowski play for in the year 2020,FC Bayern Munich,FC Bayern Munich|FC Bayern Munich (lang:en),Same,Simple heuristics,CompMix_table
Initial book of the novel series Little House on the Prairie?,Little House in the Big Woods,Little House in the Big Woods|Little House in the Big Woods (lang:en),Same,Simple heuristics,CompMix_table
what is the latest version of microsoft office 2010,14.0.7182.5000,14.0.7252.5000,Same,Simple heuristics,NQ_table
Who played teenage Martha in Dark?,Lisa Vicari,Lisa Vicari|Lisa Vicari (lang:en),Same,Simple heuristics,CompMix_table
Who directed the first three movies in The Chronicles of Riddick series,David Twohy,David Twohy|David Twohy (lang:en),Same,Simple heuristics,CompMix_infobox
Who is the director tv series Alice in Borderland?,Shinsuke Sato,Shinsuke Sato|Shinsuke Sato (lang:en),Same,Simple heuristics,CompMix_table
What is the actor's name from the TV series The Big Bang Theory who also starred in the movie School for Scoundrels,Jim Parsons,Jim Parsons|Jim Parsons (lang:en),Same,Simple heuristics,CompMix_table
Who directs the tv series Barbarians?,Barbara Eder,Barbara Eder|Barbara Eder (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the last movie in the Bourne series,Jason Bourne,Jason Bourne|Jason Bourne (lang:en),Same,Simple heuristics,CompMix_table
Who was the manager of the soccer Manchester United F.C. in 2017,José Mourinho,José Mourinho|José Mourinho (lang:en),Same,Simple heuristics,CompMix_table
What is the name of the manager in 2017 of the soccer club Manchester United F.C.,José Mourinho,José Mourinho|José Mourinho (lang:en),Same,Simple heuristics,CompMix_table
